Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,20/04/2024,00:10,MEXICO - LIGA MX,Club Tijuana,Puebla,1.5,4.75,5.5,1.53,1.7,2.05,1.03,1.29,1.17,4.0,1.22
25,20/04/2024,04:30,CHINA - SUPER LEAGUE,Shandong Taishan,Cangzhou,1.5,4.75,6.0,1.57,1.75,2.0,1.03,1.29,1.17,4.33,1.2
26,20/04/2024,04:30,AUSTRALIA - A-LEAGUE,Melbourne Victory,Brisbane Roar,1.6,4.33,5.0,1.5,1.53,2.38,1.03,1.25,1.14,4.0,1.25
27,20/04/2024,05:00,INDONESIA - LIGA 1,Persik Kediri,Persita,1.6,4.1,4.55,1.47,1.52,2.2,1.01,1.24,1.13,3.3,1.24
28,20/04/2024,08:00,THAILAND - THAI LEAGUE 1,Pathum United,Chonburi,1.45,4.5,5.8,1.6,1.75,1.95,1.03,1.31,1.19,4.0,1.21
29,20/04/2024,08:30,ENGLAND - CHAMPIONSHIP,Leicester,West Brom,1.6,4.0,5.75,1.8,1.8,1.91,1.04,1.33,1.25,5.5,1.14
30,20/04/2024,08:30,ESTONIA - MEISTRILIIGA,Paide,Tammeka,1.42,4.3,5.7,1.55,1.72,2.07,1.01,1.28,1.16,4.15,1.19
31,20/04/2024,09:00,FINLAND - VEIKKAUSLIIGA,HJK,Mariehamn,1.36,5.0,8.0,1.62,1.95,1.8,1.03,1.3,1.18,4.5,1.18
32,20/04/2024,09:00,MALTA - PREMIER LEAGUE,Hamrun,Santa Lucia,1.39,4.5,6.6,1.62,1.87,1.75,1.02,1.3,1.21,4.9,1.14
33,20/04/2024,09:00,INDONESIA - LIGA 1,Bali United,FC Bhayangkara,1.45,4.6,5.5,1.44,1.6,2.07,1.01,1.23,1.12,3.15,1.26
34,20/04/2024,09:30,AZERBAIJAN - PREMIER LEAGUE,Qarabag,Gabala,1.22,5.7,10.5,1.47,2.02,1.62,1.01,1.24,1.14,3.35,1.23
35,20/04/2024,10:00,NETHERLANDS - TWEEDE DIVISIE,Quick Boys,Kozakken Boys,1.31,5.0,7.7,1.5,1.83,1.78,1.01,1.24,1.15,3.45,1.22
36,20/04/2024,11:00,SCOTLAND - LEAGUE ONE,Falkirk,Kelty Hearts,1.17,6.5,11.0,1.33,1.83,1.83,1.01,1.2,1.08,2.75,1.4
37,20/04/2024,11:00,SCOTLAND - CHAMPIONSHIP,Dundee Utd,Ayr,1.36,4.75,6.5,1.62,1.91,1.8,1.03,1.3,1.2,4.33,1.2
38,20/04/2024,11:00,ENGLAND - CHAMPIONSHIP,Norwich,Bristol City,1.65,4.0,5.25,1.88,1.83,1.83,1.05,1.36,1.29,6.0,1.13
39,20/04/2024,11:00,INDIA - ISL,Goa,Chennaiyin,1.4,4.5,5.75,1.5,1.67,2.1,1.02,1.25,1.14,3.75,1.25
40,20/04/2024,11:00,ENGLAND - LEAGUE ONE,Portsmouth,Wigan,1.67,4.0,4.75,1.73,1.8,1.95,1.04,1.33,1.22,5.5,1.14
41,20/04/2024,11:00,ENGLAND - LEAGUE ONE,Charlton,Shrewsbury,1.75,3.6,4.75,2.03,1.95,1.8,1.06,1.4,1.3,7.0,1.1
42,20/04/2024,11:30,NETHERLANDS - EERSTE DIVISIE,Den Haag,Eindhoven FC,1.45,4.75,6.0,1.53,1.73,2.0,1.02,1.29,1.17,4.0,1.22
43,20/04/2024,11:30,PORTUGAL - LIGA PORTUGAL 2,Santa Clara,Tondela,1.55,3.75,5.75,2.15,2.2,1.62,1.07,1.44,1.36,9.0,1.07
24,20/04/2024,12:00,CROATIA - HNL,Osijek,Istra 1961,1.65,3.5,6.0,2.15,2.1,1.67,1.07,1.44,1.36,9.0,1.07
44,20/04/2024,12:00,AUSTRIA - BUNDESLIGA,Austria Vienna,Tirol,1.7,3.75,4.75,2.0,1.91,1.91,1.05,1.4,1.3,7.0,1.1
23,20/04/2024,12:30,SLOVENIA - PRVA LIGA,O. Ljubljana,Aluminij,1.3,5.1,8.75,1.65,2.05,1.7,1.04,1.32,1.21,4.2,1.19
21,20/04/2024,12:30,SWEDEN - ALLSVENSKAN,Malmo FF,Vasteras SK,1.22,5.75,13.0,1.57,2.1,1.67,1.03,1.29,1.17,4.33,1.2
2,20/04/2024,13:00,SLOVAKIA - NIKE LIGA,Dun. Streda,Ruzomberok,1.62,3.65,5.6,2.12,2.1,1.65,1.08,1.5,1.38,6.6,1.09
