,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,ITALY - SERIE C,2024-03-23,10:00,Virtus Francavilla,Monterosi,1.95,3.3,3.8,2.32,2.1,1.65
2,ITALY - SERIE C,2024-03-23,10:00,AlbinoLeffe,Pro Sesto,2.05,3.05,3.75,2.55,2.2,1.6
3,ITALY - SERIE C,2024-03-23,10:00,Giana Erminio,Alessandria,1.82,3.3,4.4,2.42,2.25,1.57
4,ITALY - SERIE C,2024-03-23,10:00,Lumezzane,Virtus Verona,2.22,2.92,3.45,2.55,2.12,1.65
5,ITALY - SERIE C,2024-03-23,10:00,ACR Messina,Foggia,2.45,3.15,2.85,2.42,2.1,1.65
6,ITALY - SERIE C,2024-03-23,10:00,Picerno,Latina,1.93,3.2,3.95,2.32,2.1,1.65
7,INDIA - I-LEAGUE,2024-03-23,10:30,Gokulam,Delhi FC,1.55,4.15,5.0,1.53,1.62,2.05
8,SERBIA - PRVA LIGA,2024-03-23,11:00,Vrsac,Dubocica,1.95,3.05,3.7,2.35,2.14,1.67
9,SERBIA - PRVA LIGA,2024-03-23,11:00,FK Indjija,Metalac,1.88,3.1,3.95,2.51,2.16,1.66
10,ENGLAND - LEAGUE ONE,2024-03-23,12:00,Burton,Port Vale,2.25,3.2,3.4,2.15,1.95,1.8
11,SPAIN - PRIMERA RFEF,2024-03-23,12:00,R. Sociedad B,Teruel,1.7,3.2,4.75,2.38,2.25,1.57
12,SPAIN - PRIMERA RFEF,2024-03-23,12:00,Sanluqueno,Murcia,2.25,2.88,3.1,2.5,2.1,1.67
13,SPAIN - PRIMERA RFEF,2024-03-23,12:00,Cordoba,San Fernando,1.4,4.5,5.75,2.0,2.5,1.5
14,SCOTLAND - LEAGUE TWO,2024-03-23,12:00,Clyde,Spartans,2.3,3.5,2.7,1.83,1.67,2.1
