Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,24/10/2023,13:30,ITALY - SERIE C,Alessandria,Pergolettese,3.05,3.1,2.35,2.42,2.1,1.65,1.11,1.57,1.5,7.6,1.05
2,24/10/2023,16:00,URUGUAY - PRIMERA DIVISION,Danubio,Boston River,2.1,3.0,3.75,2.2,1.83,1.83,1.08,1.44,1.36,9.0,1.07
3,24/10/2023,17:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Union de Santa Fe,Defensa y Justicia,2.2,3.5,3.2,2.3,2.0,1.73,1.07,1.5,1.4,10.0,1.06
