,League,Date,Time,Home,Away,Goals_H,Goals_A,Odd_H,Odd_D,Odd_A,Odd_CS_0x1_Lay_x,IDMercado_Correct_Score,Lay_0x1,Predictions,Profit,Profit_acu
1,JAPAN - J1 LEAGUE,2024-06-16,02:00:00,Vissel Kobe,Kawasaki Frontale,1.0,0.0,1.92,3.85,4.4,20.0,1.2295935,1,1,0.94,0.94
2,JAPAN - J1 LEAGUE,2024-06-16,03:30:00,Avispa Fukuoka,Sagan Tosu,2.0,0.0,2.12,3.4,4.0,14.5,1.2295934,1,1,0.94,1.88
3,JAPAN - J2 LEAGUE,2024-06-16,04:00:00,Iwaki,Kofu,1.0,1.0,2.2,3.4,3.15,15.0,1.2297529,1,1,0.94,2.82
4,JAPAN - J2 LEAGUE,2024-06-16,05:00:00,Mito,Blaublitz,1.0,0.0,2.74,3.05,2.98,10.5,1.2297528,1,1,0.94,3.76
5,SOUTH KOREA - K LEAGUE 1,2024-06-16,06:00:00,Jeonbuk,Incheon,2.0,2.0,2.26,3.5,3.3,16.0,1.229754,1,1,0.94,4.699999999999999
6,JAPAN - J2 LEAGUE,2024-06-16,06:00:00,Oita Trinita,Tochigi SC,0.0,2.0,2.04,3.35,4.2,16.0,1.229753,1,1,0.94,5.639999999999999
7,JAPAN - J1 LEAGUE,2024-06-16,06:00:00,Nagoya Grampus,Shonan Bellmare,1.0,1.0,2.22,3.35,3.65,15.0,1.2295933,1,1,0.94,6.579999999999998
8,JAPAN - J1 LEAGUE,2024-06-16,06:00:00,Gamba Osaka,Kashiwa Reysol,2.0,1.0,2.48,3.35,3.15,12.5,1.229593,1,1,0.94,7.519999999999998
9,JAPAN - J1 LEAGUE,2024-06-16,06:00:00,FC Tokyo,Iwata,1.0,1.0,2.08,3.65,3.8,16.0,1.2295933,1,1,0.94,8.459999999999997
10,JAPAN - J1 LEAGUE,2024-06-16,06:00:00,Kashima Antlers,Albirex Niigata,1.0,1.0,1.91,3.75,4.5,17.5,1.2295932,1,1,0.94,9.399999999999997
11,JAPAN - J2 LEAGUE,2024-06-16,06:00:00,Vegalta Sendai,V-Varen Nagasaki,2.0,2.0,2.84,3.4,2.58,13.5,1.2297525,1,1,0.94,10.339999999999996
12,JAPAN - J2 LEAGUE,2024-06-16,07:00:00,Chiba,Tokushima,1.0,0.0,1.79,3.75,4.9,21.0,1.2297527,1,1,0.94,11.279999999999996
13,SOUTH KOREA - K LEAGUE 1,2024-06-16,07:00:00,Daegu,Jeju Utd,1.0,0.0,2.3,3.25,3.3,13.5,1.229754,1,1,0.94,12.219999999999995
14,SOUTH KOREA - K LEAGUE 2,2024-06-16,07:00:00,Cheongju,Cheonan City,1.0,1.0,2.1,2.84,3.65,980.0,1.2297536,1,1,0.94,13.159999999999995
15,ESTONIA - MEISTRILIIGA,2024-06-16,08:00:00,Kuressaare,Nomme Utd,1.0,1.0,1.28,1.16,3.1,1000.0,1.2298036,1,1,0.94,14.099999999999994
16,CHINA - SUPER LEAGUE,2024-06-16,08:35:00,Shanghai Shenhua,Chengdu Rongcheng,1.0,1.0,1.98,3.6,4.1,20.0,1.2296182,1,1,0.94,15.039999999999994
17,NORWAY - OBOS-LIGAEN,2024-06-16,10:00:00,Egersund,Valerenga,1.0,1.0,3.25,4.2,2.04,980.0,1.2297776,1,1,0.94,15.979999999999993
18,NORWAY - OBOS-LIGAEN,2024-06-16,10:00:00,Lyn,Sogndal,1.0,2.0,1.9,4.0,3.75,980.0,1.229776,1,1,0.94,16.919999999999995
19,NORWAY - OBOS-LIGAEN,2024-06-16,10:00:00,Ranheim,Raufoss,1.0,0.0,1.86,3.9,3.95,980.0,1.2297758,1,1,0.94,17.859999999999996
20,NORWAY - OBOS-LIGAEN,2024-06-16,10:00:00,Levanger,Aalesund,4.0,0.0,1.81,3.85,3.55,23.0,1.2297758,1,1,0.94,18.799999999999997
21,NORWAY - OBOS-LIGAEN,2024-06-16,10:00:00,Kongsvinger,Asane,0.0,5.0,1.43,5.2,6.6,44.0,1.2297759,1,1,0.94,19.74
22,NORWAY - OBOS-LIGAEN,2024-06-16,10:00:00,Sandnes,Mjondalen,2.0,3.0,2.44,3.95,2.56,980.0,1.2298217,1,1,0.94,20.68
23,NORWAY - OBOS-LIGAEN,2024-06-16,10:00:00,Start,Stabaek,4.0,3.0,3.0,4.1,2.16,21.0,1.2298218,1,1,0.94,21.62
24,SWEDEN - SUPERETTAN,2024-06-16,10:00:00,Helsingborg,Orebro,1.0,0.0,1.87,3.65,4.3,18.5,1.2297543,1,1,0.94,22.560000000000002
25,SWEDEN - SUPERETTAN,2024-06-16,10:00:00,Oster,Ostersund,1.0,1.0,1.54,4.4,5.5,980.0,1.2297543,1,1,0.94,23.500000000000004
26,BRAZIL - SERIE B,2024-06-16,11:00:00,Botafogo SP,Vila Nova FC,1.0,0.0,2.28,2.92,4.1,12.5,1.2297957,1,1,0.94,24.440000000000005
27,SWEDEN - SUPERETTAN,2024-06-16,12:00:00,Sandviken,Oddevold,2.0,0.0,2.08,3.4,3.7,980.0,1.2297542,1,1,0.94,25.380000000000006
28,URUGUAY - PRIMERA DIVISION,2024-06-16,12:30:00,Fenix,Wanderers,1.0,2.0,2.28,2.86,3.0,12.0,1.229804,1,1,0.94,26.320000000000007
29,URUGUAY - PRIMERA DIVISION,2024-06-16,12:30:00,Fenix,Wanderers,3.0,1.0,2.28,2.86,3.0,12.0,1.229804,1,1,0.94,27.26000000000001
30,EGYPT - PREMIER LEAGUE,2024-06-16,13:00:00,Arab Contractors,El Gaish,3.0,1.0,2.96,2.6,2.84,8.6,1.2297778,1,1,0.94,28.20000000000001
31,URUGUAY - PRIMERA DIVISION,2024-06-16,15:00:00,Danubio,Rampla Juniors,1.0,1.0,2.1,3.4,4.0,14.5,1.2298222,1,1,0.94,29.14000000000001
32,URUGUAY - PRIMERA DIVISION,2024-06-16,15:00:00,Danubio,Rampla Juniors,2.0,0.0,2.1,3.4,4.0,14.5,1.2298222,1,1,0.94,30.080000000000013
33,BRAZIL - SERIE A,2024-06-16,16:00:00,Corinthians,Sao Paulo,2.0,2.0,3.3,3.1,2.62,7.4,1.2297741,1,1,0.94,31.020000000000014
