,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SWEDEN - ALLSVENSKAN,12/08/2023,10:00,AIK,Brommapojkarna,1.62,4.0,5.5,1.8,2.0,1.8,1.14,1.95,0.8,1.3,1.4,1.8,0.617,0.25,0.182,0.556,0.877,0.546,-0.6,-0.5,1,0.5287
2,SWEDEN - SUPERETTAN,12/08/2023,10:00,Ostersund,AFC Eskilstuna,1.85,3.5,4.0,1.95,1.9,1.75,1.11,2.0,1.8,1.2,0.8,1.7,0.541,0.286,0.25,0.513,0.901,0.361,1.0,-0.5,1,0.5734
3,BELGIUM - CHALLENGER PRO LEAGUE,12/08/2023,11:00,Club Brugge KV U23,Lierse K.,3.0,3.4,2.05,1.57,2.35,1.5,1.2,2.5,1.6,0.9,1.6,1.6,0.333,0.294,0.488,0.637,0.833,0.225,0.0,-0.7,1,0.7254
4,BELGIUM - JUPILER PRO LEAGUE,12/08/2023,11:00,RWDM,KV Mechelen,2.1,3.5,3.0,1.6,2.3,1.53,1.2,2.38,2.0,1.3,0.9,2.2,0.476,0.286,0.333,0.625,0.833,0.221,1.1,-0.9,1,0.6678
5,SCOTLAND - LEAGUE TWO,12/08/2023,11:00,Stranraer,East Fife,2.4,3.25,2.63,1.9,1.95,1.73,1.13,2.0,1.2,1.1,0.9,1.3,0.417,0.308,0.38,0.526,0.885,0.123,0.3,-0.2,1,0.6191
6,SWITZERLAND - SUPER LEAGUE,12/08/2023,13:00,Lausanne Ouchy,Zurich,4.0,3.8,1.85,1.67,2.15,1.57,1.17,2.25,2.2,1.7,1.3,1.6,0.25,0.263,0.541,0.599,0.855,0.382,0.9,0.1,1,0.8178
7,SWITZERLAND - SUPER LEAGUE,12/08/2023,13:00,Winterthur,Grasshoppers,2.25,3.4,3.2,1.65,2.2,1.53,1.18,2.38,0.7,1.5,1.0,1.9,0.444,0.294,0.312,0.606,0.847,0.191,-0.3,-0.4,1,0.5696
8,SWITZERLAND - SUPER LEAGUE,12/08/2023,15:30,Servette,St. Gallen,3.0,3.5,2.3,1.5,2.5,1.44,1.25,2.63,2.0,1.2,1.1,1.4,0.333,0.286,0.435,0.667,0.8,0.177,0.9,-0.2,1,0.6908
9,BOLIVIA - DIVISION PROFESIONAL,12/08/2023,16:00,Always Ready,Nacional Potosi,1.7,3.5,4.2,1.62,2.25,1.62,1.18,2.2,2.2,0.8,0.8,1.3,0.588,0.286,0.238,0.617,0.847,0.418,1.4,-0.5,1,0.5184
10,BOLIVIA - DIVISION PROFESIONAL,12/08/2023,18:30,Aurora,Bolivar,2.6,3.5,2.25,1.78,2.03,1.67,1.14,2.1,1.8,0.5,0.4,0.9,0.385,0.286,0.444,0.562,0.877,0.175,1.4,-0.4,1,0.7766
