Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SLOVENIA - PRVA LIGA,07/12/2023,11:00,Mura,Rogaska,1.75,3.7,4.15
2,ALBANIA - SUPERLIGA,07/12/2023,13:00,Partizani,Teuta,1.85,3.35,3.75
3,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,07/12/2023,15:00,Al Shabab,Al Ettifaq,2.15,3.2,3.25
4,NETHERLANDS - EREDIVISIE,07/12/2023,17:00,Feyenoord,FC Volendam,1.06,15.0,29.0
5,URUGUAY - PRIMERA DIVISION,07/12/2023,17:00,Defensor Sp.,Danubio,1.8,3.6,4.2
6,URUGUAY - PRIMERA DIVISION,07/12/2023,17:00,Racing Montevideo,CA Cerro,2.2,3.1,3.3
