Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 2,01/10/2023,04:00,Cheonan City,Gimcheon Sangmu,5.5,4.0,1.53
2,MALTA - PREMIER LEAGUE,01/10/2023,06:00,Balzan,Floriana,3.65,3.3,1.95
3,BELARUS - VYSSHAYA LIGA,01/10/2023,10:00,Smorgon,Neman,8.05,4.8,1.36
4,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,01/10/2023,10:00,Igman K.,Zrinjski,5.5,4.45,1.47
5,ANDORRA - PRIMERA DIVISIÓ,01/10/2023,11:00,Carroi,FC Santa Coloma,4.75,3.8,1.57
6,ESTONIA - MEISTRILIIGA,01/10/2023,11:00,Parnu JK Vaprus,Flora,9.5,5.2,1.23
7,ALBANIA - SUPERLIGA,01/10/2023,11:00,Skenderbeu,Partizani,4.45,3.15,1.75
8,BULGARIA - PARVA LIGA,01/10/2023,11:45,Lok. Sofia,Cherno More,6.0,3.8,1.6
9,MOROCCO - BOTOLA PRO,01/10/2023,12:00,Hassania Agadir,Raja Casablanca,4.75,3.1,1.7
10,MALTA - PREMIER LEAGUE,01/10/2023,12:15,Gudja,Gzira,3.85,3.55,1.82
11,SLOVENIA - PRVA LIGA,01/10/2023,12:30,Radomlje,Koper,3.75,3.5,1.91
12,SLOVENIA - PRVA LIGA,01/10/2023,15:15,Aluminij,Maribor,4.1,3.75,1.75
13,COSTA RICA - PRIMERA DIVISION,01/10/2023,18:00,Liberia,Alajuelense,4.0,3.75,1.7
