Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,19/05/2024,04:00,North District,HK U23,1.26,6.1,7.5
2,SOUTH KOREA - K LEAGUE 1,19/05/2024,04:30,Seoul,Daegu,2.1,3.3,3.5
3,HONG KONG - PREMIER LEAGUE,19/05/2024,07:00,Hong Kong Rangers,Hong Kong FC,1.52,4.25,5.1
4,SPAIN - SEGUNDA RFEF,19/05/2024,07:00,Izarra,Formentera,2.45,2.87,3.0
5,SWEDEN - SUPERETTAN,19/05/2024,08:00,Landskrona,Orebro,1.8,3.9,4.0
6,RUSSIA - PREMIER LEAGUE,19/05/2024,08:15,Spartak Moscow,Rubin Kazan,1.77,4.03,4.93
7,SPAIN - LALIGA2,19/05/2024,09:00,Eibar,FC Cartagena SAD,1.33,4.75,8.5
8,SWEDEN - ALLSVENSKAN,19/05/2024,09:00,Brommapojkarna,Norrkoping,1.9,3.6,3.75
9,INDONESIA - LIGA 1,19/05/2024,09:00,Borneo,Madura United,1.7,3.85,4.2
10,FINLAND - YKKONEN,19/05/2024,10:30,OLS Oulu,Keski-Uusimaa,1.22,5.25,9.0
11,BRAZIL - SERIE B,19/05/2024,11:00,Santos,Brusque,1.4,4.5,8.0
12,UZBEKISTAN - SUPER LEAGUE,19/05/2024,11:00,Navbahor Namangan,Neftchi Fargona,1.7,3.4,4.9
13,NIGERIA - NPFL,19/05/2024,12:00,Rivers United,Niger Tornadoes,1.37,4.0,9.0
14,NIGERIA - NPFL,19/05/2024,12:00,Rivers United,Niger Tornadoes,1.37,4.0,9.0
15,SPAIN - SEGUNDA RFEF,19/05/2024,13:00,UD Logrones,Guijuelo,1.7,3.4,4.9
16,SPAIN - SEGUNDA RFEF,19/05/2024,13:00,Real Aviles,Ciudad Real,1.91,3.05,4.15
17,SPAIN - SEGUNDA RFEF,19/05/2024,13:00,Numancia,Utebo FC,1.72,3.3,4.8
18,SPAIN - SEGUNDA RFEF,19/05/2024,13:00,Marbella,Getafe B,1.98,2.95,4.05
19,SPAIN - SEGUNDA RFEF,19/05/2024,13:00,Badalona Futur,Orihuela,2.15,2.92,3.55
20,SENEGAL - LIGUE 1,19/05/2024,14:00,Jaraaf,Jamono Fatick,1.62,3.15,5.8
21,ECUADOR - LIGA PRO,19/05/2024,15:00,Mushuc Runa,Delfin,2.1,3.2,3.5
22,ARGENTINA - PRIMERA NACIONAL,19/05/2024,15:00,Arsenal Sarandi,Tristan Suarez,2.1,3.2,3.7
23,ARGENTINA - PRIMERA NACIONAL,19/05/2024,15:30,Gimnasia Mendoza,Deportivo Moron,2.05,3.0,4.2
24,ARGENTINA - PRIMERA NACIONAL,19/05/2024,15:30,Defensores Unidos,Deportivo Madryn,2.55,2.9,3.0
25,ARGENTINA - PRIMERA NACIONAL,19/05/2024,15:30,Chacarita Juniors,Racing Cordoba,2.0,3.1,4.2
26,ITALY - SERIE C,19/05/2024,15:30,Monopoli,Virtus Francavilla,1.72,3.3,4.75
27,ARGENTINA - PRIMERA NACIONAL,19/05/2024,15:30,Aldosivi,Almagro,1.75,3.6,4.5
28,BOLIVIA - DIVISION PROFESIONAL,19/05/2024,16:00,Guabira,Aurora,2.15,3.2,3.4
29,ARGENTINA - PRIMERA NACIONAL,19/05/2024,16:00,San Martin S.J.,All Boys,1.67,3.6,5.25
30,BRAZIL - SERIE A,19/05/2024,16:00,Fluminense,Juventude,1.44,4.2,7.5
31,BRAZIL - SERIE B,19/05/2024,16:00,Mirassol,Ituano,1.5,3.8,7.5
32,BRAZIL - SERIE B,19/05/2024,16:00,Operario,Ceara,2.25,3.1,3.4
33,PERU - LIGA 1,19/05/2024,17:30,Los Chankas,Alianza Atl.,1.57,3.5,5.75
34,ARGENTINA - PRIMERA NACIONAL,19/05/2024,18:00,Estudiantes Rio Cuarto,Def. de Belgrano,2.2,2.88,3.9
35,BRAZIL - SERIE A,19/05/2024,18:30,Gremio,Bragantino,1.85,3.6,4.0
36,CHILE - PRIMERA DIVISION,19/05/2024,18:30,Colo Colo,Palestino,1.6,4.0,5.25
37,VENEZUELA - LIGA FUTVE,19/05/2024,18:30,Carabobo,Angostura,1.55,3.55,6.1
