,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Media_Ptos_H,DP_Ptos_H,CV_Ptos_H,Media_VG_H,DP_VG_H,CV_VG_H,Media_CG_H,DP_CG_H,CV_CG_H,Media_GM_H,DP_GM_H,CV_GM_H,Media_GS_H,DP_GS_H,CV_GS_H,Media_SG_H,DP_SG_H,CV_SG_H,Media_p_H,DP_p_H,Media_CG_H_02,GM_H_XP,CV_GM_H_XP,GS_H_XP,CV_GS_H_XP,Media_Ptos_A,DP_Ptos_A,CV_Ptos_A,Media_VG_A,DP_VG_A,CV_VG_A,Media_CG_A,DP_CG_A,CV_CG_A,Media_GM_A,DP_GM_A,CV_GM_A,Media_GS_A,DP_GS_A,CV_GS_A,Media_SG_A,DP_SG_A,CV_SG_A,Media_p_A,DP_p_A,GM_A_XP,CV_GM_A_XP,GS_A_XP,CV_GS_A_XP,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,coeficiente_pontos,cv_pontos,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,XPT_H,XPT_A,XPT_H/A,XPT_A/H,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
1,SERBIA - PRVA LIGA,2024-04-10,10:00,Vrsac,Trayal Krusevac,1.85,3.05,4.2,2.05,1.62,2.09,1.71,1.7272727,1.2128786,0.70219284,0.26194113,0.22760846,0.86892974,0.6331367,0.06765382,0.10685499,1.0,0.8528029,0.8528029,0.6363636,0.97912085,1.5386186,0.36363637,1.1499192,3.1622777,0.4375858,0.12983601,0.6687929,1.0,0.8528029,0.6363636,0.97912085,0.54545456,0.8907235,1.6329932,0.3164912,0.40819627,1.2897556,0.63996327,0.06454665,0.10085994,0.54545456,0.6555548,1.2018504,1.4545455,0.9875255,0.6789238,-0.90909094,1.2398347,-1.3638182,0.26467302,0.07497021,0.49586776,0.7211103,2.2479339,0.63898706,0.5405405,0.32786885,0.23809524,0.4878049,0.61728394,0.4784689,0.5847953,1.6486486,2.2702703,0.60655737,1.3770492,0.44047618,0.72619045,0.6721311,0.53114754,0.34385362,0.24489796,0.38842976,0.15862069,0.19607843,0.44047618,1.3770492,0.60655737,0.902439,2.0487804,0.6721311,0.98086125,9.1,1.182,2.104,-0.13186814,0.12637363,0.2032967,0.46153846,0.38739187,1.1750886,0.386761,2.8783677,30.963757,0.60811186,12.133881,1.8597169,1.2548263,1.4820513,0.6747405,2.8783677,1.15,1.2,1,0.8958
2,FINLAND - YKKONEN,2024-04-10,12:30,Klubi 04,Jazz Pori,1.17,7.0,11.0,1.36,3.1,1.74,2.04,2.3636363,1.06794,0.45182076,0.43006235,0.35437736,0.8240139,0.37834176,0.2116569,0.5594331,3.3636363,2.3845232,0.70891225,1.0,1.2060454,1.2060454,2.3636363,1.9666643,0.8320503,0.7821997,0.104909085,2.072918,5.8099174,1.3805134,1.5454545,0.7803823,1.1818181,1.4024771,1.1867114,0.9363439,0.8588314,0.91721797,0.45678446,0.09555083,0.20918143,2.0,1.7056057,0.8528029,2.5454545,1.0756508,0.4225771,-0.54545456,2.1474566,-3.9370039,0.38263345,0.15430352,1.6363636,2.0846293,4.396694,0.6227452,0.85470086,0.14285715,0.09090909,0.7352941,0.32258064,0.57471263,0.49019608,5.982906,9.40171,0.16714285,1.5714285,0.10636364,0.6363636,0.19428572,0.44285715,0.96040547,0.7135863,0.80772394,0.22222222,0.67464113,0.10636364,1.5714285,0.16714285,0.8602941,8.088235,0.19428572,0.7816092,19.17,1.182,2.47,-0.30412102,0.20865937,0.061032865,0.57381326,0.7736007,4.943309,0.9265734,12.108583,71.06531,2.4607315,-41.02327,2.6550117,1.1274282,2.3549275,0.4246415,12.108583,4.0,5.83,1,0.9997
3,SERBIA - SUPER LIGA,2024-04-10,12:30,Radnicki Nis,OFK Beograd,2.1,3.2,3.4,1.91,1.83,1.7,2.02,2.2727273,1.2128786,0.53366655,0.41164348,0.25977704,0.6310729,0.43942922,0.16653186,0.37897313,1.6363636,1.06794,0.65263003,0.8181818,0.83319557,1.0183501,0.8181818,1.3360853,1.6329932,0.47159094,0.16178282,1.0539773,2.3801653,0.73420876,0.59504133,1.145644,1.9090909,1.2398347,0.64943725,0.4944434,0.3435906,0.69490385,0.52661496,0.11212252,0.21291177,1.1818181,0.83319557,0.70501167,0.90909094,0.8999541,0.98994946,0.27272728,1.2128786,4.4472213,0.3244485,0.09804434,1.0743802,0.9165151,1.4876033,0.54997194,0.47619048,0.3125,0.29411766,0.5235602,0.5464481,0.5882353,0.4950495,1.5238096,1.6190476,0.65625,1.0625,0.61764705,0.9411765,0.596875,0.571875,0.22674929,0.20754717,0.23636363,0.030303031,0.25244617,0.61764705,1.0625,0.65625,1.0994765,1.7801048,0.596875,1.1235294,8.7,0.364,2.453,-0.12643678,0.022988506,0.2413793,0.3908046,0.2413793,0.7,0.28505296,1.7146428,28.810793,0.11313708,2.29061,1.722689,1.3585434,1.2680413,0.7886179,1.7146428,0.2,1.1,1,0.749
4,FINLAND - YKKONEN,2024-04-10,13:00,Atlantis,KPV Kokkola,2.75,4.0,2.0,1.5,2.5,1.42,2.77,1.6363636,1.06794,0.65263003,0.4297408,0.41240558,0.9596612,0.50814563,0.19197288,0.37779108,1.7272727,1.354515,0.78419286,1.0909091,1.1642044,1.0671874,0.6363636,1.6663911,2.6186147,0.6009091,0.14154886,1.164091,3.1404958,0.7449832,1.6859504,0.7533087,1.9090909,1.2398347,0.64943725,0.7765687,0.4891606,0.6299,0.32173288,0.1445012,0.44913405,2.1818182,1.2662171,0.5803495,1.5454545,1.6713433,1.0814574,0.6363636,1.6663911,2.6186147,0.47383985,0.15308428,3.1735537,0.8705243,3.6528926,0.70710677,0.36363637,0.25,0.5,0.6666667,0.4,0.70422536,0.36101082,1.4545455,0.72727275,0.6875,0.5,1.375,2.0,0.375,0.625,0.2753212,0.18518518,0.15789473,0.33333334,0.45454547,1.375,0.5,0.6875,1.8333334,1.3333334,0.375,1.0563381,8.75,-0.273,2.308,-0.14285715,-0.22857143,0.31428573,0.22857143,0.34641016,1.010363,0.4243248,2.4748738,32.005383,1.4142135,-26.565052,1.5909091,1.8636364,0.85365856,1.1714286,2.4748738,2.0,1.25,1,0.583
5,SWEDEN - SUPERETTAN,2024-04-10,14:00,Landskrona,Skovde AIK,1.33,5.0,8.5,1.57,2.35,1.91,1.91,1.6363636,1.2984415,0.793492,0.3107915,0.3451218,1.1104609,0.6244466,0.16586867,0.2656251,1.2727273,1.4826823,1.1649648,1.2727273,1.4200454,1.11575,0.0,1.4142135,1.0,0.5633407,0.087625585,0.918034,1.0413224,1.8121674,2.0826447,0.86780554,0.6363636,0.88139635,1.3850514,0.5875312,0.5432094,0.9245626,0.4676407,0.07299628,0.1560948,0.90909094,0.7925271,0.8717798,2.0,0.9534626,0.4767313,-1.0909091,1.2398347,-1.1365151,0.19768597,0.06009968,1.1570247,0.62269986,2.5454545,0.7491492,0.7518797,0.2,0.11764706,0.6369427,0.42553192,0.5235602,0.5235602,3.7593985,6.3909774,0.266,1.7,0.15647058,0.5882353,0.314,0.47,0.7898362,0.57977885,0.7293998,0.25925925,0.52207,0.15647058,1.7,0.266,0.84713376,5.414013,0.314,0.82198954,14.83,1.0,2.18,-0.24747135,0.2360081,0.08968308,0.5731625,0.7252871,3.585336,0.8240366,8.782244,61.411423,1.1030866,-21.305784,2.3732862,1.1048208,2.1481185,0.46552366,8.782244,3.5,3.67,1,0.9977
6,SWITZERLAND - CHALLENGE LEAGUE,2024-04-10,14:30,Xamax,Schaffhausen,1.9,3.75,3.5,1.65,2.15,1.6,2.18,2.2727273,0.9620914,0.4233202,0.813924,0.44960162,0.5523877,0.27930847,0.10618902,0.38018546,2.5454545,1.233151,0.48445213,1.0909091,0.7925271,0.72648317,1.4545455,1.4993111,1.0307764,0.4684529,0.08227467,1.5069537,3.7024794,0.84779125,1.5867769,0.5448624,1.4545455,1.4373989,0.98821175,0.5916555,0.40081897,0.6774533,0.38050812,0.09383719,0.24661021,1.2727273,0.86243933,0.6776309,1.4545455,1.1570839,0.79549515,-0.18181819,1.7486713,-9.617692,0.28759745,0.08069938,2.3140495,0.47434166,1.5867769,1.0606601,0.5263158,0.26666668,0.2857143,0.6060606,0.4651163,0.625,0.4587156,1.9736842,1.8421053,0.50666666,0.93333334,0.54285717,1.0714285,0.44,0.5733333,0.3286364,0.32743362,0.2962963,0.03448276,0.3888889,0.54285717,0.93333334,0.50666666,1.1515151,2.121212,0.44,1.03125,9.15,0.818,2.399,-0.2021858,-0.027322404,0.20765027,0.38251367,0.32909605,1.003743,0.39918756,2.4586582,42.768826,0.70710677,-14.036243,1.8646617,1.3834586,1.3478261,0.7419355,2.4586582,0.25,1.85,1,0.9195
7,SWITZERLAND - CHALLENGE LEAGUE,2024-04-10,15:15,Etoile-Carouge,Stade Nyonnais,1.6,4.1,4.8,1.62,2.22,1.65,2.1,2.25,1.299038,0.57735026,0.59792536,0.48798475,0.81612986,0.46671656,0.21165282,0.45349327,1.75,1.299038,0.7423075,1.0,0.70710677,0.70710677,0.75,1.6393596,2.185813,0.4486246,0.083426274,1.0993123,2.8636363,0.7938566,1.1818181,0.59832114,1.3636364,1.2984415,0.95219046,0.68865335,0.58941823,0.85589975,0.4626412,0.07221172,0.1560858,1.4545455,1.233151,0.84779125,1.4545455,1.4993111,1.0307764,0.0,1.9069252,1.0,0.28784025,0.08812135,1.5867769,1.1303884,3.7024794,0.58901507,0.625,0.24390244,0.20833333,0.61728394,0.45045045,0.6060606,0.47619048,2.5625,3.0,0.3902439,1.1707317,0.33333334,0.8541667,0.39512196,0.54146343,0.5252184,0.4385965,0.5,0.07865169,0.43356642,0.33333334,1.1707317,0.3902439,0.9876543,2.9629629,0.39512196,0.9818182,10.5,0.886,2.597,-0.23809524,0.06666667,0.15238096,0.45714286,0.48064584,1.6822604,0.5493108,4.1206794,51.34019,0.84852815,-16.699244,2.0833333,1.25,1.6666666,0.6,4.1206794,0.7,2.5,1,0.9642
8,SPAIN - PRIMERA RFEF,2024-04-10,15:30,Alcoyano,Marbella,2.1,3.0,3.3,2.5,1.5,2.2,1.62,1.3636364,1.2984415,0.95219046,0.41357395,0.4292142,1.0378174,0.5472101,0.2165389,0.3957144,1.1818181,0.9359664,0.79197156,1.3636364,1.06794,0.78315604,-0.18181819,1.6414064,-9.027735,0.4644283,0.12478583,0.8231232,1.8264463,0.60562533,0.74380165,1.95789,1.1818181,1.1922616,1.0088367,0.45719266,0.5408757,1.1830366,0.5500503,0.16100332,0.29270652,1.2727273,1.7104443,1.3439206,1.4545455,1.3726971,0.9437293,-0.18181819,2.0810041,-11.445523,0.36992422,0.10113475,1.3884298,1.5679073,1.7190082,1.161513,0.47619048,0.33333334,0.3030303,0.4,0.6666667,0.45454547,0.61728394,1.4285715,1.5714285,0.7,1.1,0.6363636,0.90909094,0.8333333,0.5,0.20360273,0.1764706,0.22222222,0.04761905,0.09090909,0.6363636,1.1,0.7,0.84,1.32,0.8333333,1.1363636,8.4,0.182,2.491,-0.10714286,0.035714287,0.25,0.39285713,0.22303565,0.6244998,0.19504854,1.5297059,24.227745,1.4142135,26.565052,1.7316017,1.3852814,1.25,0.8,1.5297059,0.3,0.9,1,0.6685
9,SPAIN - PRIMERA RFEF,2024-04-10,15:30,Amorebieta,Ath Bilbao B,2.35,2.63,3.2,2.63,1.44,2.1,1.67,1.5454545,1.3726971,0.88821584,0.39069125,0.40718272,1.0422109,0.5647267,0.062915795,0.11140928,1.0909091,1.1642044,1.0671874,0.8181818,0.83319557,1.0183501,0.27272728,1.6006197,5.868939,0.36773524,0.123546034,0.72932214,1.2892562,0.98509604,0.96694213,0.70501167,1.3636364,1.2984415,0.95219046,0.38047588,0.3308741,0.8696322,0.51221365,0.076949246,0.15022881,1.4545455,1.4373989,0.98821175,1.0,0.9534626,0.9534626,0.45454547,1.7248787,3.7947333,0.4998147,0.15711477,0.661157,3.1622777,1.7272727,0.55200464,0.42553192,0.38022813,0.3125,0.38022813,0.6944444,0.47619048,0.5988024,1.119149,1.3617021,0.89353615,1.21673,0.734375,0.821875,1.0,0.5475285,0.12460465,0.0562249,0.15315315,0.097770154,0.0,0.734375,1.21673,0.89353615,0.89353615,1.21673,1.0,1.252381,8.18,0.182,2.671,-0.03422983,0.06968215,0.28728607,0.39119804,0.15886307,0.43316662,0.13208747,1.0610372,7.96961,1.6829141,30.752645,1.5890957,1.3630319,1.1658536,0.8577406,1.0610372,0.57,0.28,1,0.5476
10,BELGIUM - JUPILER PRO LEAGUE,2024-04-10,15:45,Westerlo,Beerschot VA,1.4,4.75,7.0,1.53,2.4,1.75,2.0,1.0,1.0444659,1.0444659,0.6394968,0.6235278,0.9750288,0.45513344,0.1331755,0.2926076,1.4545455,1.304791,0.89704376,1.7272727,0.9620914,0.5570003,-0.27272728,1.4826823,-5.436502,0.37262,0.08071281,0.91358274,1.8512397,1.0251929,1.4132231,1.1758895,0.6363636,1.1499192,1.8070158,0.33875376,0.33160576,0.9788992,0.5870879,0.10117888,0.17234024,0.72727275,0.74965554,1.0307764,2.4545455,1.4993111,0.6108305,-1.7272727,1.7627927,-1.0205642,0.29043776,0.1251321,0.92561984,0.58901507,4.46281,0.82462114,0.71428573,0.21052632,0.14285715,0.6535948,0.41666666,0.5714286,0.5,3.392857,5.0,0.29473683,1.4736842,0.2,0.6785714,0.32210526,0.50526315,0.71630484,0.54471546,0.6666667,0.19148937,0.5127388,0.2,1.4736842,0.29473683,0.9150327,4.5751634,0.32210526,0.8742857,13.15,0.364,2.194,-0.25475284,0.17110266,0.10646388,0.53231937,0.642878,2.8179483,0.7376735,6.902536,59.162167,1.2303658,-23.50904,2.2857144,1.1428572,2.0,0.5,6.902536,2.25,3.35,1,0.9911
11,IRELAND - PREMIER DIVISION,2024-04-10,15:45,Galway,Dundalk,1.5,4.0,6.5,2.03,1.83,2.05,1.7,2.0,1.1281521,0.56407607,0.30205783,0.17200065,0.5694295,0.51021075,0.12315234,0.24137545,1.0909091,0.7925271,0.72648317,0.36363637,0.64282435,1.767767,0.72727275,1.0523489,1.4469796,0.4730951,0.10265394,0.7820021,0.7933884,1.0897248,0.3305785,0.70710677,0.54545456,0.8907235,1.6329932,0.48037627,0.4381647,0.9121281,0.4545148,0.10147936,0.22326964,0.90909094,0.7925271,0.8717798,1.7272727,0.86243933,0.499307,-0.8181818,1.0285189,-1.2570788,0.24773236,0.08144116,0.661157,1.0897248,2.355372,0.6324555,0.6666667,0.25,0.15384616,0.49261084,0.5464481,0.4878049,0.5882353,2.6666667,4.3333335,0.375,1.625,0.23076923,0.61538464,0.5075,0.4575,0.6237325,0.45454547,0.625,0.23809524,0.32669982,0.23076923,1.625,0.375,0.7389163,3.2019703,0.5075,0.9902439,12.0,1.455,2.019,-0.20833333,0.20833333,0.125,0.5416667,0.625,2.5,0.64617854,6.1237245,51.34019,0.28284273,5.710593,2.1538463,1.1282052,1.9090909,0.52380955,6.1237245,2.5,2.5,1,0.9917
12,BRAZIL - SERIE B,2024-04-10,19:00,America MG,Coritiba,1.85,3.3,4.5,2.25,1.62,2.0,1.73,2.2727273,0.9620914,0.4233202,0.33716732,0.1981249,0.58761597,0.4269711,0.11606755,0.27183935,1.7272727,0.9620914,0.5570003,0.54545456,0.6555548,1.2018504,1.1818181,1.0285189,0.8702853,0.5927648,0.07102251,1.1600188,2.198347,0.75592893,0.59504133,0.6009252,0.90909094,1.3111095,1.4422206,0.25903258,0.20205751,0.7800467,0.56518286,0.048709895,0.08618431,0.6363636,0.4810457,0.75592893,1.3636364,1.1499192,0.84327406,-0.72727275,1.4200454,-1.9525625,0.3089685,0.0662363,0.75206614,0.40703866,1.8595041,0.84327406,0.5405405,0.3030303,0.22222222,0.44444445,0.61728394,0.5,0.5780347,1.7837838,2.4324324,0.56060606,1.3636364,0.41111112,0.73333335,0.6818182,0.4909091,0.38027963,0.2815534,0.41732284,0.15384616,0.1891892,0.41111112,1.3636364,0.56060606,0.82222223,2.0,0.6818182,1.125,9.65,1.364,2.273,-0.15025906,0.12435233,0.19170985,0.46632123,0.41252765,1.3269639,0.39878353,3.2503846,35.942112,0.89095455,17.484426,1.8438438,1.2072072,1.5273632,0.6547231,3.2503846,1.2,1.45,1,0.9412
