Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,03/09/2023,07:15,NETHERLANDS - EREDIVISIE,Utrecht,Feyenoord,4.75,4.5,1.62,1.5,1.57,2.25,1.02,1.25,1.14,3.75,1.25
2,03/09/2023,10:00,FINLAND - VEIKKAUSLIIGA,Mariehamn,VPS,3.5,3.4,1.91,1.88,1.75,2.0,1.05,1.36,1.25,6.0,1.13
3,03/09/2023,10:00,FINLAND - VEIKKAUSLIIGA,KTP,Honka,3.8,3.6,1.8,1.88,1.8,1.95,1.04,1.4,1.25,6.0,1.13
4,03/09/2023,13:00,POLAND - DIVISION 1,Chrobry Glogow,Tychy,3.6,3.5,1.91,1.8,1.67,2.1,1.04,1.33,1.22,5.5,1.14
5,03/09/2023,13:15,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Ludogorets,3.8,3.4,1.85,1.93,1.73,2.0,1.05,1.4,1.29,6.5,1.11
6,03/09/2023,14:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Jedinstvo,Buducnost,4.05,3.4,1.82,1.8,1.7,1.91,1.02,1.39,1.27,6.2,1.09
7,03/09/2023,15:00,SERBIA - SUPER LIGA,IMT Novi Beograd,Partizan,4.5,3.9,1.65,1.75,1.8,1.91,1.05,1.37,1.26,4.85,1.14
8,03/09/2023,15:15,SLOVENIA - PRVA LIGA,Mura,O. Ljubljana,3.65,3.45,1.95,1.7,1.6,2.22,1.05,1.36,1.23,4.4,1.17
9,03/09/2023,15:45,ITALY - SERIE C,Olbia,Cesena,5.9,3.65,1.57,2.02,2.05,1.7,1.08,1.47,1.35,6.0,1.1
10,03/09/2023,16:05,CROATIA - HNL,Osijek,D. Zagreb,4.33,3.5,1.7,1.98,1.83,1.83,1.05,1.4,1.29,6.5,1.11
11,03/09/2023,16:30,VENEZUELA - LIGA FUTVE,Rayo Zuliano,Dep. Tachira,3.65,3.2,1.98,2.05,1.85,1.75,1.04,1.47,1.36,7.4,1.04
12,03/09/2023,20:00,ECUADOR - LIGA PRO,Cumbaya,Barcelona SC,4.2,3.25,1.85,2.15,2.0,1.73,1.08,1.44,1.36,9.0,1.07
