,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,17/12/2023,04:00,North District,Hong Kong FC,1.53,4.4,4.75
2,HONG KONG - PREMIER LEAGUE,17/12/2023,04:00,Sham Shui Po,HK U23,1.93,3.85,3.2
3,MALTA - PREMIER LEAGUE,17/12/2023,07:00,Naxxar,Sliema,3.75,3.15,1.98
4,ANDORRA - PRIMERA DIVISIÓ,17/12/2023,07:00,Esperanca,Ordino,6.1,4.4,1.39
5,MALTA - PREMIER LEAGUE,17/12/2023,10:00,Hibernians,Mosta,1.75,3.4,4.45
6,REPUBLIC OF THE CONGO - LIGUE 1,17/12/2023,11:00,Diables Noirs,JS Talangai,,,
7,REPUBLIC OF THE CONGO - LIGUE 1,17/12/2023,11:00,Leopard,Otoho d'Oyo,,,
8,NIGERIA - NPFL,17/12/2023,12:00,Katsina Utd,Enyimba,,,
9,NIGERIA - NPFL,17/12/2023,12:00,Lobi Stars,Doma United,1.72,3.1,5.5
10,GHANA - PREMIER LEAGUE,17/12/2023,12:00,Heart of Lions,Medeama,,,
11,MOROCCO - BOTOLA PRO,17/12/2023,12:00,Renaissance Zemamra,FUS Rabat,4.2,2.75,1.95
12,GHANA - PREMIER LEAGUE,17/12/2023,12:00,Bofoakwa Tano,Legon Cities,2.42,3.0,2.75
13,MALTA - PREMIER LEAGUE,17/12/2023,12:15,Floriana,Marsaxlokk,1.85,3.4,3.9
14,PORTUGAL - LIGA PORTUGAL,17/12/2023,12:30,Moreirense,Portimonense,1.7,3.6,5.0
15,SENEGAL - LIGUE 1,17/12/2023,13:30,Dakar SC,Ouakam,,,
16,SPAIN - PRIMERA RFEF,17/12/2023,16:00,Atl. Madrid B,Sanluqueno,1.85,3.3,3.6
17,ITALY - SERIE C,17/12/2023,16:45,Carrarese,Lucchese,1.8,3.2,4.7
