Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,08/10/2023,07:00,SPAIN - PRIMERA RFEF,R. Union,Tarazona,1.65,3.5,5.0,2.2,2.2,1.62,1.07,1.44,1.4,7.5,1.07
21,08/10/2023,08:30,ESTONIA - MEISTRILIIGA,Paide,Harju JK Laagri,1.34,4.5,7.2,1.65,1.95,1.81,1.01,1.31,1.19,4.75,1.13
22,08/10/2023,09:00,NORTH MACEDONIA - 1. MFL,Struga,Sileks,1.62,3.6,5.1,1.91,1.87,1.75,1.04,1.4,1.3,7.1,1.06
23,08/10/2023,09:00,THAILAND - THAI LEAGUE 1,Bangkok Utd,Chiangrai Utd,1.47,4.35,6.0,1.75,1.91,1.8,1.04,1.35,1.24,4.65,1.16
24,08/10/2023,09:30,AUSTRIA - BUNDESLIGA,LASK,Altach,1.5,4.0,6.5,1.7,1.8,1.95,1.04,1.33,1.2,5.0,1.17
25,08/10/2023,10:00,SERBIA - PRVA LIGA,OFK Beograd,Radnicki S. Mitrovica,1.42,3.9,6.5,1.8,2.05,1.73,1.02,1.39,1.26,6.2,1.09
26,08/10/2023,10:00,NORWAY - OBOS-LIGAEN,KFUM Oslo,Bryne,1.7,4.0,4.75,1.62,1.62,2.2,1.03,1.3,1.18,4.5,1.18
27,08/10/2023,10:30,RUSSIA - PREMIER LEAGUE,Dynamo Moscow,Fakel Voronezh,1.5,4.71,7.43,1.91,2.02,1.75,1.01,1.36,1.23,5.4,1.1
28,08/10/2023,11:00,SCOTLAND - PREMIERSHIP,Aberdeen,St Johnstone,1.57,4.0,6.0,1.95,1.95,1.8,1.05,1.4,1.3,6.0,1.13
29,08/10/2023,11:00,BELGIUM - JUPILER PRO LEAGUE,Antwerp,Eupen,1.25,6.5,10.0,1.5,2.0,1.75,1.02,1.25,1.14,3.75,1.25
30,08/10/2023,11:15,SPAIN - LALIGA2,Valladolid,Mirandes,1.65,3.6,6.5,2.05,2.0,1.73,1.07,1.44,1.33,8.0,1.08
31,08/10/2023,11:30,SWITZERLAND - SUPER LEAGUE,Young Boys,Basel,1.5,5.0,5.5,1.4,1.57,2.25,1.02,1.22,1.13,3.4,1.3
32,08/10/2023,12:15,CROATIA - HNL,D. Zagreb,Istra 1961,1.17,7.0,13.0,1.57,2.5,1.5,1.03,1.29,1.17,4.33,1.2
33,08/10/2023,12:30,SLOVENIA - PRVA LIGA,O. Ljubljana,Radomlje,1.4,4.65,6.5,1.55,1.78,1.93,1.03,1.3,1.18,3.8,1.22
34,08/10/2023,12:30,SERBIA - SUPER LIGA,TSC,Sp. Subotica,1.47,4.2,6.2,1.78,1.93,1.78,1.05,1.37,1.26,4.85,1.14
20,08/10/2023,13:00,EGYPT - PREMIER LEAGUE,Al Ahly,El Ismaily,1.33,4.4,9.25,1.78,2.07,1.6,1.01,1.35,1.25,5.25,1.11
19,08/10/2023,13:00,ALBANIA - SUPERLIGA,Partizani,Kukesi,1.53,3.6,5.5,2.0,2.1,1.7,1.05,1.45,1.33,8.0,1.05
35,08/10/2023,13:00,EGYPT - PREMIER LEAGUE,Pyramids,Enppi,1.5,3.75,6.5,1.93,2.05,1.62,1.02,1.42,1.32,6.5,1.06
17,08/10/2023,13:00,BAHRAIN - PREMIER LEAGUE,Al Khalidiyah,Al-Ahli Manama,1.57,3.8,5.5,2.07,2.12,1.65,1.07,1.45,1.36,6.1,1.09
36,08/10/2023,13:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Siroki Brijeg,Igman K.,1.55,3.9,5.3,1.8,1.83,1.78,1.02,1.35,1.26,5.9,1.1
2,08/10/2023,14:00,PORTUGAL - LIGA PORTUGAL,FC Porto,Portimonense,1.13,7.5,15.0,1.44,2.2,1.62,1.02,1.22,1.13,3.5,1.29
3,08/10/2023,14:15,MOROCCO - BOTOLA PRO,Berkane,Youssoufia Berrechid,1.5,3.6,6.0,2.15,2.15,1.55,1.04,1.45,1.36,7.4,1.04
4,08/10/2023,15:00,ECUADOR - LIGA PRO,EL Nacional,Mushuc Runa,1.67,3.5,4.75,1.7,1.67,2.1,1.04,1.33,1.2,5.0,1.17
5,08/10/2023,15:00,MEXICO - LIGA MX,Toluca,Queretaro,1.6,4.2,5.25,1.62,1.67,2.1,1.03,1.3,1.18,4.5,1.18
6,08/10/2023,15:15,SLOVENIA - PRVA LIGA,Koper,Aluminij,1.65,3.8,4.65,1.85,1.85,1.85,1.06,1.4,1.28,5.2,1.13
7,08/10/2023,15:30,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,FK Sarajevo,Zeljeznicar,1.6,3.7,5.1,1.91,1.9,1.72,1.03,1.4,1.3,6.6,1.08
8,08/10/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Always Ready,Palmaflor,1.22,5.25,11.0,1.44,1.91,1.8,1.03,1.22,1.13,3.4,1.3
9,08/10/2023,16:00,BRAZIL - SERIE A,Palmeiras,Santos,1.5,4.0,7.5,2.0,2.05,1.7,1.06,1.4,1.3,6.5,1.11
10,08/10/2023,16:30,MOROCCO - BOTOLA PRO,Raja Casablanca,Moghreb Tetouan,1.36,3.8,9.0,2.0,2.25,1.57,1.06,1.4,1.3,7.0,1.1
11,08/10/2023,16:30,PORTUGAL - LIGA PORTUGAL,Sporting CP,Arouca,1.2,5.25,12.0,1.57,2.1,1.67,1.03,1.29,1.17,4.33,1.2
12,08/10/2023,16:45,ARGENTINA - COPA DE LA LIGA PROFESIONAL,River Plate,Talleres Cordoba,1.57,3.8,6.5,1.9,1.91,1.8,1.05,1.4,1.25,6.0,1.13
