,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,05/05/2024,04:00,Resources Capital,Sham Shui Po,3.15,3.75,1.98
2,PHILIPPINES - PFL,05/05/2024,04:00,Kaya,Cebu FC,1.67,4.0,3.75
3,MONGOLIA - PREMIER LEAGUE,05/05/2024,05:15,Bavarians,Khoromkhon,,,
4,PHILIPPINES - PFL,05/05/2024,06:30,Stallion,Taguig,1.44,4.5,5.0
5,CHINA - SUPER LEAGUE,05/05/2024,08:35,Wuhan Three Towns,Qingdao Hainiu,1.7,3.8,4.75
6,PHILIPPINES - PFL,05/05/2024,09:00,Maharlika,Philippine Air Force,2.25,3.75,2.5
7,POLAND - DIVISION 1,05/05/2024,10:00,Wisla Plock,Motor Lublin,2.05,3.25,3.1
8,FINLAND - YKKONEN,05/05/2024,10:00,OLS Oulu,Jazz Pori,2.0,3.8,2.9
9,BELGIUM - JUPILER PRO LEAGUE,05/05/2024,11:00,Lommel SK,Deinze,2.3,3.4,2.6
10,REPUBLIC OF THE CONGO - LIGUE 1,05/05/2024,12:00,Vegas,V. Club Mokanda,,,
11,GHANA - PREMIER LEAGUE,05/05/2024,12:00,Asante Kotoko,Legon Cities,1.65,3.15,5.3
12,GHANA - PREMIER LEAGUE,05/05/2024,12:00,Heart of Lions,Nsoatreman,,,
13,REPUBLIC OF THE CONGO - LIGUE 1,05/05/2024,14:00,Etoile du Congo,Otoho d'Oyo,,,
14,IVORY COAST - LIGUE 1,05/05/2024,15:00,ASEC Mimosas,Lys Sassandra,1.55,3.35,6.0
15,URUGUAY - PRIMERA DIVISION,05/05/2024,15:00,Fenix,Defensor Sp.,3.75,3.5,1.83
16,BOLIVIA - DIVISION PROFESIONAL,05/05/2024,16:00,SA Bulo Bulo,Universitario de Vinto,1.55,3.8,5.0
17,BRAZIL - BRASILEIRO WOMEN,05/05/2024,17:00,Bragantino W,Real Brasilia W,,,
18,BRAZIL - SERIE A,05/05/2024,18:30,Botafogo RJ,Bahia,1.91,3.6,4.0
