Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,20/04/2024,06:30,ROMANIA - LIGA 2,Hunedoara,Mioveni,2.57,2.85,2.95,2.5,2.02,1.72,1.12,1.62,1.5,7.6,1.05
2,20/04/2024,12:00,GHANA - PREMIER LEAGUE,Legon Cities,Hearts of Oak,2.42,2.77,3.0,3.2,2.55,1.49,1.13,1.65,1.7,9.7,1.01
3,20/04/2024,13:00,ARGENTINA - PRIMERA NACIONAL,Deportivo Madryn,Chaco For Ever,1.91,3.1,5.0,2.7,2.38,1.53,1.13,1.62,1.53,13.0,1.04
4,20/04/2024,13:30,ITALY - SERIE C,L.R. Vicenza,Trento,1.7,2.87,5.7,2.2,1.98,1.65,1.06,1.55,1.42,9.05,1.02
5,20/04/2024,20:00,VENEZUELA - LIGA FUTVE,La Guaira,Dep. Tachira,2.67,2.95,2.65,2.32,1.98,1.65,1.07,1.53,1.45,9.8,1.01
6,20/04/2024,21:00,BRAZIL - SERIE A,Atletico-MG,Cruzeiro,1.85,3.5,4.0,2.35,2.2,1.62,1.08,1.53,1.44,10.0,1.06
