Nº,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,17/09/2024,11:30,ESTONIA - MEISTRILIIGA,Narva,Flora,4.2,3.7,1.65,1.6,1.62,2.24
2,17/09/2024,15:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Portadown,Coleraine,3.65,3.8,1.85,1.7,1.65,2.1
3,17/09/2024,15:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Cliftonville,Linfield,3.5,3.8,1.88,1.65,1.62,2.18
4,17/09/2024,22:00,MEXICO - LIGA MX,Atl. San Luis,Cruz Azul,4.5,3.6,1.8,1.67,1.62,2.2
