,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ANDORRA - PRIMERA DIVISIÓ,24/09/2023,08:30,Esperanca,UE Santa Coloma,6.8,3.6,1.47
2,NETHERLANDS - EREDIVISIE,24/09/2023,09:30,Ajax,Feyenoord,2.9,3.75,2.25
3,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,11:00,Peniche,CDC Montalegre,2.8,3.3,2.2
4,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,11:00,Mortagua,Amora,4.33,3.25,1.73
5,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,11:00,FC Barreirense,SC Mirandela,3.0,3.25,2.1
6,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,11:00,Dumiense,Santarem,3.25,3.25,2.0
7,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,11:00,ACDR Lamelas,Tirsense,3.1,3.4,2.0
8,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,11:00,Tomar,Pero Pinheiro,4.2,3.4,1.72
9,ICELAND - BESTA DEILD KARLA,24/09/2023,11:00,Keflavik,Kopavogur,2.6,3.55,2.42
10,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,11:00,Vitoria Sernache,SC Vianense,2.75,3.2,2.3
11,INDIA - ISL,24/09/2023,11:30,North East Utd,Mumbai City,8.0,6.0,1.25
12,MALTA - PREMIER LEAGUE,24/09/2023,13:00,Sliema,Valletta,4.25,3.6,1.72
13,BAHRAIN - PREMIER LEAGUE,24/09/2023,13:00,Sitra,Al Khalidiyah,4.85,3.5,1.7
14,ANDORRA - PRIMERA DIVISIÓ,24/09/2023,13:30,Ordino,Inter Escaldes,7.5,5.0,1.29
15,QATAR - QSL,24/09/2023,14:00,Muaither SC,Shamal,2.5,3.65,2.45
16,QATAR - QSL,24/09/2023,14:00,Al Markhiya,Al Wakra,4.4,4.05,1.65
17,PORTUGAL - LIGA PORTUGAL,24/09/2023,14:00,Portimonense,Benfica,13.0,5.75,1.25
18,MALTA - PREMIER LEAGUE,24/09/2023,15:00,Gudja,Marsaxlokk,3.2,3.1,2.2
