,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,CHINA - SUPER LEAGUE,09/03/2024,04:30,Henan Songshan Longmen,Meizhou Hakka,1.6,4.2,5.25
2,VIETNAM - V.LEAGUE 1,09/03/2024,07:00,Gia Lai,Ho Chi Minh,2.18,3.15,3.2
3,VIETNAM - V.LEAGUE 1,09/03/2024,08:00,Binh Duong,Song Lam Nghe An,1.91,3.35,3.75
4,CHINA - SUPER LEAGUE,09/03/2024,08:35,Shandong Taishan,Beijing Guoan,1.85,4.0,3.75
5,MALTA - PREMIER LEAGUE,09/03/2024,10:00,Marsaxlokk,Birkirkara,2.07,3.55,3.1
6,INDIA - I-LEAGUE,09/03/2024,10:30,Mohammedan,Namdhari,1.2,6.1,11.0
7,NIGERIA - NPFL,09/03/2024,12:00,Rivers United,Kano Pillars,1.62,3.25,5.9
8,SCOTLAND - LEAGUE TWO,09/03/2024,12:00,Forfar Athletic,Clyde,2.25,3.5,2.63
9,ENGLAND - LEAGUE TWO,09/03/2024,12:00,Mansfield,Swindon,1.53,4.2,6.0
10,BOLIVIA - DIVISION PROFESIONAL,09/03/2024,16:00,Universitario de Vinto,SA Bulo Bulo,1.65,3.3,4.75
11,USA - MLS,09/03/2024,22:30,Austin FC,St. Louis City,2.5,3.4,2.8
12,COSTA RICA - PRIMERA DIVISION,09/03/2024,23:00,Herediano,Sporting San Jose,1.44,4.33,7.5
13,USA - MLS,09/03/2024,23:30,Real Salt Lake,Colorado Rapids,1.7,4.0,4.75
