Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,INDIA - I-LEAGUE,23/12/2023,05:30,Lajong,Namdhari,1.72,3.85,3.95
2,PORTUGAL - LIGA PORTUGAL 2,23/12/2023,09:45,Maritimo,Penafiel,1.53,4.0,6.0
3,CAMEROON - ELITE ONE,23/12/2023,11:00,Canon Yaounde,Gazelle,2.27,2.77,3.25
4,CAMEROON - ELITE ONE,23/12/2023,11:30,Les Astres,Fortuna Mfou,2.05,2.85,3.65
5,NORTHERN IRELAND - NIFL PREMIERSHIP,23/12/2023,12:00,Cliftonville,Ballymena,1.2,6.1,12.0
6,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,23/12/2023,12:00,Al Taawon,Al Fateh,1.62,4.0,4.5
7,GHANA - PREMIER LEAGUE,23/12/2023,12:00,Berekum Chelsea,Bofoakwa Tano,1.98,2.87,3.9
8,ITALY - SERIE C,23/12/2023,12:15,Juventus U23,Vis Pesaro,1.98,3.3,3.7
9,PORTUGAL - LIGA PORTUGAL,23/12/2023,12:30,Vitoria Guimaraes,Rio Ave,1.67,3.75,4.75
10,SENEGAL - LIGUE 1,23/12/2023,13:30,Teungueth,Jaraaf,2.32,2.7,3.25
11,MOROCCO - BOTOLA PRO,23/12/2023,14:00,Wydad,Youssoufia Berrechid,1.36,5.0,6.0
