Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,FINLAND - YKKONEN,18/05/2024,10:00,EPS,Jazz Pori,2.4,3.6,2.38
2,POLAND - DIVISION 1,18/05/2024,10:00,Zaglebie Sosnowiec,Legnica,3.5,3.5,1.83
3,FINLAND - YKKONEN,18/05/2024,11:00,VIFK,Klubi 04,4.75,4.33,1.48
4,PORTUGAL - LIGA PORTUGAL,18/05/2024,11:30,Arouca,Vitoria Guimaraes,2.7,3.4,2.45
5,SLOVAKIA - NIKE LIGA,18/05/2024,12:00,Z. Moravce-Vrable,Trencin,5.7,4.1,1.53
6,URUGUAY - PRIMERA DIVISION,18/05/2024,12:30,Fenix,Progreso,2.88,3.1,2.45
7,SERBIA - SUPER LIGA,18/05/2024,13:00,Radnik,Sp. Subotica,3.3,3.25,2.12
8,SPAIN - PRIMERA RFEF,18/05/2024,14:00,Granada CF B,Recreativo Huelva,4.5,3.4,1.67
9,IVORY COAST - LIGUE 1,18/05/2024,14:45,Zoman,ASEC Mimosas,4.15,2.65,2.05
10,POLAND - EKSTRAKLASA,18/05/2024,15:00,Piast Gliwice,Jagiellonia,3.0,3.7,2.15
11,CHILE - PRIMERA DIVISION,18/05/2024,16:00,Cobreloa,Deportes Iquique,3.0,3.4,2.3
