Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,02/03/2024,04:30,CHINA - SUPER LEAGUE,Cangzhou,Beijing Guoan,6.0,4.2,1.55,1.67,1.75,2.0,1.03,1.35,1.2,5.0,1.17
22,02/03/2024,05:00,INDONESIA - LIGA 1,Persita,Borneo,3.75,3.55,1.85,1.7,1.65,2.0,10.5,1.33,1.24,5.0,1.12
21,02/03/2024,08:00,ARMENIA - PREMIER LEAGUE,Shirak Gyumri,Urartu,4.45,3.6,1.65,1.9,1.92,1.84,1.02,1.38,1.3,6.45,1.07
20,02/03/2024,08:30,INDIA - ISL,Punjab,Mumbai City,4.5,3.75,1.67,1.8,1.8,1.91,1.04,1.38,1.25,5.5,1.14
19,02/03/2024,09:30,ENGLAND - CHAMPIONSHIP,Huddersfield,Leeds,5.5,4.2,1.57,1.73,1.83,1.83,1.04,1.38,1.22,5.0,1.17
18,02/03/2024,10:00,URUGUAY - PRIMERA DIVISION,Racing Montevideo,Defensor Sp.,3.8,3.2,2.0,2.25,1.91,1.8,1.08,1.52,1.4,9.0,1.07
17,02/03/2024,10:30,AUSTRIA - 2. LIGA,Liefering,St. Polten,3.55,3.7,1.9,1.7,1.65,2.12,1.04,1.35,1.23,4.45,1.17
16,02/03/2024,11:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Khaleej,Al Shabab,3.75,3.5,1.95,1.98,1.83,1.83,1.05,1.44,1.3,6.0,1.11
15,02/03/2024,11:00,NETHERLANDS - TWEEDE DIVISIE,Kozakken Boys,Hardenberg,3.85,3.9,1.75,1.57,1.57,2.1,1.02,1.29,1.16,3.75,1.19
11,02/03/2024,12:00,ENGLAND - LEAGUE ONE,Shrewsbury,Blackpool,4.2,3.5,1.91,2.1,1.95,1.8,1.06,1.47,1.36,8.0,1.08
14,02/03/2024,12:00,SCOTLAND - CHAMPIONSHIP,Partick Thistle,Dundee Utd,3.4,3.75,1.85,1.7,1.67,2.1,1.03,1.36,1.22,4.5,1.17
13,02/03/2024,12:00,SCOTLAND - LEAGUE ONE,Kelty Hearts,Hamilton,5.0,4.2,1.53,1.67,1.8,1.91,1.03,1.35,1.2,4.5,1.17
12,02/03/2024,12:00,ENGLAND - LEAGUE TWO,Colchester,Stockport County,4.0,3.6,1.85,1.8,1.67,2.1,1.04,1.4,1.22,5.5,1.14
9,02/03/2024,12:00,ENGLAND - CHAMPIONSHIP,Birmingham,Southampton,4.0,3.8,1.85,1.62,1.57,2.25,1.03,1.34,1.2,4.5,1.2
8,02/03/2024,12:00,ENGLAND - LEAGUE TWO,Newport,Mansfield,4.33,3.9,1.75,1.7,1.67,2.1,1.04,1.37,1.22,5.0,1.17
7,02/03/2024,12:00,ENGLAND - PREMIER LEAGUE,Nottingham,Liverpool,6.0,4.33,1.53,1.5,1.57,2.25,1.03,1.25,1.14,4.0,1.25
10,02/03/2024,12:00,ENGLAND - CHAMPIONSHIP,Plymouth,Ipswich,4.5,4.0,1.7,1.53,1.53,2.38,1.03,1.3,1.17,4.0,1.25
6,02/03/2024,13:00,SLOVAKIA - NIKE LIGA,Skalica,Trencin,4.55,3.5,1.78,2.1,1.98,1.75,1.08,1.47,1.37,6.5,1.09
5,02/03/2024,13:30,POLAND - DIVISION 1,Odra Opole,Wisla,3.8,3.5,1.83,1.8,1.67,2.1,1.04,1.37,1.22,5.5,1.14
4,02/03/2024,14:00,MOROCCO - BOTOLA PRO,IR Tanger,FAR Rabat,5.5,3.5,1.55,2.05,2.0,1.73,1.07,1.42,1.33,7.0,1.1
3,02/03/2024,14:30,ITALY - SERIE C,Pro Vercelli,Mantova,4.45,3.35,1.8,2.05,1.88,1.82,1.07,1.47,1.35,5.9,1.1
2,02/03/2024,16:00,NETHERLANDS - EREDIVISIE,Vitesse,Twente,5.25,4.0,1.62,1.83,1.8,1.95,1.04,1.39,1.25,6.0,1.13
23,02/03/2024,17:00,NETHERLANDS - EREDIVISIE,Sparta Rotterdam,AZ Alkmaar,3.8,3.8,1.85,1.93,1.8,1.95,1.04,1.44,1.29,6.5,1.11
24,02/03/2024,18:00,COSTA RICA - PRIMERA DIVISION,Puntarenas FC,Herediano,3.8,3.4,1.8,1.95,1.8,1.91,1.06,1.42,1.29,6.5,1.11
