,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2025-02-24,12:30:00,SERBIA - SUPER LIGA,IMT Novi Beograd,TSC,2.94,2.38,3.5,25.0,1.2397934
2,2025-02-24,13:00:00,UKRAINE - PREMIER LEAGUE,Shakhtar Donetsk,Livyi Bereh,1.11,28.0,10.0,1000.0,1.2397945
3,2025-02-24,14:00:00,TURKEY - SUPER LIG,Galatasaray,Fenerbahce,2.26,3.3,3.75,19.5,1.2397592
4,2025-02-24,15:00:00,DENMARK - SUPERLIGA,Viborg,Silkeborg,2.26,3.25,3.8,16.5,1.2397206
5,2025-02-24,16:45:00,ITALY - SERIE A,AS Roma,Monza,1.33,12.5,5.8,36.0,1.239406
6,2025-02-24,17:00:00,SPAIN - LALIGA,Sevilla,Mallorca,2.12,4.3,3.3,11.5,1.2394226
7,2025-02-24,17:15:00,PORTUGAL - LIGA PORTUGAL,FC Porto,Vitoria Guimaraes,1.76,5.9,3.75,17.5,1.2397646
8,2025-02-24,20:00:00,PERU - LIGA 1,Binacional,Cusco,2.14,3.6,3.4,34.0,1.2397523
