,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
1,30/06/2023,13:00,EGYPT - PREMIER LEAGUE,Enppi,Pharco,2.46,2.88,3.3,2.57,2.14
2,30/06/2023,15:30,EGYPT - PREMIER LEAGUE,El Gaish,Ceramica Cleopatra,2.43,2.92,3.3,2.45,2.08
3,30/06/2023,15:45,IRELAND - PREMIER DIVISION,Cork City,Drogheda,2.3,3.3,3.1,1.95,1.7
4,30/06/2023,15:45,IRELAND - PREMIER DIVISION,Shelbourne,Derry City,3.8,3.1,2.1,2.5,2.1
5,30/06/2023,17:30,PERU - LIGA 1,Cajamarca,Sport Huancayo,2.6,3.1,2.9,2.05,1.8
6,30/06/2023,19:00,ARGENTINA - LIGA PROFESIONAL,Platense,Lanus,2.9,2.88,2.8,2.7,2.1
7,30/06/2023,19:00,CANADA - CANADIAN PREMIER LEAGUE,HFX Wanderers,Forge,2.72,3.25,2.43,2.03,1.75
8,30/06/2023,21:00,ARGENTINA - PRIMERA NACIONAL,Club A. Guemes,San Martin S.J.,2.45,2.8,3.5,2.7,2.2
9,30/06/2023,21:00,ARGENTINA - PRIMERA NACIONAL,Gimnasia Jujuy,Quilmes,2.15,3.0,4.0,2.5,2.1
10,30/06/2023,21:10,ARGENTINA - PRIMERA NACIONAL,Ferro,Brown Adrogue,2.0,3.2,4.2,2.7,2.2
11,30/06/2023,21:30,ARGENTINA - LIGA PROFESIONAL,Atl. Tucuman,Union de Santa Fe,2.15,3.1,3.75,2.5,2.1
12,30/06/2023,22:00,MEXICO - LIGA MX,Mazatlan FC,Pachuca,4.5,4.0,1.65,1.57,1.62
13,30/06/2023,22:30,CANADA - CANADIAN PREMIER LEAGUE,Pacific FC,Atl. Ottawa,1.72,3.62,4.5,1.98,1.85
