Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,0byuuNCk,20/08/2023,05:00,HONG KONG - PREMIER LEAGUE,Sham Shui Po,Southern District,ROUND 1,11.0,6.15,1.21,1.22,3.75,1.01,21.0,1.12,5.5,1.43,2.54,2.16,1.68,3.42,1.25,1.91,1.85,,,,,17.0,6.5,5.5,6.0,31.0,10.0,7.0,8.0,76.0,31.0,19.0,19.0,201.0,101.0,81.0,91.0,201.0
2,nkCxAjQD,20/08/2023,06:00,ROMANIA - LIGA 2,Unirea Dej,Steaua Bucuresti,ROUND 3,3.25,3.2,2.18,1.45,2.56,1.04,8.2,1.36,2.79,2.18,1.67,3.74,1.21,7.8,1.05,1.86,1.9,,,,,7.5,6.5,9.5,19.0,8.0,5.5,8.0,15.0,13.0,9.5,12.0,26.0,31.0,21.0,34.0,76.0,101.0
3,8Ovmw1s2,20/08/2023,07:30,HONG KONG - PREMIER LEAGUE,Hong Kong Rangers,Lee Man Warriors,ROUND 1,3.95,3.78,1.78,1.31,3.15,1.01,11.8,1.19,4.0,1.69,2.14,2.6,1.41,5.5,1.12,1.62,2.24,,,,,10.0,6.5,7.5,12.0,11.0,6.0,6.5,10.0,20.0,11.0,10.0,17.0,46.0,26.0,31.0,41.0,201.0
4,6HgFKuts,20/08/2023,10:00,ARMENIA - PREMIER LEAGUE,West Armenia,Ararat-Armenia,ROUND 4,12.6,6.85,1.17,1.26,3.48,1.01,21.0,1.12,5.05,1.43,2.54,2.13,1.7,3.28,1.27,2.28,1.6,,,,,18.0,6.5,5.0,5.5,36.0,11.0,7.5,8.0,91.0,36.0,23.0,23.0,201.0,151.0,126.0,101.0,201.0
5,fTftiZYd,20/08/2023,10:00,SWEDEN - SUPERETTAN,Trelleborg,Oster,ROUND 19,3.5,3.5,2.05,1.36,3.0,1.05,11.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.7,2.05,,,1.8,2.05,11.0,8.5,10.0,19.0,12.0,6.5,9.0,15.0,19.0,12.0,13.0,23.0,41.0,26.0,34.0,41.0,201.0
6,GKn1ZB37,20/08/2023,12:00,ESTONIA - MEISTRILIIGA,Tallinna Kalev,Flora,ROUND 24,15.0,6.9,1.15,1.23,3.74,1.01,13.0,1.12,5.1,1.44,2.51,2.19,1.66,3.48,1.24,2.14,1.67,,,,,13.0,7.0,5.5,6.5,29.0,10.0,8.0,9.0,51.0,34.0,23.0,26.0,51.0,51.0,51.0,51.0,
7,Ea2Wr2ia,20/08/2023,12:00,AUSTRIA - BUNDESLIGA,Hartberg,Salzburg,ROUND 4,6.0,4.33,1.5,1.25,3.75,1.02,19.0,1.13,6.0,1.44,2.7,2.1,1.67,3.5,1.29,1.53,2.38,5.5,1.15,2.5,1.5,19.0,11.0,9.5,12.0,21.0,9.0,8.5,11.0,34.0,19.0,13.0,19.0,51.0,41.0,34.0,41.0,126.0
8,OKKJRCKc,20/08/2023,14:15,BELGIUM - CHALLENGER PRO LEAGUE,St. Liege U23,RFC Liege,ROUND 2,3.0,3.75,1.91,1.33,3.25,1.03,15.0,1.22,4.0,1.7,2.1,2.75,1.4,5.0,1.17,1.62,2.2,3.0,1.38,1.8,2.0,15.0,9.0,11.0,17.0,12.0,8.0,9.0,15.0,19.0,11.0,15.0,23.0,34.0,23.0,29.0,41.0,151.0
9,K4uojOgI,20/08/2023,16:15,ICELAND - BESTA DEILD KARLA,Valur,Vikingur Reykjavik,ROUND 20,2.55,3.88,2.45,1.24,3.82,1.01,16.5,1.1,5.35,1.42,2.61,2.14,1.72,3.32,1.27,1.41,2.81,,,,,15.0,11.0,13.0,23.0,11.0,6.5,8.0,13.0,13.0,7.5,8.0,15.0,21.0,13.0,14.0,23.0,126.0
10,0pxzgJ7F,20/08/2023,20:30,BOLIVIA - DIVISION PROFESIONAL,Guabira,The Strongest,ROUND 24,3.5,3.3,2.0,1.4,2.75,1.05,11.0,1.25,3.75,1.85,1.95,3.25,1.33,6.0,1.13,1.73,2.0,,,,,11.0,8.0,10.0,19.0,11.0,6.5,9.0,17.0,19.0,13.0,13.0,26.0,41.0,29.0,34.0,41.0,201.0
