,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,04/08/2023,07:30,SOUTH KOREA - K LEAGUE 1,Gwangju FC,Daejeon,2.15,3.3,3.4,1.95,1.73,2.0
2,04/08/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Metallurg Bekabad,Navbahor Namangan,5.68,3.55,1.63,2.4,2.28,1.6
3,04/08/2023,12:00,FINLAND - VEIKKAUSLIIGA,Ilves,Haka,2.2,3.4,3.25,2.05,1.8,1.95
4,04/08/2023,15:30,POLAND - DIVISION 1,Wisla Plock,Lechia Gdansk,1.73,3.6,4.0,1.8,1.73,2.0
5,04/08/2023,15:45,SCOTLAND - CHAMPIONSHIP,Arbroath,Dundee Utd,3.4,3.25,2.0,2.03,1.83,1.83
6,04/08/2023,16:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Posusje,Siroki Brijeg,2.35,3.04,3.08,2.52,2.05,1.73
7,04/08/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Universitario de Vinto,Libertad Gran Mamore,1.44,4.33,8.0,1.85,2.1,1.67
8,04/08/2023,21:00,ECUADOR - LIGA PRO,Libertad,Emelec,2.63,3.2,2.45,1.95,1.73,2.0
9,04/08/2023,21:30,BRAZIL - SERIE B,Mirassol,Sampaio Correa,1.57,3.88,6.25,2.23,2.25,1.61
10,04/08/2023,22:00,CANADA - CANADIAN PREMIER LEAGUE,Cavalry,Forge,2.54,3.3,2.57,1.96,1.72,2.07
11,04/08/2023,22:30,COLOMBIA - PRIMERA A,Aguilas,Once Caldas,1.85,3.6,4.33,2.0,1.83,1.83
