,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,OVER2_5,04/11/2023,05:45,AUSTRALIA - A-LEAGUE,Melbourne Victory,Adelaide United,2.15,3.75,3.25,1.57,2.35,1.5,2.5,A,H,A
2,BTTS Sim,04/11/2023,10:30,ENGLAND - FA CUP,Northampton,Barrow,2.0,3.4,4.0,1.85,1.95,1.7,2.05,H,A,D
3,OVER2_5,04/11/2023,12:00,ENGLAND - PREMIER LEAGUE,Brentford,West Ham,1.95,3.6,3.75,1.7,2.1,1.62,2.2,A,H,D
4,OVER2_5,04/11/2023,12:00,ENGLAND - FA CUP,Notts Co,Crawley,1.62,3.8,5.5,1.62,2.25,1.67,2.1,H,A,D
5,OVER2_5,04/11/2023,12:00,SCOTLAND - LEAGUE ONE,Stirling,Alloa,2.1,3.5,2.8,1.8,2.0,1.62,2.2,H,H,H
6,BTTS Sim,04/11/2023,12:00,ENGLAND - FA CUP,Newport,Oldham,1.73,4.0,4.33,1.65,2.2,1.67,2.1,H,A,D
7,BTTS Sim,04/11/2023,16:30,SWITZERLAND - SUPER LEAGUE,Zurich,Servette,2.2,3.5,3.25,1.73,2.08,1.57,2.25,H,D,D
8,BTTS Sim,04/11/2023,19:55,MEXICO - LIGA MX,Tigres,Atletico San Luis,1.5,4.33,6.5,1.6,2.3,1.7,2.05,H,D,H
9,OVER2_5,04/11/2023,20:00,USA - MLS,New York Red Bulls,FC Cincinnati,2.0,3.8,3.5,1.73,2.08,1.67,2.1,H,H,A
10,OVER2_5,04/11/2023,20:00,COSTA RICA - PRIMERA DIVISION,Sporting San Jose,Zeledon,1.65,3.6,4.75,1.7,2.1,1.67,2.1,H,A,H
11,OVER2_5,04/11/2023,23:00,COSTA RICA - PRIMERA DIVISION,Saprissa,Alajuelense,2.0,3.6,3.4,1.7,2.1,1.62,2.2,H,A,H
