Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,19/11/2023,08:00,SPAIN - PRIMERA RFEF,Ceuta,Granada CF B,1.44,3.6,7.0,2.35,2.63,1.44,1.08,1.5,1.44,8.0,1.06
2,19/11/2023,10:00,ITALY - SERIE C,Mantova,Trento,1.62,3.8,5.1,1.98,2.0,1.72,1.07,1.42,1.33,5.8,1.1
3,19/11/2023,10:00,CAMEROON - ELITE ONE,Canon Yaounde,Aigle Royal,1.42,4.05,6.4,1.85,2.14,1.67,1.03,1.37,1.28,6.4,1.08
4,19/11/2023,10:00,ITALY - SERIE C,Padova,Pro Vercelli,1.57,3.85,5.5,1.95,2.0,1.72,1.06,1.42,1.31,5.6,1.11
5,19/11/2023,12:15,ITALY - SERIE C,Gubbio,Sestri Levante,1.42,4.05,7.7,2.15,2.42,1.5,1.08,1.47,1.38,6.4,1.08
6,19/11/2023,12:15,ITALY - SERIE C,Cesena,Lucchese,1.52,3.9,6.1,2.07,2.22,1.6,1.07,1.47,1.37,6.2,1.09
7,19/11/2023,12:15,ITALY - SERIE C,Carrarese,Spal,1.65,3.4,5.6,2.5,2.4,1.5,1.11,1.6,1.5,7.7,1.05
8,19/11/2023,12:15,ITALY - SERIE C,Avellino,Giugliano,1.37,4.35,8.0,1.98,2.35,1.53,1.06,1.42,1.33,5.8,1.1
9,19/11/2023,14:00,SPAIN - PRIMERA RFEF,Antequera,Linares,1.7,3.5,4.75,2.25,2.2,1.62,1.07,1.5,1.4,7.5,1.07
10,19/11/2023,15:45,BRAZIL - SERIE B,Guarani,ABC,1.35,4.25,9.75,2.15,2.65,1.42,1.08,1.5,1.39,6.5,1.08
11,19/11/2023,17:00,JAMAICA - PREMIER LEAGUE,Portmore,Molynes,1.57,3.65,5.5,1.93,1.98,1.65,1.04,1.42,1.32,7.5,1.06
12,19/11/2023,17:00,JAMAICA - PREMIER LEAGUE,Mount Pleasant,Harbour View,1.62,3.65,5.0,1.93,1.9,1.72,1.04,1.42,1.31,7.0,1.07
13,19/11/2023,22:05,MEXICO - LIGA DE EXPANSION MX,Zacatecas Mineros,Tepatitlan de Morelos,1.65,4.0,4.45,1.52,1.55,2.3,1.03,1.29,1.17,3.65,1.24
