Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,BANGLADESH - PREMIER LEAGUE,30/12/2023,05:30,Bangladesh Police,Sheikh Jamal,1.75,3.6,3.9
2,BANGLADESH - PREMIER LEAGUE,30/12/2023,05:30,Bashundara Kings,Chittagong Abahani,1.3,5.25,7.65
3,CAMEROON - ELITE ONE,30/12/2023,09:30,Fauve Azur Elite,APEJES Academy,1.62,3.35,5.2
4,SCOTLAND - PREMIERSHIP,30/12/2023,12:00,Aberdeen,St. Mirren,1.91,3.5,4.0
5,ENGLAND - PREMIER LEAGUE,30/12/2023,12:00,Manchester City,Sheffield Utd,1.08,13.0,21.0
6,GHANA - PREMIER LEAGUE,30/12/2023,12:00,Bofoakwa Tano,Asante Kotoko,2.15,2.95,3.25
7,IVORY COAST - LIGUE 1,30/12/2023,12:30,ASEC Mimosas,Stade d'Abidjan,1.82,3.2,4.1
8,SENEGAL - LIGUE 1,30/12/2023,13:30,Jaraaf,Mbour,1.82,3.0,4.46
9,EGYPT - PREMIER LEAGUE,30/12/2023,14:00,Enppi,Baladiyat El Mahalla,1.9,3.1,4.2
10,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,30/12/2023,15:00,Al Shabab,Al Wehda,1.7,3.75,4.2
