Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,POLAND - DIVISION 1,01/04/2024,07:40,Pruszkow,Polonia Warszawa,2.0,3.25,3.5
2,CAMEROON - ELITE ONE,01/04/2024,10:00,Aigle Royal,Avion Academy,2.05,2.87,3.7
3,ENGLAND - LEAGUE TWO,01/04/2024,11:00,Mansfield,Accrington,1.36,5.5,7.5
4,ENGLAND - LEAGUE ONE,01/04/2024,11:00,Cheltenham,Exeter,2.15,3.3,3.5
5,ENGLAND - LEAGUE ONE,01/04/2024,11:00,Bristol Rovers,Shrewsbury,2.1,3.3,3.6
6,ROMANIA - LIGA 2,01/04/2024,11:30,Csikszereda M. Ciuc,Selimbar,2.32,3.1,3.1
7,CAMEROON - ELITE ONE,01/04/2024,12:00,Victoria United,Yong Sports Academy,2.52,2.8,2.82
8,NORWAY - OBOS-LIGAEN,01/04/2024,12:00,Moss,Lyn,2.25,3.4,2.63
9,NORWAY - OBOS-LIGAEN,01/04/2024,12:00,Bryne,Start,2.2,3.4,2.75
10,NORWAY - OBOS-LIGAEN,01/04/2024,12:00,Asane,Levanger,2.0,3.5,3.0
11,IRELAND - PREMIER DIVISION,01/04/2024,13:00,St. Patricks,Sligo Rovers,2.2,3.1,3.5
12,ARGENTINA - PRIMERA NACIONAL,01/04/2024,15:30,Def. de Belgrano,San Telmo,1.91,3.2,4.75
13,EGYPT - PREMIER LEAGUE,01/04/2024,16:30,National Bank Egypt,El Daklyeh,1.6,3.4,5.9
