,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2025-01-29,05:00:00,AUSTRALIA - A-LEAGUE,Western United,Central Coast Mariners,1.88,4.3,4.1,21.0,1.2384484
2,2025-01-29,10:30:00,ITALY - SERIE D,FC Calvi Noale,Luparense FC,2.58,3.1,2.52,90.0,1.2388631
3,2025-01-29,10:30:00,ITALY - SERIE D,Citta di Varese,ASD Oltrepo FBC,1.88,3.95,3.0,75.0,1.2388626
4,2025-01-29,10:30:00,ITALY - SERIE D,US Folgore Caratese ASD,Pro Palazzolo,2.28,3.0,2.96,70.0,1.2388637
5,2025-01-29,10:30:00,ITALY - SERIE D,ASD Club Milano,AC Magenta,2.34,3.5,2.58,95.0,1.2388638
6,2025-01-29,10:30:00,ITALY - SERIE D,Villa Valle,AC Mestre,2.1,3.1,3.0,80.0,1.2388629
7,2025-01-29,10:30:00,ITALY - SERIE D,AC Crema 1908,USD Casatese,3.15,2.14,3.1,65.0,1.2388624
8,2025-01-29,10:30:00,ITALY - SERIE D,ASD Varesina,AC Chievo Verona,2.7,2.42,2.94,65.0,1.2388622
9,2025-01-29,10:30:00,ITALY - SERIE D,AC Ospitaletto,Sondrio Calcio,1.06,5.1,4.4,1000.0,1.2388623
10,2025-01-29,10:30:00,ITALY - SERIE D,Montecchio Maggiore,US Lavis ASD,1.66,4.8,3.5,130.0,1.2388628
11,2025-01-29,10:30:00,ITALY - SERIE D,AVC Vogherese 1919,ASD Fossano Calcio,1.9,3.5,3.4,95.0,1.2388632
12,2025-01-29,10:30:00,ITALY - SERIE D,Chieri 1955,Lavagnese,4.1,1.62,3.35,29.0,1.238864
13,2025-01-29,10:30:00,ITALY - SERIE D,Calcio Desenzano,FC Sangiuliano City,1.17,7.4,3.85,1000.0,1.238863
14,2025-01-29,10:30:00,ITALY - SERIE D,Bra,Derthona,1.54,6.0,3.25,1000.0,1.2388622
15,2025-01-29,11:00:00,ITALY - SERIE D,SCD Ligorna,Sanremese,1.9,3.45,2.42,42.0,1.2388629
16,2025-01-29,14:00:00,ITALY - SERIE D,SSD Pro Sesto,GS Arconatese,1.72,3.25,2.9,120.0,1.2388636
17,2025-01-29,15:00:00,BELGIUM - CHALLENGER PRO LEAGUE,Lommel SK,Francs Borains,2.28,3.3,3.45,42.0,1.238765
18,2025-01-29,15:00:00,ITALY - SERIE D,Treviso,US Adriese,1.5,2.76,3.25,1000.0,1.2388636
19,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Stuttgart,PSG,3.85,2.76,2.64,10.5,1.2386023
20,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Salzburg,Atl. Madrid,8.4,1.44,5.3,9.6,1.2386014
21,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Dortmund,Shakhtar Donetsk,1.39,8.6,5.9,40.0,1.2386013
22,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,D. Zagreb,AC Milan,6.2,1.57,4.8,14.0,1.2386004
23,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Girona,Arsenal,6.0,1.63,4.4,8.6,1.2386012
24,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,PSV,Liverpool,2.36,3.15,3.75,20.0,1.2386017
25,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Bayern Munich,Slovan Bratislava,1.03,140.0,40.0,1000.0,1.2386016
26,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Lille,Feyenoord,2.18,3.55,3.75,17.0,1.2386025
27,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Young Boys,Crvena zvezda,2.66,2.7,3.9,16.5,1.2386022
28,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Bayer Leverkusen,Slavia Prague,1.14,25.0,11.5,110.0,1.2386019
29,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Manchester City,Club Brugge KV,1.24,15.0,7.6,60.0,1.2386029
30,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Inter,Monaco,1.67,5.6,4.4,26.0,1.2386009
31,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Sturm Graz,RB Leipzig,4.2,1.94,3.95,12.5,1.2386026
32,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Aston Villa,Celtic,1.55,6.4,4.8,27.0,1.2386019
33,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Brest,Real Madrid,8.6,1.4,5.7,12.0,1.2386006
34,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Juventus,Benfica,2.28,3.75,3.35,13.5,1.2386007
35,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Sporting CP,Bologna,1.55,7.4,4.5,25.0,1.2386005
36,2025-01-29,17:00:00,ENGLAND - LEAGUE TWO,Barrow,Doncaster,3.15,2.5,3.25,24.0,1.238721
37,2025-01-29,17:00:00,EUROPE - CHAMPIONS LEAGUE,Barcelona,Atalanta,1.79,4.5,4.5,36.0,1.2386011
