,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,Lay Away New,12/05/2024,04:30,SOUTH KOREA - K LEAGUE 1,Ulsan HD,Gimcheon Sangmu,1.7,3.75,4.75,1.88,1.98,1.83,1.83,H,D,D
2,Lay Away New,12/05/2024,04:30,SOUTH KOREA - K LEAGUE 1,Pohang Steelers,Jeju Utd,1.75,3.6,4.5,1.98,1.88,1.83,1.83,H,D,D
3,Lay Away New,12/05/2024,07:30,POLAND - EKSTRAKLASA,Puszcza,Warta Poznan,2.7,3.0,2.8,2.35,1.57,1.95,1.8,H,D,A
4,Lay Away New,12/05/2024,09:00,SWEDEN - ALLSVENSKAN,Hacken,Kalmar FF,1.5,4.33,6.0,1.53,2.4,1.67,2.1,H,A,D
5,Lay Away New,12/05/2024,09:30,NETHERLANDS - EREDIVISIE,FC Utrecht,Sparta Rotterdam,1.7,4.0,4.5,1.62,2.25,1.62,2.2,A,A,H
6,Lay Away New,12/05/2024,10:00,SWEDEN - SUPERETTAN,Helsingborgs,Sandviken,1.95,3.5,3.75,1.93,1.93,1.75,2.0,H,A,H
7,Lay Away New,12/05/2024,11:00,BULGARIA - PARVA LIGA,Beroe Stara Za,Pirin Blagoevgrad,1.85,3.3,4.33,2.15,1.67,2.0,1.73,D,A,H
8,Lay Away New,12/05/2024,11:15,SPAIN - LALIGA2,Oviedo,Zaragoza,1.7,3.4,5.5,2.5,1.5,2.38,1.53,A,A,H
9,Lay Away New,12/05/2024,11:30,SWITZERLAND - SUPER LEAGUE,St. Gallen,Servette,2.3,3.6,2.8,1.57,2.35,1.44,2.63,D,H,H
10,Lay Away New,12/05/2024,13:10,ARGENTINA - PRIMERA NACIONAL,San Telmo,CA Atlanta,2.1,2.9,4.2,2.7,1.44,2.25,1.57,H,D,H
11,Lay Away New,12/05/2024,15:00,PERU - LIGA 1,UTC Cajamarca,Melgar,4.2,3.3,1.91,2.15,1.67,1.91,1.8,D,H,H
12,Lay Away New,12/05/2024,15:00,ECUADOR - LIGA PRO,El Nacional,Independiente (Ecu),3.0,3.1,2.3,1.53,2.4,1.44,2.63,H,H,D
13,Lay Away New,12/05/2024,15:30,ROMANIA - LIGA 1,FC U Craiova 1948,Hermannstadt,1.95,3.4,3.3,2.3,1.6,2.1,1.67,H,A,H
14,Lay Away New,12/05/2024,20:00,ECUADOR - LIGA PRO,Barcelona (ECU),Aucas,1.85,3.5,4.0,1.93,1.88,1.8,1.91,H,H,D
15,Lay Away New,12/05/2024,21:30,COLOMBIA - PRIMERA A,Tolima,Once Caldas,1.75,3.5,4.75,2.3,1.6,2.2,1.62,H,A,H
16,Lay Away New,12/05/2024,22:00,MEXICO - LIGA MX,Cruz Azul,Pumas UNAM,2.0,3.6,3.6,1.7,2.1,1.62,2.2,A,H,D
