,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,03/09/2023,08:00,Anyang,Busan,2.3,3.0,2.88,2.15,1.67,1.83,1.07,1.83,1.5,1.3,1.5,1.0,0.435,0.333,0.347,0.465,0.935,0.121,0.0,0.3,1,0.7219
2,BELGIUM - JUPILER PRO LEAGUE,03/09/2023,08:30,Gent,Club Brugge KV,2.45,3.5,2.63,1.62,2.25,1.5,1.2,2.5,1.9,1.1,1.3,1.8,0.408,0.286,0.38,0.617,0.833,0.146,0.6,-0.7,1,0.5448
3,SWITZERLAND - SUPER LEAGUE,03/09/2023,09:15,Servette,Young Boys,3.1,3.6,2.2,1.57,2.35,1.5,1.22,2.5,2.0,1.2,1.3,1.5,0.323,0.278,0.455,0.637,0.82,0.213,0.7,-0.3,1,0.8036
4,SWEDEN - ALLSVENSKAN,03/09/2023,10:00,Kalmar,Mjallby,2.38,3.3,3.1,2.35,1.57,2.0,1.06,1.75,1.7,1.2,1.1,1.0,0.42,0.303,0.323,0.426,0.943,0.147,0.6,0.2,1,0.5123
5,URUGUAY - PRIMERA DIVISION,03/09/2023,10:00,Fenix,Liverpool M.,3.25,3.2,2.15,2.05,1.75,1.83,1.08,1.83,0.6,0.7,1.2,1.1,0.308,0.312,0.465,0.488,0.926,0.202,-0.6,-0.4,1,0.5654
6,SWEDEN - ALLSVENSKAN,03/09/2023,10:00,Degerfors,Hacken,5.0,4.75,1.55,1.4,2.88,1.5,1.3,2.5,1.3,1.5,1.8,0.9,0.2,0.211,0.645,0.714,0.769,0.589,-0.5,0.6,1,0.5555
7,SWEDEN - SUPERETTAN,03/09/2023,10:00,Trelleborg,AFC Eskilstuna,1.95,3.4,3.5,1.88,1.98,1.75,1.13,2.0,1.3,1.7,0.8,1.7,0.513,0.294,0.286,0.532,0.885,0.289,0.5,0.0,1,0.5686
8,SWEDEN - SUPERETTAN,03/09/2023,10:00,Helsingborg,Sundsvall,1.91,3.5,3.4,1.7,2.1,1.67,1.17,2.1,0.8,1.4,1.2,2.1,0.524,0.286,0.294,0.588,0.855,0.3,-0.4,-0.7,1,0.5507
9,BELGIUM - JUPILER PRO LEAGUE,03/09/2023,11:00,Royale Union SG,Antwerp,2.2,3.4,3.1,2.0,1.85,1.75,1.1,2.0,1.8,1.3,1.1,0.6,0.455,0.294,0.323,0.5,0.909,0.196,0.7,0.7,1,0.5537
10,SCOTLAND - PREMIERSHIP,03/09/2023,11:00,Hearts,Motherwell,1.95,3.5,4.0,1.9,1.95,1.75,1.13,2.0,2.1,1.1,1.2,1.2,0.513,0.286,0.25,0.526,0.885,0.333,0.9,-0.1,1,0.5648
