Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,AUSTRALIA - A-LEAGUE,12/05/2024,03:00,Melbourne Victory,Wellington Phoenix,1.8,3.75,4.2
2,SOUTH KOREA - K LEAGUE 2,12/05/2024,04:30,Gyeongnam,Seongnam,1.95,3.4,3.6
3,SOUTH KOREA - K LEAGUE 2,12/05/2024,04:30,Anyang,Gimpo FC,1.8,3.4,4.2
4,SOUTH KOREA - K LEAGUE 1,12/05/2024,04:30,Pohang,Jeju Utd,1.75,3.6,4.5
5,MONGOLIA - PREMIER LEAGUE,12/05/2024,05:15,Tuv Azarganuud,Khaan Khuns-Erchim,1.97,5.25,2.49
6,SPAIN - SEGUNDA RFEF,12/05/2024,06:30,Getafe B,Marbella,2.22,2.95,3.35
7,PHILIPPINES - PFL,12/05/2024,06:30,Cebu FC,One Taguig,1.5,5.0,4.0
8,SPAIN - SEGUNDA RFEF,12/05/2024,07:00,Atl. Paso,Barakaldo,2.5,3.05,2.75
9,ESTONIA - MEISTRILIIGA,12/05/2024,08:30,Levadia,Kalju,1.45,4.2,5.5
10,CHINA - SUPER LEAGUE,12/05/2024,09:00,Shenzhen Xinpengcheng,Qingdao West Coast,2.0,3.4,3.75
11,VIETNAM - V.LEAGUE 1,12/05/2024,09:15,Cong An,Khanh Hoa,1.34,4.65,7.7
12,VIETNAM - V.LEAGUE 1,12/05/2024,09:15,Hai Phong,Quang Nam,1.65,3.6,4.75
13,NETHERLANDS - EREDIVISIE,12/05/2024,09:30,Twente,FC Volendam,1.06,13.0,29.0
14,BELGIUM - JUPILER PRO LEAGUE,12/05/2024,11:00,St. Truiden,KV Mechelen,2.3,3.5,2.88
15,SPAIN - PRIMERA RFEF,12/05/2024,11:00,Unionistas,R. Sociedad B,2.05,3.0,3.4
16,NORTH MACEDONIA - 1. MFL,12/05/2024,12:00,Shkupi,Brera Strumica,1.55,3.65,5.2
17,FINLAND - YKKONEN,12/05/2024,12:00,Keski-Uusimaa,KuPS Akatemia,1.83,4.5,2.9
18,FINLAND - YKKONEN,12/05/2024,12:30,Jazz Pori,Rovaniemi,1.44,5.0,4.5
19,FINLAND - YKKONEN,12/05/2024,12:30,Atlantis,VIFK,1.4,5.0,5.0
20,FINLAND - YKKONEN,12/05/2024,12:30,Klubi 04,EPS,1.25,5.5,7.5
21,SLOVAKIA - NIKE LIGA,12/05/2024,12:30,Dun. Streda,Trnava,2.27,3.3,3.05
22,POLAND - DIVISION 1,12/05/2024,13:00,Polonia Warszawa,Leczna,2.45,3.2,2.75
23,RUSSIA - PREMIER LEAGUE,12/05/2024,13:00,Sochi,Pari NN,2.0,3.57,4.26
24,SPAIN - PRIMERA RFEF,12/05/2024,13:00,Cultural Leonesa,Teruel,1.8,3.25,4.0
25,SPAIN - SEGUNDA RFEF,12/05/2024,13:00,Utebo FC,Numancia,2.47,2.95,2.9
26,ICELAND - BESTA DEILD KARLA,12/05/2024,14:00,KR Reykjavik,Kopavogur,1.39,4.85,6.4
27,MONTENEGRO - PRVA CRNOGORSKA LIGA,12/05/2024,14:00,Mornar Bar,Rudar,1.5,3.8,6.2
28,MONTENEGRO - PRVA CRNOGORSKA LIGA,12/05/2024,14:00,Petrovac,Arsenal Tivat,2.18,2.92,3.45
29,SPAIN - PRIMERA RFEF,12/05/2024,15:00,Real Madrid B,Granada CF B,1.4,4.0,6.0
30,ROMANIA - LIGA 1,12/05/2024,15:30,FC Voluntari,U. Cluj,2.3,3.5,2.7
31,ARGENTINA - PRIMERA NACIONAL,12/05/2024,15:30,Alvarado,Talleres (R.E),2.2,3.0,3.6
32,BRAZIL - SERIE A,12/05/2024,16:00,Atletico GO,Cruzeiro,2.63,3.2,2.8
33,SPAIN - LALIGA2,12/05/2024,16:00,Elche,Huesca,1.6,3.6,6.0
34,ICELAND - BESTA DEILD KARLA,12/05/2024,16:15,Vikingur Reykjavik,Hafnarfjordur,1.55,4.35,4.9
35,PERU - LIGA 1,12/05/2024,17:00,Deportivo Garcilaso,Grau,2.0,3.3,3.75
36,ARGENTINA - PRIMERA NACIONAL,12/05/2024,17:30,Nueva Chicago,Gimnasia Mendoza,2.38,2.88,3.4
37,ARGENTINA - PRIMERA NACIONAL,12/05/2024,18:00,Racing Cordoba,CA Estudiantes,2.25,3.0,3.5
38,COSTA RICA - PRIMERA DIVISION,12/05/2024,18:00,Alajuelense,Guanacasteca,1.29,5.0,9.0
39,VENEZUELA - LIGA FUTVE,12/05/2024,18:00,Angostura,Portuguesa,2.35,3.15,2.9
40,BRAZIL - SERIE A,12/05/2024,18:30,Vasco,Vitoria,1.75,3.6,5.0
41,BOLIVIA - DIVISION PROFESIONAL,12/05/2024,18:30,Aurora,Oriente Petrolero,1.4,4.2,7.0
42,JAMAICA - PREMIER LEAGUE,12/05/2024,19:00,Mount Pleasant,Waterhouse,1.7,3.45,4.8
43,COLOMBIA - PRIMERA A,12/05/2024,19:15,La Equidad,Santa Fe,2.75,2.88,2.88
44,JAMAICA - PREMIER LEAGUE,12/05/2024,22:00,Cavalier,Arnett Gardens,1.87,3.25,4.05
