,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,OVER2_5,11/11/2023,03:30,AUSTRALIA - A-LEAGUE,WS Wanderers,Perth Glory,1.65,3.8,5.25,1.65,2.2,1.67,2.1,D,H,H
2,OVER2_5,11/11/2023,12:00,ENGLAND - LEAGUE TWO,AFC Wimbledon,Doncaster,1.8,3.75,4.33,1.73,2.08,1.67,2.1,H,A,D
3,OVER2_5,11/11/2023,12:00,SCOTLAND - LEAGUE ONE,Montrose,Annan,1.83,3.6,3.4,1.5,2.5,1.5,2.5,D,H,A
4,BTTS Sim,11/11/2023,12:00,SCOTLAND - CHAMPIONSHIP,Partick Thistle,Morton,1.7,3.75,4.2,1.7,2.1,1.73,2.0,H,D,H
5,BTTS Sim,11/11/2023,12:00,ENGLAND - LEAGUE TWO,Grimsby,Morecambe,2.15,3.5,3.25,1.93,1.93,1.73,2.0,H,A,D
6,BTTS Sim,11/11/2023,12:00,ENGLAND - LEAGUE TWO,Wrexham,Gillingham,1.6,4.2,5.25,1.65,2.2,1.73,2.0,H,A,D
7,BTTS Sim,11/11/2023,12:00,ENGLAND - CHAMPIONSHIP,Ipswich,Swansea,1.53,4.33,5.5,1.57,2.35,1.67,2.1,H,D,D
8,BTTS Sim,11/11/2023,12:00,ENGLAND - CHAMPIONSHIP,Cardiff,Norwich,1.91,3.6,3.8,1.83,2.03,1.67,2.1,H,D,D
9,OVER2_5,11/11/2023,12:45,BULGARIA - PARVA LIGA,Arda,Beroe Stara Za,1.57,3.8,6.5,2.0,1.85,1.91,1.8,H,H,D
10,BTTS Sim,11/11/2023,13:30,POLAND - EKSTRAKLASA,Zaglebie Lubin,Widzew Lodz,2.05,3.5,3.4,1.88,1.98,1.7,2.05,H,A,H
11,OVER2_5,11/11/2023,20:00,USA - MLS,Houston Dynamo,Real Salt Lake,1.65,4.0,5.0,1.65,2.2,1.7,2.05,A,D,H
12,OVER2_5,11/11/2023,23:00,COSTA RICA - PRIMERA DIVISION,Liberia,Puntarenas FC,2.05,3.4,3.1,1.75,2.05,1.62,2.2,A,H,H
