Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,19/08/2023,10:00,NETHERLANDS - TWEEDE DIVISIE,Rijnsburgse Boys,Kozakken Boys,1.51,4.9,4.92,1.45,1.57,2.34,1.01,1.23,1.15,3.5,1.25
17,19/08/2023,10:00,THAILAND - THAI LEAGUE 1,Chiangrai Utd,Uthai Thani,1.44,4.55,6.41,1.65,1.77,2.0,12.6,1.3,1.17,4.4,1.16
16,19/08/2023,10:30,NETHERLANDS - TWEEDE DIVISIE,Katwijk,Lisse,1.26,6.3,7.75,1.45,1.85,1.91,1.01,1.22,1.14,3.5,1.25
15,19/08/2023,11:00,UZBEKISTAN - SUPER LEAGUE,Pakhtakor,Metallurg Bekabad,1.24,5.34,13.1,1.74,2.45,1.52,1.02,1.3,1.22,4.6,1.16
14,19/08/2023,11:00,ENGLAND - PREMIER LEAGUE,Liverpool,Bournemouth,1.2,7.0,13.0,1.33,1.75,2.0,1.01,1.2,1.1,3.0,1.4
13,19/08/2023,11:00,ESTONIA - MEISTRILIIGA,Paide,Tammeka,1.44,4.05,7.29,2.13,2.27,1.6,1.03,1.43,1.34,7.2,1.05
12,19/08/2023,12:00,BELARUS - VYSSHAYA LIGA,Zhodino,Belshina,1.29,5.7,9.35,1.48,1.87,1.89,1.02,1.26,1.13,3.65,1.22
11,19/08/2023,12:30,POLAND - EKSTRAKLASA,Rakow,Stal Mielec,1.44,4.5,6.5,1.73,1.95,1.8,1.04,1.33,1.22,5.5,1.14
18,19/08/2023,14:00,CROATIA - HNL,D. Zagreb,Varazdin,1.31,4.9,9.5,1.7,2.05,1.7,1.04,1.35,1.23,4.5,1.18
10,19/08/2023,14:30,SPAIN - LALIGA2,Levante,Burgos CF,1.67,3.5,6.0,2.4,2.38,1.53,1.1,1.53,1.44,11.0,1.05
8,19/08/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ittihad,Al Taee,1.18,5.75,13.0,1.48,2.2,1.62,1.03,1.25,1.14,3.75,1.25
7,19/08/2023,16:00,NETHERLANDS - EREDIVISIE,G.A. Eagles,FC Volendam,1.67,4.0,5.0,1.6,1.62,2.2,1.03,1.29,1.18,4.33,1.2
6,19/08/2023,18:00,BRAZIL - SERIE B,Juventude,Sampaio Correa,1.75,3.4,5.35,2.33,2.25,1.61,1.07,1.54,1.49,8.7,1.02
5,19/08/2023,18:30,BRAZIL - SERIE A,Fluminense,America MG,1.5,4.0,7.0,1.93,2.0,1.75,1.06,1.36,1.29,6.0,1.13
4,19/08/2023,18:40,VENEZUELA - LIGA FUTVE,Puerto Cabello,Mineros,1.45,4.33,6.67,1.81,1.92,1.84,1.01,1.35,1.23,5.3,1.11
3,19/08/2023,20:00,ARGENTINA - PRIMERA NACIONAL,Quilmes,Villa Dalmine,1.4,4.2,9.5,2.05,2.25,1.57,1.07,1.4,1.33,7.0,1.1
2,19/08/2023,20:30,PARAGUAY - PRIMERA DIVISION,Libertad Asuncion,Sportivo Trinidense,1.44,4.5,5.5,1.7,1.83,1.83,1.03,1.33,1.22,5.0,1.17
9,19/08/2023,22:00,USA - USL CHAMPIONSHIP,San Antonio,Monterey Bay,1.62,3.84,4.98,1.86,1.82,1.94,1.01,1.36,1.25,5.6,1.09
19,19/08/2023,23:00,COSTA RICA - PRIMERA DIVISION,Saprissa,Cartagines,1.5,3.8,5.75,1.83,1.91,1.8,1.04,1.36,1.25,6.0,1.13
