,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,26/11/2023,03:00,Gimpo FC,Gyeongnam,2.75,3.25,2.3,2.08,1.73,1.83,1.08,1.83,1.4,1.1,1.7,1.1,0.364,0.308,0.435,0.481,0.926,0.141,-0.3,0.0,1,0.6201
2,SOUTH KOREA - K LEAGUE 2,26/11/2023,03:00,Seongnam,Ansan Greeners,1.75,4.0,3.75,1.48,2.6,1.5,1.25,2.5,1.0,1.4,1.4,2.2,0.571,0.25,0.267,0.676,0.8,0.407,-0.4,-0.8,1,0.7033
3,SOUTH KOREA - K LEAGUE 2,26/11/2023,03:00,Bucheon FC 1995,Jeonnam,2.3,3.3,2.8,1.95,1.85,1.73,1.11,2.0,0.8,0.4,1.4,1.6,0.435,0.303,0.357,0.513,0.901,0.148,-0.6,-1.2,1,0.923
4,SPAIN - PRIMERA RFEF,26/11/2023,08:00,Granada CF B,Baleares,2.0,3.1,3.5,2.5,1.5,2.38,1.04,1.53,1.3,1.0,0.6,2.2,0.5,0.323,0.286,0.4,0.962,0.253,0.7,-1.2,1,0.585
5,SPAIN - PRIMERA RFEF,26/11/2023,08:00,Cornella,Barcelona B,3.1,3.3,2.15,2.38,1.53,2.2,1.05,1.62,1.1,0.7,1.0,1.2,0.323,0.303,0.465,0.42,0.952,0.198,0.1,-0.5,1,0.5536
6,SPAIN - PRIMERA RFEF,26/11/2023,08:00,UD Ibiza,Castellon,2.2,3.4,2.9,2.1,1.7,1.91,1.08,1.8,1.9,1.7,1.5,1.2,0.455,0.294,0.345,0.476,0.926,0.184,0.4,0.5,1,0.5452
7,BELGIUM - JUPILER PRO LEAGUE,26/11/2023,09:30,Gent,Royale Union SG,2.55,3.4,2.63,1.67,2.15,1.57,1.17,2.25,2.5,1.1,1.7,1.2,0.392,0.294,0.38,0.599,0.855,0.123,0.8,-0.1,1,0.6899
8,BELGIUM - CHALLENGER PRO LEAGUE,26/11/2023,09:30,Genk U23,Seraing,2.2,3.4,2.88,1.6,2.3,1.5,1.2,2.5,0.9,2.3,0.7,1.6,0.455,0.294,0.347,0.625,0.833,0.183,0.2,0.7,1,0.6436
9,SWEDEN - SUPERETTAN,26/11/2023,10:00,Skovde AIK,Falkenberg,2.1,3.4,2.9,1.85,2.0,1.67,1.13,2.1,2.0,0.8,1.0,1.8,0.476,0.294,0.345,0.541,0.885,0.206,1.0,-1.0,1,0.6259
10,SWITZERLAND - SUPER LEAGUE,26/11/2023,10:15,Lausanne,Lausanne Ouchy,1.8,3.8,3.8,1.62,2.25,1.62,1.18,2.2,1.7,1.2,1.7,1.6,0.556,0.263,0.263,0.617,0.847,0.383,0.0,-0.4,1,0.6186
11,AUSTRIA - BUNDESLIGA,26/11/2023,10:30,Wolfsberger AC,Austria Vienna,2.75,3.5,2.4,1.83,2.03,1.67,1.13,2.1,1.2,1.4,1.1,1.6,0.364,0.286,0.417,0.546,0.885,0.151,0.1,-0.2,1,0.6981
12,AUSTRIA - BUNDESLIGA,26/11/2023,10:30,Altach,A. Klagenfurt,2.15,3.3,3.3,2.03,1.83,1.8,1.1,1.95,0.7,1.0,1.6,1.7,0.465,0.303,0.303,0.493,0.909,0.214,-0.9,-0.7,1,0.6756
13,BELGIUM - CHALLENGER PRO LEAGUE,26/11/2023,12:00,Beerschot VA,RFC Liege,2.1,3.5,3.2,1.65,2.2,1.53,1.18,2.38,1.2,0.9,1.2,1.4,0.476,0.286,0.312,0.606,0.847,0.235,0.0,-0.5,1,0.5371
14,BELGIUM - JUPILER PRO LEAGUE,26/11/2023,12:00,Leuven,Club Brugge KV,5.0,4.33,1.57,1.48,2.6,1.5,1.25,2.5,2.2,1.3,1.8,1.1,0.2,0.231,0.637,0.676,0.8,0.559,0.4,0.2,1,0.5759
15,SPAIN - LALIGA2,26/11/2023,12:15,Mirandes,R. Oviedo,3.25,2.9,2.5,2.6,1.48,2.2,1.04,1.62,1.7,1.7,0.8,0.9,0.308,0.345,0.4,0.385,0.962,0.108,0.9,0.8,1,0.8305
16,SWITZERLAND - SUPER LEAGUE,26/11/2023,12:30,Basel,St. Gallen,3.4,4.2,1.91,1.53,2.4,1.5,1.22,2.5,1.4,1.8,0.8,1.2,0.294,0.238,0.524,0.654,0.82,0.352,0.6,0.6,1,0.5876
17,SWITZERLAND - SUPER LEAGUE,26/11/2023,12:30,Servette,Grasshoppers,1.57,4.5,5.25,1.48,2.6,1.53,1.29,2.38,2.1,1.5,1.3,2.2,0.637,0.222,0.19,0.676,0.775,0.582,0.8,-0.7,1,0.7656
18,AUSTRIA - BUNDESLIGA,26/11/2023,13:00,Rapid Vienna,BW Linz,1.4,4.5,7.5,1.5,2.5,1.7,1.25,2.05,1.9,1.6,1.5,1.6,0.714,0.222,0.133,0.667,0.8,0.717,0.4,0.0,1,0.514
19,SPAIN - PRIMERA RFEF,26/11/2023,14:00,Linares,CF Intercity,2.55,3.1,2.63,2.38,1.53,2.1,1.05,1.67,1.3,0.9,1.3,1.7,0.392,0.323,0.38,0.42,0.952,0.082,0.0,-0.8,1,0.5868
20,BELGIUM - CHALLENGER PRO LEAGUE,26/11/2023,15:15,Lierse K.,St. Liege U23,1.62,4.0,4.75,1.53,2.4,1.57,1.22,2.25,1.0,1.6,0.3,2.6,0.617,0.25,0.211,0.654,0.82,0.509,0.7,-1.0,1,0.6131
21,SPAIN - PRIMERA RFEF,26/11/2023,16:00,Dep. La Coruna,Osasuna B,1.4,4.75,6.0,1.95,1.85,2.25,1.11,1.57,1.2,0.4,1.5,1.3,0.714,0.211,0.167,0.513,0.901,0.682,-0.3,-0.9,1,0.6623
22,URUGUAY - PRIMERA DIVISION,26/11/2023,16:30,River Plate,La Luz,2.55,3.1,2.8,2.08,1.73,1.8,1.08,1.91,1.6,1.1,1.1,1.3,0.392,0.323,0.357,0.481,0.926,0.079,0.5,-0.2,1,0.6489
