Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Over25,FT_Odd_BTTS_Yes
1,25/07/2023,15:00,EUROPE - CHAMPIONS LEAGUE,D. Zagreb (Cro),FC Astana (Kaz),1.36,4.33,8.0,2.03,2.38,2.03,2.38
2,25/07/2023,15:45,EUROPE - EUROPA CONFERENCE LEAGUE,FC Ballkani (Kos),Larne (Nir),1.65,3.4,4.75,2.15,2.1,2.15,2.1
