Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,THAILAND - THAI LEAGUE 1,16/12/2023,08:00,Khonkaen Utd.,Pathum United,4.55,3.9,1.65
2,VIETNAM - V.LEAGUE 1,16/12/2023,08:00,Binh Duong,Nam Dinh,3.1,3.35,2.12
3,ALBANIA - SUPERLIGA,16/12/2023,09:30,Kukesi,Partizani,3.2,2.82,2.25
4,POLAND - EKSTRAKLASA,16/12/2023,11:00,Puszcza,Jagiellonia,4.0,3.6,1.85
5,PORTUGAL - LIGA PORTUGAL 2,16/12/2023,11:00,Penafiel,Leiria,2.75,3.2,2.55
6,BELGIUM - JUPILER PRO LEAGUE,16/12/2023,12:00,Leuven,Cercle Brugge KSV,4.0,4.0,1.8
7,ENGLAND - CHAMPIONSHIP,16/12/2023,12:00,Bristol City,Sunderland,3.1,3.6,2.25
8,POLAND - EKSTRAKLASA,16/12/2023,13:30,Widzew Lodz,Pogon Szczecin,3.25,3.3,2.2
9,POLAND - DIVISION 1,16/12/2023,16:00,Motor Lublin,Lechia Gdansk,2.7,3.1,2.55
10,PORTUGAL - LIGA PORTUGAL,16/12/2023,17:30,Boavista,Vitoria Guimaraes,3.8,3.5,1.95
