,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Media_Ptos_H,DP_Ptos_H,CV_Ptos_H,Media_VG_H,DP_VG_H,CV_VG_H,Media_CG_H,DP_CG_H,CV_CG_H,Media_GM_H,DP_GM_H,CV_GM_H,Media_GS_H,DP_GS_H,CV_GS_H,Media_SG_H,DP_SG_H,CV_SG_H,Media_p_H,DP_p_H,Media_CG_H_02,GM_H_XP,CV_GM_H_XP,GS_H_XP,CV_GS_H_XP,Media_Ptos_A,DP_Ptos_A,CV_Ptos_A,Media_VG_A,DP_VG_A,CV_VG_A,Media_CG_A,DP_CG_A,CV_CG_A,Media_GM_A,DP_GM_A,CV_GM_A,Media_GS_A,DP_GS_A,CV_GS_A,Media_SG_A,DP_SG_A,CV_SG_A,Media_p_A,DP_p_A,GM_A_XP,CV_GM_A_XP,GS_A_XP,CV_GS_A_XP,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,coeficiente_pontos,cv_pontos,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,XPT_H,XPT_A,XPT_H/A,XPT_A/H,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
1,ROMANIA - LIGA 2,2024-08-17,05:00,CSM Slatina,Viitorul Tg. Jiu,1.65,3.45,5.3,2.25,1.6,2.15,1.62,1.8181819,1.1134044,0.61237246,0.27919102,0.21773602,0.77988183,0.5365768,0.17968464,0.33487216,1.2727273,1.2128786,0.952976,0.36363637,0.64282435,1.767767,0.90909094,1.443137,1.5874507,0.488506,0.18215185,0.8806166,2.3140495,0.6670832,0.3966942,0.58925563,1.1818181,1.1922616,1.0088367,0.25771737,0.26568946,1.0309335,0.66634727,0.06614472,0.09926464,0.8181818,0.9359664,1.1439589,1.6363636,1.7200807,1.0511605,-0.8181818,2.2081742,-2.6988795,0.25642914,0.123511516,0.5785124,1.4142135,1.7272727,1.6564425,0.6060606,0.28985506,0.18867925,0.44444445,0.625,0.4651163,0.61728394,2.090909,3.2121212,0.47826087,1.5362319,0.31132075,0.6509434,0.65217394,0.46376812,0.4917223,0.3529412,0.52517986,0.21142857,0.21052632,0.31132075,1.5362319,0.47826087,0.73333335,2.3555555,0.65217394,1.0465117,10.4,0.636,2.306,-0.17307693,0.17788461,0.15865384,0.50961536,0.5264588,1.825057,0.50894606,4.4704585,41.987213,0.9192388,18.004162,2.006861,1.1720984,1.7121952,0.5840456,4.4704585,1.85,1.8,1,0.9648
2,ROMANIA - LIGA 2,2024-08-17,05:00,Concordia,Ceahlaul,1.7,3.5,4.9,2.15,1.65,2.05,1.7,1.9090909,1.2398347,0.64943725,0.38969776,0.22441147,0.5758603,0.4280671,0.22598137,0.52791107,1.4545455,0.6555548,0.4506939,1.0,1.2060454,1.2060454,0.45454547,1.1570839,2.5455844,0.52320355,0.17191659,0.9888745,1.6198347,0.58901507,0.6694215,1.0183501,0.54545456,0.8907235,1.6329932,0.5464938,0.22557564,0.41276887,0.30425256,0.05646521,0.18558665,1.1818181,0.5749596,0.48650426,2.1818182,0.9359664,0.42898458,-1.0,1.1281521,-1.1281521,0.29096913,0.07326173,0.8595041,0.7905694,2.7768595,0.73540217,0.5882353,0.2857143,0.20408164,0.4651163,0.6060606,0.4878049,0.5882353,2.0588236,2.8823528,0.4857143,1.4,0.3469388,0.71428573,0.6142857,0.47142857,0.45985565,0.34615386,0.4848485,0.16666667,0.23893805,0.3469388,1.4,0.4857143,0.7906977,2.2790697,0.6142857,1.0487804,10.1,1.364,2.131,-0.17821783,0.13861386,0.16831683,0.48514852,0.47648355,1.6041613,0.47156549,3.9293766,41.987213,0.70710677,14.036243,1.9687876,1.2004802,1.64,0.6097561,3.9293766,1.4,1.8,1,0.9617
3,SWEDEN - SUPERETTAN,2024-08-17,08:00,Oster,Orgryte,1.44,4.75,6.5,1.48,2.6,1.62,2.2,2.1818182,1.1134044,0.51031035,0.32725132,0.26841062,0.8201973,0.49396724,0.19202504,0.38874042,1.8181819,1.3360853,0.73484695,0.45454547,0.6555548,1.4422206,1.3636364,1.7721444,1.2995726,0.65523666,0.10064843,1.2367092,1.8181819,1.3360853,0.3305785,0.9013878,1.3636364,1.2984415,0.95219046,0.57682854,0.5373191,0.93150586,0.4519722,0.11667367,0.25814348,1.2727273,1.0523489,0.82684547,1.3636364,1.4937888,1.0954452,-0.09090909,1.5048132,-16.552946,0.34358948,0.09151225,0.92561984,1.4469796,0.9917355,2.0539596,0.6944444,0.21052632,0.15384616,0.6756757,0.3846154,0.61728394,0.45454547,3.2986112,4.513889,0.3031579,1.3684211,0.22153845,0.7307692,0.31157896,0.5473684,0.687334,0.5347334,0.63727957,0.15555556,0.52487963,0.22153845,1.3684211,0.3031579,0.972973,4.391892,0.31157896,0.91358024,12.69,0.818,2.412,-0.2608353,0.13790385,0.11347517,0.51221436,0.6075098,2.5697665,0.70814496,6.2946167,58.858387,1.5839192,-29.248827,2.2371795,1.1559829,1.935305,0.5167144,6.2946167,1.75,3.31,1,0.9914
4,SWEDEN - SUPERETTAN,2024-08-17,08:00,Trelleborg,Ostersund,2.35,3.4,2.9,1.7,2.1,1.57,2.25,1.2727273,1.1354542,0.8921426,0.46427646,0.29433888,0.6339733,0.4265292,0.099868424,0.23414207,1.1818181,0.83319557,0.70501167,1.4545455,1.304791,0.89704376,-0.27272728,1.2128786,-4.4472213,0.3798676,0.07727131,0.7808429,1.6115702,0.6110101,2.3801653,0.7973722,0.72727275,1.1354542,1.5612495,0.57604104,0.53715044,0.9324864,0.4688255,0.07284041,0.15536785,1.0,0.9534626,0.9534626,1.6363636,1.2984415,0.793492,-0.6363636,1.2984415,-2.0404081,0.2752867,0.09279791,0.90909094,1.0488088,2.677686,0.793492,0.42553192,0.29411766,0.3448276,0.5882353,0.47619048,0.6369427,0.44444445,1.4468085,1.2340425,0.6911765,0.85294116,0.8103448,1.1724138,0.5,0.61764705,0.15250714,0.1826087,0.104761906,0.07936508,0.33333334,0.8103448,0.85294116,0.6911765,1.382353,1.7058823,0.5,1.0828025,8.65,0.545,2.271,-0.12138728,-0.057803467,0.2716763,0.33526012,0.18214972,0.5251984,0.2824056,1.286468,27.699472,0.56568545,-11.309933,1.6214234,1.4600147,1.1105528,0.9004525,1.286468,0.5,1.05,1,0.6355
5,FINLAND - YKKONEN,2024-08-17,10:00,KPV Kokkola,Klubi 04,3.1,3.8,1.9,1.57,2.35,1.53,2.38,2.5454545,0.9875255,0.38795644,0.45040685,0.26309323,0.5841235,0.39697596,0.18516478,0.46643826,2.0,0.9534626,0.4767313,1.0,0.9534626,0.9534626,1.0,1.1281521,1.1281521,0.6369983,0.14903536,1.3184992,2.2222223,0.8581163,1.3333334,0.71509695,2.2222223,1.1331154,0.50990194,0.48344135,0.35954836,0.74372697,0.42410257,0.19583401,0.46176097,2.1111112,1.4487116,0.68623185,0.7777778,0.9162457,1.1780301,1.3333334,2.0,1.5,0.6384428,0.122278556,4.2222223,0.7243558,0.8484849,0.8398919,0.32258064,0.2631579,0.5263158,0.6369427,0.42553192,0.6535948,0.42016807,1.2258065,0.61290324,0.81578946,0.5,1.6315789,2.0,0.41315788,0.6184211,0.3040047,0.10144927,0.24,0.33333334,0.41527003,1.6315789,0.5,0.81578946,1.9745224,1.2101911,0.41315788,1.0261438,8.8,0.323,2.121,-0.07954545,-0.2159091,0.35227272,0.2159091,0.32758036,0.96090233,0.40090212,2.3537204,19.290047,1.1030866,-21.305784,1.4940578,1.901528,0.78571427,1.2727273,2.3537204,1.9,0.7,1,0.5702
6,SWEDEN - SUPERETTAN,2024-08-17,10:00,Orebro,Gefle,1.45,4.75,6.5,1.6,2.3,1.75,2.0,1.6363636,1.2984415,0.793492,0.525223,0.46439865,0.88419324,0.50430274,0.1335624,0.26484567,1.6363636,1.4937888,0.91287094,0.90909094,0.51425946,0.56568545,0.72727275,1.6006197,2.2008522,0.48867717,0.098021664,1.0625204,2.677686,0.91287094,0.90909094,0.51425946,0.72727275,0.86243933,1.1858541,0.6012444,0.71545875,1.1899632,0.5990599,0.06628424,0.11064709,1.0,1.2060454,1.2060454,1.7272727,1.7104443,0.99025726,-0.72727275,1.5427784,-2.1213202,0.20279127,0.043371484,0.75,1.6080605,3.4545455,0.85522217,0.6896552,0.21052632,0.15384616,0.625,0.4347826,0.5714286,0.5,3.275862,4.4827585,0.30526316,1.3684211,0.22307692,0.7307692,0.33684212,0.48421052,0.6840608,0.5322581,0.6352201,0.15555556,0.496063,0.22307692,1.3684211,0.30526316,0.90625,4.0625,0.33684212,0.9142857,12.7,0.909,2.161,-0.25984251,0.13779527,0.114173226,0.511811,0.6057493,2.5643387,0.6918484,6.2813215,58.781597,0.98994946,-19.290047,2.2228117,1.1511936,1.9308755,0.51789975,6.2813215,1.75,3.3,1,0.9902
7,FINLAND - YKKONEN,2024-08-17,10:00,EPS,KuPS Akatemia,1.67,3.8,3.9,1.57,2.35,1.57,2.25,1.5555556,1.3425606,0.8630747,0.65028834,0.44632426,0.68634826,0.39583093,0.091152266,0.23028082,1.6666666,1.4142135,0.84852815,1.0,0.94280905,0.94280905,0.6666667,1.8257419,2.738613,0.37768498,0.13209079,1.0221758,5.185185,0.45456865,1.1111112,0.84852815,0.8888889,1.1967033,1.3462912,0.91257745,0.67838824,0.7433761,0.32641095,0.05048083,0.15465423,1.4444444,1.1653432,0.80677605,2.3333333,1.7638342,0.75592893,-0.8888889,2.5141575,-2.828427,0.19413303,0.10926367,1.6049383,1.0488088,5.185185,0.7937254,0.5988024,0.2631579,0.25641027,0.6369427,0.42553192,0.6369427,0.44444445,2.275449,2.3353293,0.4394737,1.0263158,0.42820513,0.974359,0.41315788,0.6184211,0.42876264,0.3893967,0.40035906,0.012987013,0.41527003,0.42820513,1.0263158,0.4394737,1.0636942,2.4840765,0.41315788,1.0,9.37,0.667,2.539,-0.22732124,0.010672359,0.1782284,0.41622198,0.40329233,1.2596164,0.47121936,3.0854173,46.802902,1.1030866,-21.305784,2.0528173,1.3680332,1.5005611,0.66641736,3.0854173,0.1,2.13,1,0.9194
8,SCOTLAND - LEAGUE ONE,2024-08-17,11:00,Arbroath,Kelty Hearts,2.05,3.4,3.3,1.85,2.0,1.73,2.0,0.6363636,0.88139635,1.3850514,0.49730936,0.597113,1.2006873,0.5622196,0.08269208,0.14708146,0.8181818,0.9359664,1.1439589,1.8181819,1.4024771,0.7713624,-1.0,1.595448,-1.595448,0.2519315,0.09669257,0.53505665,0.6694215,1.1439589,1.983471,1.285604,0.90909094,1.0833068,1.1916375,0.7327582,0.48682615,0.6643748,0.33287683,0.08160787,0.24515936,1.4545455,0.8907235,0.61237246,2.3636363,1.4937888,0.6319876,-0.90909094,2.1086206,-2.3194828,0.3186988,0.17095366,2.644628,0.48989794,4.0826445,0.86482507,0.4878049,0.29411766,0.3030303,0.5405405,0.5,0.5780347,0.5,1.6585366,1.6097561,0.60294116,0.9705882,0.6212121,1.030303,0.5441176,0.5882353,0.24686368,0.24770643,0.23364486,0.014925373,0.2952381,0.6212121,0.9705882,0.60294116,1.1081082,1.7837838,0.5441176,1.0693642,8.75,-0.273,1.965,-0.15428571,-0.011428571,0.23428571,0.37714285,0.25790364,0.75221896,0.30695432,1.8425525,34.01935,0.21213204,-4.289153,1.7664449,1.3968958,1.2645502,0.79079497,1.8425525,0.1,1.35,1,0.674
9,ESTONIA - MEISTRILIIGA,2024-08-17,11:00,Narva,Tallinna Kalev,1.65,3.65,4.3,1.65,2.0,1.66,2.16,1.1818181,1.1922616,1.0088367,0.6751,0.70028114,1.0372998,0.4155965,0.08613974,0.20726773,1.3636364,1.1499192,0.84327406,1.6363636,1.3666633,0.83518314,-0.27272728,2.004128,-7.3484693,0.38355994,0.17484808,0.87359816,2.6033058,0.6023386,0.892562,2.5055494,1.0909091,1.2398347,1.1365151,0.6044274,0.57926214,0.95836514,0.48080298,0.10323275,0.21470906,1.0909091,0.8999541,0.8249579,1.8181819,1.2662171,0.6964194,-0.72727275,1.9112542,-2.6279745,0.30103895,0.16811396,1.2892562,0.7614996,2.8099174,0.819317,0.6060606,0.2739726,0.23255815,0.6060606,0.5,0.60240966,0.46296296,2.2121212,2.6060605,0.4520548,1.1780822,0.38372093,0.8488372,0.4520548,0.5479452,0.450749,0.3773585,0.44537815,0.08176101,0.3773585,0.38372093,1.1780822,0.4520548,1.0,2.6060605,0.4520548,0.9939759,9.6,0.091,2.432,-0.20833333,0.067708336,0.171875,0.44791666,0.43160084,1.3811227,0.48651275,3.383046,45.0,0.49497473,-9.926246,2.05074,1.303735,1.572973,0.63573885,3.383046,0.65,2.0,1,0.908
10,SCOTLAND - LEAGUE ONE,2024-08-17,11:00,Alloa,Stenhousemuir,1.75,3.75,4.5,1.7,2.1,1.73,2.0,1.4545455,1.233151,0.84779125,0.42177793,0.5057765,1.1991537,0.60717916,0.16282035,0.26815867,1.1818181,1.3360853,1.1305337,1.1818181,1.4024771,1.1867114,0.0,2.1320071,1.0,0.42252275,0.13142201,0.80217046,0.8595041,1.8371173,0.96694213,1.7141387,1.2727273,1.1354542,0.8921426,0.36903846,0.30796242,0.83449954,0.5307944,0.13202482,0.24873063,1.0909091,0.7925271,0.72648317,1.1818181,0.83319557,0.70501167,-0.09090909,1.1642044,-12.806249,0.43928155,0.09035227,1.3884298,0.62269986,1.2892562,0.7637626,0.5714286,0.26666668,0.22222222,0.5882353,0.47619048,0.5780347,0.5,2.142857,2.5714285,0.46666667,1.2,0.3888889,0.8333333,0.45333335,0.56,0.43913084,0.36363637,0.44,0.09090909,0.3761468,0.3888889,1.2,0.46666667,1.0294118,2.6470587,0.45333335,0.982659,10.0,0.182,2.369,-0.2,0.075,0.175,0.45,0.42646804,1.4215602,0.48520115,3.4820971,45.0,0.56568545,-11.309933,1.9365079,1.2380953,1.5641025,0.6393443,3.4820971,0.75,2.0,1,0.9039
