Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,NIGERIA - NPFL,13/03/2024,10:00,Plateau United,Gombe,1.28,4.7,10.25
2,NIGERIA - NPFL,13/03/2024,11:00,Doma United,Shooting,1.62,3.3,5.8
3,NIGERIA - NPFL,13/03/2024,12:00,Niger Tornadoes,Sporting Lagos,1.6,3.4,5.9
4,GHANA - PREMIER LEAGUE,13/03/2024,12:00,Great Olympics,Karela,1.72,3.15,4.8
5,NIGERIA - NPFL,13/03/2024,12:00,Remo Stars,Enyimba,1.65,3.35,5.5
6,NIGERIA - NPFL,13/03/2024,12:00,Akwa United,Bendel,1.85,3.0,4.65
7,NIGERIA - NPFL,13/03/2024,12:00,Kano Pillars,Enugu Rangers,1.65,3.35,5.5
8,NIGERIA - NPFL,13/03/2024,12:00,Lobi Stars,Rivers United,1.42,3.95,7.4
9,GHANA - PREMIER LEAGUE,13/03/2024,15:00,Asante Kotoko,Accra Lions,1.42,3.85,7.0
10,SAN MARINO - CAMPIONATO SAMMARINESE,13/03/2024,17:15,La Fiorita,Fiorentino,1.33,4.7,6.9
11,BRAZIL - COPA DO BRASIL,13/03/2024,19:00,Sport Recife,Murici,1.17,6.0,12.0
12,BRAZIL - COPA DO BRASIL,13/03/2024,21:30,America RN,Sao Luiz,2.0,3.2,3.3
13,BRAZIL - COPA DO BRASIL,13/03/2024,21:30,Juventude,Paysandu PA,1.62,3.6,4.33
14,BRAZIL - COPA DO BRASIL,13/03/2024,21:30,Sampaio Correa,Ferroviario,2.15,2.9,3.25
15,PERU - LIGA 1,13/03/2024,23:00,Sporting Cristal,FBC Melgar,1.5,4.0,5.25
