Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,06/12/2023,08:00,SPAIN - COPA DEL REY,Dep. La Coruna,Tenerife,2.7,3.2,2.8,2.25,1.95,1.8,1.08,1.5,1.4,10.0,1.06
2,06/12/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Royal Pari,Universitario de Vinto,2.2,3.4,3.2,1.98,1.73,2.0,1.06,1.4,1.29,7.0,1.1
