,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,CHINA - SUPER LEAGUE,04/11/2023,04:30,Chengdu Rongcheng,Meizhou Hakka,1.11,9.0,19.0
2,ROMANIA - LIGA 2,04/11/2023,06:00,Ceahlaul,CSM Slatina,2.12,3.1,3.5
3,INDIA - I-LEAGUE,04/11/2023,06:30,Real Kashmir,TRAU FC,2.05,3.4,3.25
4,NORTH MACEDONIA - 1. MFL,04/11/2023,09:00,Bregalnica Stip,Makedonija GP,2.1,3.05,3.5
5,AZERBAIJAN - PREMIER LEAGUE,04/11/2023,09:00,Qarabag,Kapaz,1.17,5.9,15.5
6,NORTH MACEDONIA - 1. MFL,04/11/2023,09:00,Voska Sport,Brera Strumica,2.45,2.92,2.95
7,VIETNAM - V.LEAGUE 1,04/11/2023,09:15,Viettel,Hong Linh Ha Tinh,1.55,3.85,5.5
8,EGYPT - PREMIER LEAGUE,04/11/2023,11:00,El Gouna,El Daklyeh,1.95,3.15,3.8
9,NORTHERN IRELAND - NIFL CHAMPIONSHIP,04/11/2023,12:00,Ballyclare,Annagh,2.07,3.75,2.9
10,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,04/11/2023,12:00,Abha,Al Akhdoud,2.25,3.4,2.8
11,ENGLAND - FA CUP,04/11/2023,12:00,Alfreton,Worthing,2.0,3.6,3.6
12,ENGLAND - PREMIER LEAGUE,04/11/2023,12:00,Manchester City,Bournemouth,1.11,11.0,19.0
13,ITALY - SERIE C,04/11/2023,12:15,Legnago Salus,Pro Vercelli,2.55,3.0,2.82
14,IVORY COAST - LIGUE 1,04/11/2023,12:30,ASEC Mimosas,Korhogo,1.5,3.55,6.1
15,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,04/11/2023,15:00,Al Ettifaq,Al Raed,1.57,4.0,5.5
16,PORTUGAL - LIGA PORTUGAL,04/11/2023,15:00,Famalicao,Gil Vicente,2.0,3.4,3.6
17,IRAQ - SUPER LEAGUE,04/11/2023,15:30,Al Talaba,Naft Missan,1.88,3.15,3.85
18,SPAIN - PRIMERA RFEF,04/11/2023,16:00,CF Intercity,Sanluqueno,2.05,3.0,3.3
19,MOROCCO - BOTOLA PRO,04/11/2023,16:30,FAR Rabat,Youssoufia Berrechid,1.3,4.33,8.0
