,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,FIJI - PREMIER LEAGUE,18/02/2024,00:00,Navua,Nadroga,,,
2,INDIA - I-LEAGUE,18/02/2024,05:30,Neroca FC,Lajong,4.05,4.2,1.65
3,VIETNAM - V.LEAGUE 1,18/02/2024,09:15,Cong An,Ho Chi Minh,1.47,4.05,6.0
4,NORTH MACEDONIA - 1. MFL,18/02/2024,10:00,Rabotnicki,Struga,2.82,3.2,2.35
5,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,18/02/2024,11:00,Al Hilal,Al Raed,1.18,7.5,10.0
6,MALTA - PREMIER LEAGUE,18/02/2024,12:15,Gzira,Gudja,1.57,3.75,5.4
7,BULGARIA - PARVA LIGA,18/02/2024,12:45,CSKA Sofia,Botev Vratsa,1.13,8.5,21.0
8,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,18/02/2024,13:30,Borac Banja Luka,Tuzla City,1.33,4.65,8.0
9,SPAIN - PRIMERA RFEF,18/02/2024,14:00,Sestao,Gimnastic,3.2,2.75,2.45
10,MOROCCO - BOTOLA PRO,18/02/2024,14:00,FAR Rabat,Mouloudia Oujda,1.18,6.5,11.0
11,ANDORRA - PRIMERA DIVISIÓ,18/02/2024,14:30,Esperanca,Pas de la Casa,3.85,4.15,1.65
12,JAMAICA - PREMIER LEAGUE,18/02/2024,15:00,Lime Hall Academy,Dunbeholden,4.5,3.05,1.85
13,JAMAICA - PREMIER LEAGUE,18/02/2024,17:30,Portmore,Harbour View,1.8,3.5,4.05
14,JAMAICA - PREMIER LEAGUE,18/02/2024,18:00,Cavalier,Vere United,,,
