Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,17/09/2023,05:30,AUSTRIA - 2. LIGA,Ried,Kapfenberg,1.5,4.15,5.7,1.62,1.72,2.0,1.04,1.32,1.2,4.1,1.19
2,17/09/2023,06:30,CHINA - SUPER LEAGUE,Tianjin Jinmen Tiger,Dalian Pro,1.73,3.6,5.0,1.95,1.8,1.95,1.05,1.4,1.29,6.5,1.11
3,17/09/2023,08:00,SWEDEN - SUPERETTAN,GAIS,Helsingborg,1.45,4.5,6.0,1.67,1.8,1.95,1.03,1.3,1.2,5.0,1.17
4,17/09/2023,08:00,THAILAND - THAI LEAGUE 1,Chonburi,Lamphun Warrior,1.57,3.9,5.3,1.78,1.8,1.9,1.05,1.37,1.25,4.75,1.15
5,17/09/2023,09:00,INDONESIA - LIGA 1,Borneo,PSS Sleman,1.62,4.0,4.55,1.65,1.7,1.91,1.01,1.31,1.21,3.75,1.19
6,17/09/2023,09:00,THAILAND - THAI LEAGUE 1,Port MTI FC,Prachuap,1.62,4.0,4.6,1.65,1.7,2.05,1.04,1.33,1.21,4.2,1.19
7,17/09/2023,10:00,NORWAY - OBOS-LIGAEN,Fredrikstad,Sogndal,1.75,3.6,4.75,1.8,1.73,2.0,1.04,1.36,1.22,5.5,1.14
8,17/09/2023,12:00,FINLAND - YKKONEN,Ekenas,HIFK,1.33,4.75,7.0,1.57,1.83,1.83,1.03,1.29,1.17,4.33,1.2
9,17/09/2023,12:30,SWEDEN - ALLSVENSKAN,Hacken,Halmstad,1.3,5.5,9.0,1.4,1.67,2.1,1.02,1.2,1.11,3.25,1.33
10,17/09/2023,12:30,SWEDEN - ALLSVENSKAN,Elfsborg,Kalmar,1.4,4.75,7.5,1.6,1.8,1.95,1.03,1.29,1.18,4.33,1.2
11,17/09/2023,13:30,SPAIN - LALIGA2,Espanyol,Eldense,1.44,4.0,9.0,2.08,2.25,1.57,1.06,1.44,1.33,8.0,1.08
12,17/09/2023,14:00,PORTUGAL - LIGA PORTUGAL,Vitoria Guimaraes,Portimonense,1.57,3.8,6.0,1.93,1.95,1.8,1.05,1.36,1.29,6.5,1.11
13,17/09/2023,15:45,BRAZIL - SERIE B,Guarani,Tombense,1.7,3.3,5.3,2.35,2.25,1.57,1.1,1.57,1.47,7.3,1.06
14,17/09/2023,17:00,ECUADOR - LIGA PRO,Ind. del Valle,Libertad,1.3,5.5,7.5,1.67,2.1,1.67,1.03,1.3,1.22,5.0,1.17
15,17/09/2023,18:00,COLOMBIA - PRIMERA A,Santa Fe,Petrolera,1.62,3.6,5.25,2.05,2.0,1.73,1.07,1.4,1.33,7.0,1.1
