Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
14,06ovouwH,19/08/2023,10:00,PORTUGAL - LIGA PORTUGAL 2,Leiria,Benfica B,ROUND 2,1.91,3.4,3.75,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,3.0,1.36,5.5,1.14,1.67,2.1,1.95,1.9,1.26,3.7,11.0,13.0,21.0,41.0,8.0,6.5,13.0,29.0,9.5,8.5,13.0,34.0,17.0,15.0,23.0,41.0,151.0
15,C64L9nwm,19/08/2023,10:00,BELARUS - VYSSHAYA LIGA,Isloch,Smorgon,ROUND 18,1.46,4.6,6.44,1.3,3.34,1.01,13.0,1.17,4.25,1.65,2.24,2.48,1.45,4.35,1.16,1.77,2.0,,,,,,,,,,,,,,,,,,,,,
16,fFLlJuPq,19/08/2023,10:00,URUGUAY - PRIMERA DIVISION,River Plate,Cerro Largo,CLAUSURA ,2.2,3.2,3.4,1.5,2.5,1.08,7.5,1.44,2.63,2.35,1.57,4.33,1.2,10.0,1.06,2.0,1.73,2.2,1.65,1.33,3.3,7.5,8.0,15.0,34.0,6.5,6.0,12.0,29.0,9.5,9.5,17.0,41.0,21.0,21.0,34.0,67.0,351.0
17,M57tTv56,19/08/2023,10:00,POLAND - EKSTRAKLASA,Radomiak Radom,Warta Poznan,ROUND 5,1.95,3.4,4.0,1.5,2.5,1.07,9.0,1.4,2.75,2.25,1.62,4.0,1.22,9.0,1.07,2.0,1.75,1.98,1.88,1.25,3.8,8.0,9.5,19.0,41.0,6.0,6.5,15.0,34.0,8.5,9.0,17.0,41.0,17.0,17.0,34.0,67.0,401.0
18,fuJXBwv3,19/08/2023,11:00,UZBEKISTAN - SUPER LEAGUE,Pakhtakor,Metallurg Bekabad,ROUND 17,1.24,5.34,13.1,1.3,3.2,1.02,10.5,1.22,3.85,1.74,2.02,2.7,1.4,4.6,1.16,2.45,1.52,,,,,,,,,,,,,,,,,,,,,
19,4Ke5BAD2,19/08/2023,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Glentoran,Crusaders,ROUND 4,1.94,3.54,3.68,1.38,2.9,1.02,9.2,1.26,3.34,1.92,1.88,3.14,1.29,5.9,1.08,1.73,2.05,,,,,9.5,10.0,17.0,36.0,6.5,5.5,10.0,23.0,8.0,6.5,10.0,26.0,13.0,11.0,19.0,46.0,201.0
20,QHpiVWba,19/08/2023,11:30,RUSSIA - PREMIER LEAGUE,Baltika,Ural,ROUND 5,2.55,3.46,2.99,1.44,2.68,1.03,8.0,1.33,2.96,2.2,1.78,3.64,1.23,7.1,1.05,1.84,1.92,,,,,,,,,,,,,,,,,,,,,
21,xWMwQbn1,19/08/2023,12:00,SPAIN - LALIGA2,Eibar,Elche,ROUND 2,2.2,3.1,3.6,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.1,1.67,2.15,1.68,1.3,3.45,7.0,8.5,17.0,41.0,6.0,6.0,13.0,34.0,9.5,10.0,17.0,41.0,21.0,21.0,41.0,67.0,201.0
22,EXBCf712,19/08/2023,12:30,POLAND - DIVISION 1,Motor Lublin,Leczna,ROUND 5,2.15,3.3,3.2,1.44,2.63,1.06,9.5,1.33,3.25,2.1,1.78,3.5,1.29,8.0,1.08,1.83,1.83,2.15,1.68,1.35,3.1,9.5,9.5,17.0,34.0,7.5,6.5,12.0,26.0,10.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
23,4SehpG8N,19/08/2023,14:00,CROATIA - HNL,D. Zagreb,Varazdin,ROUND 5,1.31,4.9,9.5,1.35,3.05,1.04,9.0,1.23,3.95,1.7,2.07,2.62,1.45,4.5,1.18,2.05,1.7,,,,,,,,,,,,,,,,,,,,,
