,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,05/08/2023,02:00,MONGOLIA - PREMIER LEAGUE,Deren,Tuv Buganuud,1.21,6.0,11.0,1.2,1.4,2.75
2,05/08/2023,05:00,ROMANIA - LIGA 2,Metaloglobus Bucharest,Selimbar,1.99,3.28,3.67,2.19,1.91,1.85
3,05/08/2023,05:00,INDONESIA - LIGA 1,Arema FC,Barito Putera,2.47,3.48,2.54,1.74,1.57,2.34
4,05/08/2023,05:00,MONGOLIA - PREMIER LEAGUE,Khaan Khuns-Erchim,Khovd,2.19,4.05,2.66,1.2,1.26,3.69
5,05/08/2023,07:00,SOUTH KOREA - K LEAGUE 1,Suwon Bluewings,Suwon FC,2.05,3.4,3.5,1.83,1.67,2.1
6,05/08/2023,07:00,SOUTH KOREA - K LEAGUE 2,Jeonnam,Bucheon FC 1995,2.38,3.3,2.7,1.9,1.73,2.0
7,05/08/2023,08:00,SWEDEN - SUPERETTAN,AFC Eskilstuna,Oster,4.0,3.6,1.75,1.73,1.67,2.1
8,05/08/2023,08:35,CHINA - SUPER LEAGUE,Cangzhou,Shenzhen,1.09,8.5,26.0,1.44,2.63,1.44
9,05/08/2023,09:00,RUSSIA - PREMIER LEAGUE,Krylya Sovetov,FK Rostov,2.49,3.52,3.03,2.08,1.78,1.99
12,05/08/2023,10:00,NORWAY - OBOS-LIGAEN,Jerv,Moss,2.25,3.5,3.1,1.7,1.62,2.2
18,05/08/2023,10:00,NORWAY - OBOS-LIGAEN,Kristiansund,Start,1.8,3.8,4.33,1.44,1.44,2.63
17,05/08/2023,10:00,FINLAND - YKKONEN,Gnistan,KPV Kokkola,1.5,4.0,6.0,1.8,1.83,1.83
15,05/08/2023,10:00,FINLAND - YKKONEN,SJK Akatemia,Mikkeli,2.63,3.6,2.3,1.53,1.5,2.5
11,05/08/2023,10:00,SWEDEN - ALLSVENSKAN,Brommapojkarna,Varnamo,2.2,3.5,3.2,1.8,1.67,2.1
13,05/08/2023,10:00,SWEDEN - SUPERETTAN,Jonkoping,Utsikten,2.63,3.3,2.4,1.83,1.67,2.1
10,05/08/2023,10:00,NORWAY - OBOS-LIGAEN,Mjondalen,Hodd,2.0,3.5,3.75,1.83,1.67,2.1
14,05/08/2023,10:00,SWEDEN - SUPERETTAN,Landskrona,Ostersund,2.15,3.3,3.1,1.85,1.7,2.05
16,05/08/2023,10:00,FINLAND - YKKONEN,SalPa,TPS,3.5,3.5,1.91,1.7,1.62,2.2
27,05/08/2023,11:00,SCOTLAND - CHAMPIONSHIP,Inverness,Queen's Park,2.1,3.5,3.0,1.73,1.62,2.2
25,05/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Ards,Newington,1.83,3.96,3.56,1.4,1.41,2.81
29,05/08/2023,11:00,SCOTLAND - LEAGUE ONE,Montrose,Kelty Hearts,2.0,3.5,3.1,1.85,1.73,2.0
28,05/08/2023,11:00,SCOTLAND - PREMIERSHIP,Dundee FC,Motherwell,2.55,3.3,2.75,2.05,1.8,1.95
23,05/08/2023,11:00,SCOTLAND - LEAGUE ONE,Stirling,Edinburgh City,1.75,3.8,3.75,1.7,1.73,2.0
24,05/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Annagh,Dundela,2.22,3.48,2.92,1.74,1.58,2.31
21,05/08/2023,11:00,SCOTLAND - CHAMPIONSHIP,Morton,Ayr,2.38,3.4,2.63,1.95,1.73,2.0
26,05/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Dergview,Portadown,3.3,3.72,1.97,1.58,1.49,2.54
20,05/08/2023,11:00,ARMENIA - PREMIER LEAGUE,Van,Shirak Gyumri,2.64,3.2,2.53,2.11,1.81,1.95
19,05/08/2023,11:00,BELGIUM - JUPILER PRO LEAGUE,Genk,Eupen,1.33,5.25,8.5,1.44,1.75,2.0
22,05/08/2023,11:00,SCOTLAND - LEAGUE ONE,Queen of South,Alloa,1.85,3.8,3.25,1.73,1.67,2.1
30,05/08/2023,11:30,AZERBAIJAN - PREMIER LEAGUE,Sabail,Sumqayit,2.29,3.25,3.07,2.15,1.83,1.93
31,05/08/2023,11:30,RUSSIA - PREMIER LEAGUE,Orenburg,Ural,2.27,3.77,3.23,1.79,1.6,2.27
32,05/08/2023,12:00,BELARUS - VYSSHAYA LIGA,Slutsk,Energetik-BGU,2.1,3.34,3.56,2.22,1.93,1.83
33,05/08/2023,12:00,AUSTRIA - BUNDESLIGA,A. Klagenfurt,Wolfsberger AC,2.7,3.6,2.45,1.67,1.53,2.38
34,05/08/2023,12:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Gagra,Samgurali,3.54,3.34,2.01,2.09,1.83,1.93
35,05/08/2023,12:30,SERBIA - PRVA LIGA,Jedinstvo U.,RFK Novi Sad,1.43,4.2,7.04,1.98,2.12,1.69
36,05/08/2023,13:00,SWITZERLAND - SUPER LEAGUE,Young Boys,Winterthur,1.25,6.5,10.0,1.44,1.83,1.83
37,05/08/2023,13:00,SWITZERLAND - SUPER LEAGUE,Lausanne Ouchy,Servette,3.4,3.6,2.1,1.57,1.5,2.5
