,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,CHINA - SUPER LEAGUE,09/04/2024,09:00,Shanghai Shenhua,Wuhan Three Towns,1.4,4.5,8.0
2,INDIA - I-LEAGUE,09/04/2024,10:30,Aizawl,TRAU FC,1.45,4.5,5.5
3,LIECHTENSTEIN - LIECHTENSTEIN CUP,09/04/2024,15:00,Triesenberg,Triesen,,,
4,SOUTH AMERICA - COPA SUDAMERICANA,09/04/2024,19:00,Argentinos Jrs (Arg),Racing Montevideo (Uru),1.4,4.5,9.0
5,SOUTH AMERICA - COPA SUDAMERICANA,09/04/2024,19:00,Corinthians (Bra),Nacional Asuncion (Par),1.36,4.75,11.0
6,SOUTH AMERICA - COPA LIBERTADORES,09/04/2024,19:00,Estudiantes L.P. (Arg),The Strongest (Bol),1.23,6.0,14.5
7,SOUTH AMERICA - COPA LIBERTADORES,09/04/2024,19:00,Gremio (Bra),Huachipato (Chi),1.3,5.3,10.75
8,SOUTH AMERICA - COPA LIBERTADORES,09/04/2024,21:00,Libertad Asuncion (Par),Dep. Tachira (Ven),1.34,5.3,9.0
9,SOUTH AMERICA - COPA SUDAMERICANA,09/04/2024,21:00,Boca Juniors (Arg),Sportivo Trinidense (Par),1.22,6.0,17.0
10,SOUTH AMERICA - COPA SUDAMERICANA,09/04/2024,21:30,Athletico-PR (Bra),Rayo Zuliano (Ven),1.06,11.0,29.0
11,SOUTH AMERICA - COPA SUDAMERICANA,09/04/2024,21:30,Danubio (Uru),Ameliano (Par),1.85,3.5,4.2
12,SOUTH AMERICA - COPA LIBERTADORES,09/04/2024,23:00,Junior (Col),U. de Deportes (Per),1.72,3.75,4.9
