League,Date,Time,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under05_HT,Odd_Over05_HT,Odd_Under15_HT,Odd_Over15_HT,Odd_Under25_HT,Odd_Over25_HT,Odd_Under05,Odd_Over05,Odd_Under15,Odd_Over15,Odd_Under25,Odd_Over25,Odd_Under45,Odd_Over45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_CS_0x0,Odd_CS_0x1,Odd_CS_0x2,Odd_CS_0x3,Odd_CS_1x0,Odd_CS_1x1,Odd_CS_1x2,Odd_CS_1x3,Odd_CS_2x0,Odd_CS_2x1,Odd_CS_2x2,Odd_CS_2x3,Odd_CS_3x0,Odd_CS_3x1,Odd_CS_3x2,Odd_CS_3x3,Odd_CS_Goleada_H,Odd_CS_Goleada_A,Odd_CS_Goleada_D,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
Mexican Liga MX,2024-02-25,00:10:00,CF America,Cruz Azul,2.04,3.85,3.8,3.45,1.39,1.52,2.78,1.13,7.6,14.0,1.06,4.3,1.28,2.12,1.86,1.16,6.6,1.75,2.28,14.5,14.5,26.0,48.0,9.8,8.0,14.5,38.0,11.5,9.8,16.0,44.0,21.0,18.5,30.0,55.0,11.5,29.0,20.0,0.49019608,0.2631579,0.25974026,0.53763443,0.4716981,0.5714286,0.4385965,1.862745,1.887255,0.5368421,1.0131578,0.52987015,0.987013,0.48947367,0.55789477,0.31934264,0.30136988,0.3073005,0.006535948,0.34275618,0.52987015,1.0131578,0.5368421,1.0967742,2.0698924,0.48947367,1.0628572,9.69,-0.18163055,0.0051599587,0.21052632,0.3973168,0.31915584,1.0308734,0.37583205,2.5251138,41.34778,0.36769554,-7.4069123,2.5251138,0.05,1.76,1,1.0
US Major League Soccer,2024-02-25,00:30:00,Portland Timbers,Colorado,1.78,4.9,4.0,3.4,1.39,1.5,2.84,1.13,7.8,15.0,1.06,4.3,1.28,2.12,1.85,1.16,6.6,1.83,2.14,14.5,18.0,34.0,80.0,9.0,8.4,17.5,50.0,10.0,9.4,17.5,48.0,17.0,16.0,29.0,65.0,9.6,48.0,20.0,0.56179774,0.25,0.20408164,0.5405405,0.4716981,0.5464481,0.46728972,2.247191,2.752809,0.445,1.225,0.3632653,0.81632656,0.4625,0.53,0.4692943,0.38408303,0.46706587,0.101123594,0.36752138,0.3632653,1.225,0.445,0.96216214,2.6486487,0.4625,1.010929,10.68,-0.20786516,0.084269665,0.16666667,0.4588015,0.45108548,1.6058643,0.49970293,3.933548,47.984283,0.38183767,-7.688448,3.933548,0.9,2.22,1,1.0
Japanese J League 2,2024-02-25,00:50:00,Ehime,Blaublitz Akita,3.1,2.76,3.0,2.54,1.61,1.3,4.0,1.06,13.5,7.6,1.13,2.68,1.56,1.54,2.78,1.06,14.0,2.14,1.75,6.8,7.2,14.0,32.0,8.0,6.2,11.5,28.0,14.5,11.5,19.5,48.0,36.0,29.0,48.0,100.0,7.0,6.8,8.0,0.32258064,0.33333334,0.36231884,0.35971224,0.64935064,0.46728972,0.5714286,0.9677419,0.89032257,1.0333333,0.92,1.1231884,1.0869565,0.9266667,0.5133333,0.049446285,0.016393442,0.058020476,0.041666668,0.038062282,1.1231884,0.92,1.0333333,1.1151079,0.9928058,0.9266667,1.2990655,8.86,0.0112866815,-0.027088037,0.34988713,0.3115124,0.05916633,0.1747379,0.05736533,0.4280187,-2.8624053,1.7536248,31.798912,0.4280187,0.24,0.1,1,1.0
Japanese J League,2024-02-25,02:00:00,Tokyo-V,Yokohama FM,4.5,1.84,3.95,3.4,1.38,1.5,2.82,1.13,7.8,14.0,1.06,4.3,1.28,2.08,1.86,1.16,6.6,1.81,2.12,13.0,8.0,9.6,15.5,14.5,7.4,8.4,15.5,4.3,15.0,15.5,4.4,4.4,4.3,4.4,4.4,4.3,3.45,4.6,0.22222222,0.25316456,0.54347825,0.53763443,0.48076922,0.5524862,0.4716981,0.87777776,0.40888888,1.1392405,0.4658228,2.4456522,2.1467392,0.47088608,0.5265823,0.4260647,0.06508876,0.41955835,0.36442143,0.3597246,2.4456522,0.4658228,1.1392405,2.419355,0.9892473,0.47088608,1.0276244,10.29,0.05344995,-0.20505345,0.4373178,0.17881438,0.4093797,1.4041723,0.45744637,3.4395058,-15.376251,0.31112698,-6.2772985,3.4395058,2.11,0.55,1,1.0
Australian A-League Men,2024-02-25,03:00:00,Newcastle Jets,Macarthur FC,1.97,3.7,4.3,4.7,1.25,1.84,2.1,1.24,4.8,29.0,1.03,7.4,1.14,3.15,1.44,1.37,3.55,1.46,2.92,29.0,25.0,30.0,50.0,17.0,10.5,15.0,30.0,16.5,10.5,13.0,27.0,23.0,15.5,20.0,34.0,7.0,17.0,24.0,0.5076142,0.23255815,0.27027026,0.6944444,0.31746033,0.6849315,0.34246576,2.1827412,1.8781726,0.45813954,0.8604651,0.53243244,1.1621622,0.33488372,0.73255813,0.3614788,0.37161085,0.30511463,0.075,0.49825785,0.53243244,0.8604651,0.45813954,1.3680556,2.5694444,0.33488372,0.98630136,9.97,-0.23370111,-0.06018054,0.19759278,0.37111333,0.36403424,1.2098072,0.47843343,2.9634101,49.358227,2.4183052,-40.53044,2.9634101,0.6,2.33,1,1.0
Turkish 1 Lig,2024-02-25,07:30:00,Keciorengucu,Kocaelispor,4.3,2.02,3.35,2.62,1.44,1.35,3.05,1.08,9.2,9.8,1.07,3.0,1.39,1.69,2.14,1.08,4.0,1.9,1.84,4.7,6.6,9.6,18.5,11.5,6.4,8.8,19.5,5.9,5.7,5.6,6.4,4.2,4.4,4.3,4.3,4.2,3.6,4.4,0.23255815,0.29850745,0.4950495,0.46728972,0.591716,0.5263158,0.54347825,0.7790698,0.46976745,1.2835821,0.6029851,2.128713,1.6584158,0.638806,0.5044776,0.3259716,0.12418301,0.3607595,0.24767226,0.22040074,2.128713,0.6029851,1.2835821,2.0093458,0.94392526,0.638806,1.1263158,9.67,0.098241985,-0.13753878,0.44467425,0.20889348,0.35530475,1.1452656,0.36601508,2.8053164,-25.407719,0.6363961,12.680384,2.8053164,1.33,0.95,1,1.0
Turkish Super League,2024-02-25,07:30:00,Sivasspor,Pendikspor,2.28,3.4,3.5,3.15,1.39,1.46,2.86,1.11,8.0,11.5,1.07,3.95,1.31,1.99,1.94,1.13,3.4,1.76,2.18,12.5,13.0,21.0,44.0,9.8,7.4,13.5,34.0,13.0,10.5,16.0,15.0,26.0,22.0,34.0,17.5,14.0,26.0,14.5,0.4385965,0.2857143,0.29411766,0.5154639,0.5025126,0.5681818,0.4587156,1.5350877,1.4912281,0.6514286,0.9714286,0.67058825,1.0294118,0.5542857,0.56857145,0.20670843,0.21107267,0.1971831,0.014492754,0.2867647,0.67058825,0.9714286,0.6514286,1.1752577,1.7525773,0.5542857,1.1022727,9.18,-0.1328976,-0.010893246,0.24836601,0.37037036,0.22135548,0.6773478,0.28311583,1.6591564,31.38319,0.07071068,-1.4320962,1.6591564,0.1,1.22,1,1.0
French Ligue 1,2024-02-25,09:00:00,Lens,Monaco,2.56,2.98,3.55,3.3,1.31,1.49,2.6,1.13,6.8,14.0,1.06,4.5,1.27,2.16,1.83,1.18,6.0,1.68,2.42,15.0,13.0,19.5,42.0,12.0,7.8,12.0,28.0,16.0,11.0,14.5,34.0,30.0,23.0,32.0,65.0,16.0,21.0,24.0,0.390625,0.28169015,0.33557048,0.5464481,0.46296296,0.5952381,0.41322315,1.3867188,1.1640625,0.72112674,0.8394366,0.8590604,1.1912751,0.515493,0.6084507,0.13237613,0.16202946,0.07581227,0.08728943,0.3197026,0.8590604,0.8394366,0.72112674,1.3989071,1.6284153,0.515493,1.0892857,9.09,-0.10891089,-0.06270627,0.28162816,0.3278328,0.16399021,0.49689034,0.2653087,1.2171278,26.33541,0.46669048,-9.369385,1.2171278,0.57,0.99,1,1.0
Romanian Liga I,2024-02-25,09:00:00,ACS Sepsi OSK,Universitatea Cluj,2.26,3.65,3.15,2.48,1.39,1.38,3.2,1.09,8.0,9.2,1.07,3.15,1.37,1.76,2.12,1.07,3.85,1.89,1.99,9.6,10.5,4.8,4.9,8.0,6.6,13.0,4.8,10.0,10.0,4.3,4.9,4.6,4.6,4.8,5.1,4.4,4.8,5.2,0.44247788,0.31746033,0.2739726,0.4716981,0.5681818,0.52910054,0.5025126,1.3938053,1.6150442,0.71746033,1.1587301,0.61917806,0.8630137,0.6730159,0.5587302,0.20724894,0.16451016,0.23519458,0.073529415,0.19544592,0.61917806,1.1587301,0.71746033,1.0660378,1.7216982,0.6730159,1.1216931,9.06,-0.098234,0.05518764,0.24944812,0.40286976,0.23313233,0.70405966,0.26119703,1.724587,23.989063,0.5091169,10.203974,1.724587,0.5,0.89,1,1.0
German Bundesliga 2,2024-02-25,09:30:00,Greuther Furth,Nurnberg,1.75,4.7,4.3,3.5,1.31,1.61,2.34,1.16,5.6,15.5,1.04,5.0,1.18,2.54,1.59,1.22,4.3,1.63,2.38,20.0,22.0,36.0,13.0,10.5,9.4,12.5,44.0,11.0,9.2,15.5,26.0,17.0,14.5,23.0,14.0,6.8,29.0,14.0,0.5714286,0.23255815,0.21276596,0.6289308,0.39370078,0.61349696,0.42016807,2.4571428,2.6857142,0.40697673,1.0930233,0.3723404,0.9148936,0.36976743,0.59069765,0.48568907,0.4214876,0.45736435,0.044444446,0.46010187,0.3723404,1.0930233,0.40697673,1.100629,2.9559748,0.36976743,0.9754601,10.75,-0.2372093,0.037209302,0.1627907,0.4372093,0.44658428,1.6002604,0.53268725,3.9198215,51.89242,1.3435029,-25.407719,3.9198215,0.4,2.55,1,1.0
