,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Media_Ptos_H,DP_Ptos_H,CV_Ptos_H,Media_VG_H,DP_VG_H,CV_VG_H,Media_CG_H,DP_CG_H,CV_CG_H,Media_GM_H,DP_GM_H,CV_GM_H,Media_GS_H,DP_GS_H,CV_GS_H,Media_SG_H,DP_SG_H,CV_SG_H,Media_p_H,DP_p_H,Media_CG_H_02,GM_H_XP,CV_GM_H_XP,GS_H_XP,CV_GS_H_XP,Media_Ptos_A,DP_Ptos_A,CV_Ptos_A,Media_VG_A,DP_VG_A,CV_VG_A,Media_CG_A,DP_CG_A,CV_CG_A,Media_GM_A,DP_GM_A,CV_GM_A,Media_GS_A,DP_GS_A,CV_GS_A,Media_SG_A,DP_SG_A,CV_SG_A,Media_p_A,DP_p_A,GM_A_XP,CV_GM_A_XP,GS_A_XP,CV_GS_A_XP,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,coeficiente_pontos,cv_pontos,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,XPT_H,XPT_A,XPT_H/A,XPT_A/H,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
1,MEXICO - LIGA MX,2024-07-13,00:00,Club Tijuana,Guadalajara Chivas,2.25,3.25,3.25,2.1,1.7,1.8,1.95,1.2727273,1.1354542,0.8921426,0.44040057,0.21589553,0.4902254,0.37113464,0.12060265,0.3249566,1.5454545,0.78202957,0.5060191,1.3636364,0.97912085,0.718022,0.18181819,1.2662171,6.9641943,0.46645212,0.11855739,1.0059533,3.9338844,0.3072259,1.2396694,1.0770329,1.3636364,1.2984415,0.95219046,0.3161292,0.3568458,1.1287973,0.60967535,0.12782294,0.20965739,0.8181818,0.83319557,1.0183501,0.8181818,0.9359664,1.1439589,0.0,1.4142135,1.0,0.33727804,0.117326856,0.59504133,1.145644,1.4876033,0.51478153,0.44444445,0.30769232,0.30769232,0.47619048,0.5882353,0.5555556,0.51282054,1.4444444,1.4444444,0.6923077,1.0,0.6923077,1.0,0.64615387,0.52307695,0.18247917,0.18181819,0.18181819,0.0,0.21495327,0.6923077,1.0,0.6923077,1.0714285,1.5476191,0.64615387,1.1666666,8.75,-0.091,2.434,-0.114285715,0.0,0.25714287,0.37142858,0.19794866,0.57735026,0.22992267,1.4142135,26.565052,0.56568545,11.309933,1.6410257,1.3675214,1.2,0.8333333,1.4142135,0.0,1.0,1,0.6473
2,MEXICO - LIGA MX,2024-07-13,00:00,Mazatlan FC,Atl. San Luis,2.3,3.4,3.1,1.67,2.15,1.53,2.38,1.8181819,1.3360853,0.73484695,0.6041203,0.42360842,0.70119876,0.41098833,0.06661698,0.16208972,1.5454545,1.0756508,0.6960094,1.1818181,1.1922616,1.0088367,0.36363637,1.9666643,5.408327,0.38558242,0.069724955,0.9655185,2.9504132,0.56343615,1.0743802,1.3114877,0.90909094,1.3111095,1.4422206,0.5787482,0.4498144,0.77721953,0.3792066,0.12192186,0.3215183,1.0909091,0.7925271,0.72648317,1.7272727,1.354515,0.78419286,-0.6363636,1.8719327,-2.9416087,0.26654425,0.094328575,1.3884298,0.62269986,2.8264463,0.82775915,0.4347826,0.29411766,0.32258064,0.5988024,0.4651163,0.6535948,0.42016807,1.4782609,1.3478261,0.6764706,0.9117647,0.7419355,1.0967742,0.49117646,0.63235295,0.17325127,0.19298245,0.14814815,0.046153847,0.34122288,0.7419355,0.9117647,0.6764706,1.3772455,1.8562875,0.49117646,1.0915033,8.8,0.909,2.647,-0.125,-0.03409091,0.26136363,0.35227272,0.19384912,0.5686241,0.29949865,1.3928388,28.810793,0.6788225,-13.495733,1.6269284,1.4025246,1.16,0.86206895,1.3928388,0.3,1.1,1,0.7193
3,SOUTH KOREA - K LEAGUE 2,2024-07-13,07:00,Jeonnam,Asan,2.38,3.3,2.75,1.95,1.85,1.73,2.0,1.7272727,1.2128786,0.70219284,0.6260519,0.45015058,0.7190308,0.34662384,0.17545962,0.5061961,1.7272727,1.0523489,0.6092546,0.8181818,0.9359664,1.1439589,0.90909094,1.781447,1.9595917,0.44214427,0.098319806,1.0847085,1.5702479,1.1575837,0.96694213,0.79197156,1.1818181,1.4024771,1.1867114,0.5693889,0.64647233,1.1353792,0.5590032,0.13099581,0.23433821,1.2727273,1.4200454,1.11575,1.8181819,1.4024771,0.7713624,-0.54545456,2.2709084,-4.163332,0.35031036,0.08746697,1.2727273,1.4200454,1.983471,1.285604,0.42016807,0.3030303,0.36363637,0.51282054,0.5405405,0.5780347,0.5,1.3865546,1.1554621,0.72121215,0.8333333,0.86545455,1.2,0.59090906,0.56060606,0.13202816,0.16197184,0.07212476,0.09090909,0.25714287,0.86545455,0.8333333,0.72121215,1.2205129,1.4102564,0.59090906,1.1271676,8.43,0.545,2.615,-0.10913405,-0.06524318,0.28232503,0.3262159,0.16474216,0.4629255,0.22062008,1.1339312,24.70243,0.14142136,2.8624053,1.6241406,1.5110772,1.074823,0.9303857,1.1339312,0.55,0.92,1,0.6446
4,SOUTH KOREA - K LEAGUE 1,2024-07-13,07:00,Ulsan HD,Seoul,2.15,3.4,3.25,1.73,2.08,1.62,2.2,2.1818182,1.1134044,0.51031035,0.48376423,0.2885813,0.596533,0.38546234,0.1780018,0.46178782,2.1818182,1.2662171,0.5803495,0.90909094,0.9958592,1.0954452,1.2727273,1.4826823,1.1649648,0.584247,0.036012866,1.3830326,3.1735537,0.8705243,0.9917355,0.91287094,1.2727273,1.1354542,0.8921426,0.63020295,0.52690196,0.836083,0.43194613,0.12594408,0.29157358,1.5454545,1.3726971,0.88821584,1.3636364,1.06794,0.78315604,0.18181819,1.6414064,9.027735,0.35879073,0.06862414,2.107438,1.0066446,1.8595041,0.78315604,0.4651163,0.29411766,0.30769232,0.5780347,0.48076922,0.61728394,0.45454547,1.5813954,1.5116279,0.63235295,0.9558824,0.6615385,1.0461539,0.5088235,0.6117647,0.2182196,0.22522523,0.2037037,0.02255639,0.32553607,0.6615385,0.9558824,0.63235295,1.2427746,1.8786128,0.5088235,1.0679013,8.8,0.909,2.249,-0.14204545,-0.017045455,0.24431819,0.3693182,0.23267722,0.68251985,0.31152764,1.6718254,32.005383,0.49497473,-9.926246,1.7030412,1.3881932,1.2268041,0.81512606,1.6718254,0.15,1.25,1,0.8382
5,SOUTH KOREA - K LEAGUE 2,2024-07-13,07:30,Cheongju,Ansan Greeners,1.95,3.2,3.9,2.4,1.53,2.2,1.62,1.3636364,1.06794,0.78315604,0.29323107,0.28013825,0.95534986,0.59221375,0.0927768,0.15666099,0.72727275,0.6165755,0.84779125,0.6363636,0.88139635,1.3850514,0.09090909,0.66804266,7.3484693,0.3679342,0.054009534,0.5476035,0.8595041,0.52171767,1.1570247,0.48476797,1.1818181,1.1922616,1.0088367,0.67505383,0.68057275,1.0081755,0.4652135,0.079265505,0.17038521,1.0909091,1.0833068,0.99303126,0.90909094,0.66804266,0.73484695,0.18181819,1.465865,8.062258,0.23191994,0.056579873,1.0909091,1.0833068,1.2396694,0.48989794,0.51282054,0.3125,0.25641027,0.41666666,0.6535948,0.45454547,0.61728394,1.6410257,2.0,0.609375,1.21875,0.5,0.82051283,0.75,0.478125,0.30523553,0.24271844,0.33333334,0.09859155,0.14285715,0.5,1.21875,0.609375,0.8125,1.625,0.75,1.0909091,9.05,0.182,2.26,-0.13812155,0.07734807,0.21546961,0.43093923,0.3274617,0.98784274,0.30165792,2.4197106,32.005383,1.2303658,23.50904,1.7948718,1.2820513,1.4,0.71428573,2.4197106,0.7,1.25,1,0.7863
6,CHINA - SUPER LEAGUE,2024-07-13,08:35,Shandong Taishan,Qingdao Hainiu,1.6,4.33,4.33,1.5,2.5,1.57,2.25,2.3636363,1.06794,0.45182076,0.4436064,0.2818814,0.6354313,0.36356556,0.066966556,0.18419391,2.7272727,1.5427784,0.56568545,1.3636364,0.88139635,0.6463573,1.3636364,1.8227216,1.3366625,0.6230416,0.1347777,1.6751572,4.46281,0.94280905,1.983471,0.60596,0.72727275,1.1354542,1.5612495,0.17309217,0.45212415,2.6120427,0.8662381,0.19023569,0.2196113,0.36363637,0.88139635,2.42384,1.2727273,1.354515,1.0642618,-0.90909094,1.7296634,-1.9026297,0.27008894,0.109248154,0.59504133,0.5386311,1.8512397,0.93122905,0.625,0.23094688,0.23094688,0.6666667,0.4,0.6369427,0.44444445,2.70625,2.70625,0.369515,1.0,0.369515,1.0,0.34642032,0.5773672,0.51272285,0.460371,0.460371,0.0,0.48542023,0.369515,1.0,0.369515,1.0666667,2.8866668,0.34642032,0.955414,10.26,1.636,2.203,-0.26608187,0.0,0.15594542,0.4220273,0.46086732,1.5761663,0.5461064,3.8608031,53.773468,1.4142135,-26.565052,2.1059468,1.3178407,1.5980284,0.6257711,3.8608031,0.0,2.73,1,0.9851
7,CHINA - SUPER LEAGUE,2024-07-13,09:00,Shanghai Shenhua,Changchun Yatai,1.25,5.75,11.0,1.44,2.7,1.8,1.95,2.3636363,1.06794,0.45182076,0.40769142,0.3662123,0.89825857,0.34979442,0.16745664,0.47872877,2.6363637,1.6109132,0.61103606,0.45454547,0.6555548,1.4422206,2.1818182,1.9917184,0.91287094,0.6758028,0.16560417,1.6560832,4.0743804,1.0423555,0.45454547,0.6555548,1.1818181,1.1922616,1.0088367,0.7089908,0.56017137,0.79009676,0.3842773,0.2581455,0.6717688,1.3636364,0.88139635,0.6463573,1.9090909,1.5640591,0.81926906,-0.54545456,1.3726971,-2.5166116,0.31288844,0.22310092,1.7355372,0.6925257,2.0826447,1.4337208,0.8,0.17391305,0.09090909,0.6944444,0.37037036,0.5555556,0.51282054,4.6,8.8,0.2173913,1.9130435,0.11363637,0.52272725,0.2504348,0.4695652,0.8917646,0.64285713,0.79591835,0.31343284,0.5994437,0.11363637,1.9130435,0.2173913,0.8680556,7.638889,0.2504348,0.8,18.0,1.182,2.26,-0.25,0.29166666,0.06944445,0.6111111,0.8133009,4.879805,0.9445632,11.953033,66.03751,1.7819091,-32.210926,2.490909,1.0727273,2.322034,0.43065694,11.953033,5.25,4.5,1,0.9998
8,FINLAND - YKKONEN,2024-07-13,10:00,Jazz Pori,OLS Oulu,3.1,4.0,1.9,1.48,2.6,1.5,2.5,1.2857143,1.484615,1.1547005,0.34527805,0.19866627,0.57538056,0.4651567,0.18199435,0.39125386,2.142857,1.8070158,0.84327406,2.142857,1.1248583,0.5249339,0.0,2.4494898,1.0,0.6350825,0.20720273,1.3889698,5.5102043,0.7027284,3.6734693,0.6561673,1.7142857,1.1605769,0.6770032,0.39498746,0.42465815,1.0751181,0.60211474,0.17704254,0.29403457,1.4285715,1.3997084,0.9797959,0.85714287,0.9897433,1.1547005,0.5714286,1.0497813,1.8371173,0.50102913,0.150909,0.6122449,3.2659864,1.2244898,0.6928203,0.32258064,0.25,0.5263158,0.6756757,0.3846154,0.6666667,0.4,1.2903225,0.61290324,0.775,0.475,1.6315789,2.1052632,0.37,0.65,0.3193146,0.12676056,0.24,0.3559322,0.459854,1.6315789,0.475,0.775,2.0945945,1.2837838,0.37,0.9866667,9.0,-0.429,2.645,-0.1,-0.23333333,0.34444445,0.21111111,0.35118845,1.0535654,0.4381174,2.5806975,24.227745,1.5839192,-29.248827,1.4940578,1.901528,0.78571427,1.2727273,2.5806975,2.1,0.9,1,0.5448
9,ROMANIA - LIGA 1,2024-07-13,11:00,Sepsi Sf. Gheorghe,Poli Iasi,1.7,3.6,4.5,2.05,1.75,1.91,1.8,1.4545455,1.233151,0.84779125,0.58561337,0.43178123,0.7373145,0.40009248,0.14722945,0.36798853,1.9090909,1.7296634,0.90601414,1.2727273,1.0523489,0.82684547,0.6363636,2.307014,3.6253078,0.44917277,0.103181385,1.1791319,3.123967,1.0570165,1.5041323,0.890449,0.54545456,0.8907235,1.6329932,0.38991323,0.37308803,0.95684886,0.5238113,0.08213957,0.15681136,0.72727275,0.6165755,0.84779125,1.7272727,1.4826823,0.8583951,-1.0,1.7056057,-1.7056057,0.25710937,0.053844545,0.3966942,1.1303884,2.6694214,0.9593827,0.5882353,0.2777778,0.22222222,0.4878049,0.5714286,0.5235602,0.5555556,2.1176472,2.6470587,0.4722222,1.25,0.37777779,0.8,0.5694444,0.4861111,0.4439775,0.35849056,0.4516129,0.11111111,0.27433628,0.37777779,1.25,0.4722222,0.8292683,2.195122,0.5694444,1.0732985,9.8,0.909,2.124,-0.19387755,0.091836736,0.1734694,0.45918366,0.43758738,1.4294521,0.4442753,3.5014284,43.5312,0.42426407,8.530766,1.9869281,1.254902,1.5833334,0.6315789,3.5014284,0.9,1.9,1,0.9495
10,ARGENTINA - PRIMERA NACIONAL,2024-07-13,12:05,Deportivo Moron,Chaco For Ever,2.3,2.7,3.9,3.4,1.33,2.5,1.5,1.3636364,1.2984415,0.95219046,0.22890535,0.28871667,1.2612928,0.67962307,0.15649052,0.23026076,0.90909094,1.1642044,1.2806249,0.90909094,1.2398347,1.3638182,0.0,1.9540168,1.0,0.44793293,0.058235906,0.6785119,1.6528926,0.64031243,0.3305785,3.4095454,0.27272728,0.44536176,1.6329932,0.09324009,0.19779211,2.1213202,0.8589656,0.013784461,0.016047746,0.18181819,0.3856946,2.1213202,1.0909091,0.51425946,0.47140452,-0.90909094,0.66804266,-0.73484695,0.21873794,0.044259187,0.16528925,0.42426407,1.4876033,0.37712362,0.4347826,0.37037036,0.25641027,0.29411766,0.7518797,0.4,0.6666667,1.173913,1.6956521,0.8518519,1.4444444,0.5897436,0.6923077,1.2592592,0.4925926,0.20842113,0.08,0.2580645,0.18181819,0.114754096,0.5897436,1.4444444,0.8518519,0.6764706,1.1470588,1.2592592,1.36,8.9,1.091,1.744,-0.04494382,0.13483146,0.25842696,0.43820226,0.28067407,0.8326664,0.23205176,2.0396078,11.309933,2.927422,45.985332,1.5607581,1.2040133,1.2962962,0.7714286,2.0396078,1.2,0.4,1,0.8044
