,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2024-08-24,00:05:00,MEXICO - LIGA MX,Club Tijuana,Monterrey,3.05,2.38,3.75,13.0,1.231485
2,2024-08-24,05:00:00,ROMANIA - LIGA 2,CS Afumati,Metaloglobus Bucharest,1.3,2.56,2.94,1000.0,1.2320582
3,2024-08-24,05:00:00,ROMANIA - LIGA 2,Ceahlaul,Mioveni,2.28,2.42,2.52,1000.0,1.2320571
4,2024-08-24,05:00:00,ROMANIA - LIGA 2,CSM Resita,CSM Focsani,1.42,1.45,1.73,1000.0,1.2320576
5,2024-08-24,05:00:00,ROMANIA - LIGA 2,Metalul Buzau,Bihor Oradea,1.99,1.79,2.18,1000.0,1.2320577
6,2024-08-24,05:00:00,ROMANIA - LIGA 2,Muscelul Campulung,CSM Slatina,1.06,1.06,1.24,1000.0,1.2320583
7,2024-08-24,06:30:00,ESTONIA - ESILIIGA,Tartu Welco,Elva,1.63,4.0,4.3,980.0,1.2321874
8,2024-08-24,06:30:00,JAPAN - J1 LEAGUE,Gamba Osaka,Avispa Fukuoka,2.18,4.1,3.2,11.5,1.2319175
9,2024-08-24,07:00:00,UKRAINE - PREMIER LEAGUE,Oleksandriya,Shakhtar Donetsk,6.8,1.52,4.4,8.6,1.2319733
10,2024-08-24,07:00:00,JAPAN - J1 LEAGUE,Urawa Reds,Kawasaki Frontale,2.54,2.76,4.0,17.0,1.2319131
11,2024-08-24,07:00:00,JAPAN - J1 LEAGUE,Kyoto,FC Tokyo,2.42,3.15,3.5,13.0,1.2319127
12,2024-08-24,07:00:00,JAPAN - J1 LEAGUE,Yokohama F. Marinos,Cerezo Osaka,1.86,4.1,4.3,24.0,1.2319134
13,2024-08-24,07:00:00,SOUTH KOREA - K LEAGUE 2,Jeonnam,Gyeongnam,2.26,2.94,3.9,20.0,1.2319602
14,2024-08-24,07:00:00,JAPAN - J2 LEAGUE,V-Varen Nagasaki,Renofa Yamaguchi,1.93,4.2,3.85,18.0,1.2319131
15,2024-08-24,07:00:00,PORTUGAL - LIGA PORTUGAL 2,Felgueiras,Feirense,1.99,4.3,3.4,14.0,1.2320511
16,2024-08-24,07:00:00,SOUTH KOREA - K LEAGUE 1,Pohang,Daegu,2.18,3.6,3.55,14.0,1.2319175
17,2024-08-24,07:00:00,JAPAN - J2 LEAGUE,Okayama,Oita Trinita,1.76,5.4,3.8,20.0,1.2319595
18,2024-08-24,07:30:00,SOUTH KOREA - K LEAGUE 2,Asan,Bucheon FC 1995,2.14,3.6,3.4,980.0,1.2319602
19,2024-08-24,07:30:00,SOUTH KOREA - K LEAGUE 1,Seoul,Gangwon,2.36,3.3,3.45,14.0,1.2319597
20,2024-08-24,08:00:00,DENMARK - 1ST DIVISION,Esbjerg,Koge,1.22,12.5,8.0,70.0,1.2321404
21,2024-08-24,08:00:00,GERMANY - 2. BUNDESLIGA,Hertha Berlin,Regensburg,1.6,6.0,4.6,29.0,1.231702
22,2024-08-24,08:00:00,GERMANY - 2. BUNDESLIGA,Greuther Furth,Paderborn,2.62,2.66,3.95,17.5,1.2317017
23,2024-08-24,08:30:00,ENGLAND - NATIONAL LEAGUE,Gateshead,Yeovil,1.77,4.7,4.0,21.0,1.2320948
24,2024-08-24,08:30:00,ENGLAND - LEAGUE ONE,Burton,Stevenage,3.0,2.52,3.55,11.0,1.2319323
25,2024-08-24,08:30:00,ENGLAND - LEAGUE ONE,Stockport County,Bristol Rovers,1.79,5.1,4.0,19.0,1.2319318
26,2024-08-24,08:30:00,ENGLAND - CHAMPIONSHIP,Bristol City,Coventry,2.6,2.9,3.6,13.0,1.2319311
27,2024-08-24,08:30:00,ENGLAND - CHAMPIONSHIP,Hull,Millwall,2.38,3.4,3.4,12.5,1.231931
28,2024-08-24,08:30:00,ENGLAND - CHAMPIONSHIP,QPR,Plymouth,1.72,5.5,4.2,21.0,1.2319309
29,2024-08-24,08:30:00,ENGLAND - PREMIER LEAGUE,Brighton,Manchester Utd,2.58,2.8,3.85,17.0,1.2319325
30,2024-08-24,08:30:00,ENGLAND - LEAGUE TWO,Tranmere,Walsall,2.52,3.0,3.45,12.0,1.2319171
31,2024-08-24,08:30:00,ENGLAND - LEAGUE TWO,Crewe,Swindon,2.6,2.82,3.5,14.0,1.231917
32,2024-08-24,09:00:00,GERMANY - 3. LIGA,Saarbrucken,Ingolstadt,2.22,3.3,3.85,21.0,1.2319236
33,2024-08-24,09:00:00,GERMANY - 3. LIGA,Hansa Rostock,Dortmund II,2.1,3.45,3.9,21.0,1.2320912
34,2024-08-24,09:00:00,GERMANY - 3. LIGA,VfL Osnabruck,Unterhaching,1.83,4.4,4.1,22.0,1.2320911
35,2024-08-24,09:00:00,GERMANY - 3. LIGA,RW Essen,Arminia Bielefeld,2.82,2.52,3.7,14.5,1.2319237
36,2024-08-24,09:00:00,ESTONIA - ESILIIGA,Flora U21,FC Tallinn,1.54,2.12,2.42,1000.0,1.2321869
37,2024-08-24,09:30:00,POLAND - DIVISION 1,Stal Stalowa Wola,Pogon Siedlce,2.2,3.35,3.4,14.0,1.2321291
38,2024-08-24,09:30:00,FRANCE - LIGUE 2,Lorient,Grenoble,1.71,5.4,3.9,24.0,1.23202
39,2024-08-24,09:30:00,AUSTRIA - BUNDESLIGA,Ried,Liefering,1.52,6.6,4.6,980.0,1.2320206
40,2024-08-24,09:45:00,POLAND - EKSTRAKLASA,Motor Lublin,Puszcza,2.48,3.05,3.45,15.5,1.2320468
41,2024-08-24,10:00:00,ARMENIA - PREMIER LEAGUE,West Armenia,Ararat Yerevan,6.8,1.41,4.2,11.5,1.2321749
42,2024-08-24,10:00:00,SWEDEN - ALLSVENSKAN,Kalmar,Malmo FF,6.2,1.57,4.7,10.5,1.2319366
43,2024-08-24,10:00:00,PORTUGAL - LIGA PORTUGAL 2,Torreense,Oliveirense,2.2,3.55,3.3,14.0,1.2319759
44,2024-08-24,10:00:00,FINLAND - YKKONEN,Jazz Pori,KPV Kokkola,2.84,2.18,4.1,980.0,1.232178
45,2024-08-24,10:00:00,FINLAND - YKKONEN,EPS,Rovaniemi,1.83,3.65,3.6,24.0,1.2321779
