,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,OVER2_5,11/05/2024,08:30,SCOTLAND - PREMIERSHIP,Celtic,Rangers,1.85,3.75,4.0,1.57,2.38,1.53,2.38,D,H,D
2,OVER2_5,11/05/2024,10:00,POLAND - EKSTRAKLASA,Gornik Zabrze,Stal Mielec,1.55,4.0,5.5,1.75,2.05,1.77,1.92,H,D,D
3,OVER2_5,11/05/2024,11:00,FINLAND - VEIKKAUSLIIGA,AC Oulu,Gnistan,1.95,3.6,3.6,1.67,2.15,1.57,2.25,H,D,D
4,BTTS Sim,11/05/2024,11:00,SCOTLAND - PREMIERSHIP,Hearts,Dundee FC,1.67,4.0,4.75,1.67,2.2,1.7,2.05,D,H,D
5,BTTS Sim,11/05/2024,13:30,BULGARIA - PARVA LIGA,Ludogorets,CSKA Sofia,1.57,4.0,6.0,1.73,2.08,1.8,1.91,D,D,H
6,BTTS Sim,11/05/2024,15:45,BELGIUM - JUPILER PRO LEAGUE,Anderlecht,Genk,1.95,3.5,3.6,1.73,2.08,1.62,2.2,H,D,A
7,BTTS Sim,11/05/2024,20:00,ECUADOR - LIGA PRO,LDU,Emelec,1.67,3.6,4.75,2.0,1.8,1.91,1.8,H,D,D
8,BTTS Sim,11/05/2024,20:45,USA - MLS,Columbus,FC Cincinnati,1.83,3.4,4.75,1.83,2.03,1.7,2.05,A,H,A
9,BTTS Sim,11/05/2024,21:00,MEXICO - LIGA MX,CF America,Pachuca,1.7,4.0,4.33,1.53,2.4,1.53,2.38,A,H,D
10,OVER2_5,11/05/2024,23:00,PERU - LIGA 1,Universidad Cesar Vallejo,Los Chankas,1.57,4.0,5.5,1.73,2.08,1.8,1.91,H,D,H
11,BTTS Sim,11/05/2024,23:30,USA - MLS,LA Galaxy,Real Salt Lake,1.95,3.5,3.6,1.57,2.35,1.5,2.5,A,H,A
12,BTTS Sim,11/05/2024,23:30,USA - MLS,Los Angeles FC,Vancouver Whitecaps,1.62,4.0,5.0,1.57,2.35,1.62,2.2,A,H,A
