Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,13/02/2024,09:00,THAILAND - THAI LEAGUE 1,Ratchaburi,Khonkaen Utd.,1.5,4.2,5.6,1.62,1.72,2.02,1.04,1.32,1.2,4.1,1.2
2,13/02/2024,10:30,INDIA - I-LEAGUE,Mohammedan,Rajasthan United,1.5,4.35,5.3,1.5,1.62,2.02,1.01,1.24,1.14,3.45,1.22
3,13/02/2024,16:15,NETHERLANDS - TWEEDE DIVISIE,Rijnsburgse Boys,Excelsior Maassluis,1.55,4.35,4.7,1.47,1.57,2.12,1.01,1.23,1.13,3.3,1.24
4,13/02/2024,16:30,ITALY - SERIE C,L.R. Vicenza,Pro Vercelli,1.57,3.45,6.4,2.32,2.32,1.53,1.1,1.55,1.45,7.1,1.06
5,13/02/2024,16:45,ITALY - SERIE C,Triestina,Renate,1.7,3.35,5.2,2.15,2.02,1.72,1.08,1.5,1.38,6.4,1.08
6,13/02/2024,16:45,ITALY - SERIE C,Cesena,Arezzo,1.37,4.25,8.5,2.15,2.55,1.45,1.08,1.47,1.37,6.3,1.08
7,13/02/2024,16:45,ENGLAND - CHAMPIONSHIP,Leicester,Sheffield Wed,1.3,5.5,9.5,1.65,2.0,1.73,1.03,1.3,1.2,4.5,1.2
8,13/02/2024,16:45,ENGLAND - LEAGUE ONE,Leyton Orient,Northampton,1.7,3.8,5.0,2.05,2.0,1.75,1.06,1.4,1.33,8.0,1.08
9,13/02/2024,16:45,ENGLAND - LEAGUE TWO,Barrow,Forest Green,1.7,3.75,5.0,1.93,1.83,1.83,1.05,1.36,1.29,6.5,1.11
10,13/02/2024,16:45,ENGLAND - LEAGUE ONE,Portsmouth,Cambridge Utd,1.44,4.33,8.0,1.88,2.05,1.7,1.05,1.36,1.25,6.0,1.13
11,13/02/2024,17:00,ENGLAND - CHAMPIONSHIP,West Brom,Cardiff,1.6,4.0,5.5,2.1,2.1,1.67,1.06,1.44,1.36,8.0,1.08
