Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,25/08/2024,09:00,INDONESIA - LIGA 1,Persib Bandung,Arema FC,1.5,4.2,5.4,1.6,1.72,1.9,11.5,1.3,1.2,4.5,1.15
2,25/08/2024,15:00,ARGENTINA - PRIMERA NACIONAL,Almagro,Deportivo Madryn,3.25,2.7,2.55,3.4,2.5,1.5,1.14,1.73,1.67,19.0,1.02
3,25/08/2024,15:00,ARGENTINA - PRIMERA NACIONAL,Alvarado,Gimnasia Jujuy,2.4,2.88,3.4,3.1,2.5,1.5,1.17,1.67,1.67,17.0,1.03
4,25/08/2024,15:00,SPAIN - PRIMERA RFEF,Alcoyano,Algeciras,1.91,3.1,3.75,2.63,2.38,1.53,1.11,1.62,1.53,9.0,1.04
5,25/08/2024,15:45,CROATIA - HNL,Osijek,Rijeka,2.35,3.4,2.9,1.98,1.73,2.0,1.05,1.4,1.29,6.5,1.11
6,25/08/2024,18:00,PANAMA - LPF,San Francisco,Arabe Unido,1.53,3.5,6.7,2.15,2.22,1.52,1.05,1.5,1.4,9.0,1.03
