,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,AUSTRIA - 2. LIGA,15/03/2024,14:10,Grazer AK,Lafnitz,1.4,4.45,7.0
2,PERU - LIGA 1,15/03/2024,15:15,Union Comercio,Deportivo Garcilaso,2.1,3.1,3.4
3,QATAR - QSL,15/03/2024,15:30,Al-Sadd,Muaither SC,1.2,6.7,10.75
4,AUSTRIA - BUNDESLIGA,15/03/2024,15:30,SK Rapid,LASK,2.2,3.5,3.2
5,BELGIUM - CHALLENGER PRO LEAGUE,15/03/2024,16:00,Beveren,Patro Eisden,2.0,3.4,3.3
6,NORTHERN IRELAND - NIFL CHAMPIONSHIP,15/03/2024,16:45,Bangor FC,Knockbreda,1.12,7.6,15.5
7,PERU - LIGA 1,15/03/2024,17:30,Los Chankas,Grau,1.67,3.6,4.75
8,MOROCCO - BOTOLA PRO,15/03/2024,19:00,Union Touarga,Maghreb Fez,2.2,3.1,3.0
9,BRAZIL - BRASILEIRO WOMEN,15/03/2024,19:00,Santos W,Real Brasilia W,1.46,4.0,6.37
10,BRAZIL - BRASILEIRO WOMEN,15/03/2024,19:00,Ferroviaria W,Botafogo RJ W,1.45,4.0,6.22
11,DOMINICAN REPUBLIC - LDF,15/03/2024,20:00,Vega Real,San Cristobal,1.5,3.95,5.4
12,ECUADOR - LIGA PRO,15/03/2024,21:00,Ind. del Valle,Cumbaya,1.22,6.0,12.0
