Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SERBIA - PRVA LIGA,15/10/2023,10:00,Smederevo,OFK Beograd,4.2,3.35,1.75
2,CAMEROON - ELITE ONE,15/10/2023,11:00,Union Douala,Bamboutos FC,2.9,2.75,2.5
3,ITALY - SERIE C,15/10/2023,11:15,Taranto,Crotone,2.82,2.77,2.75
