,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,bZIfo7mD,19/08/2023,05:00,ROMANIA - LIGA 2,Metaloglobus Bucharest,CSM Slatina,ROUND 3,2.46,3.02,2.93,1.53,2.34,1.07,6.7,1.46,2.45,2.49,1.52,4.65,1.14,10.0,1.02,2.03,1.75,,,,,6.0,7.5,13.0,36.0,6.0,5.5,10.0,26.0,9.0,8.5,13.0,51.0,19.0,19.0,34.0,76.0,101.0
2,UgRwkkll,19/08/2023,05:00,ROMANIA - LIGA 2,Viitorul Tg. Jiu,Ceahlaul,ROUND 3,2.53,3.18,2.66,1.44,2.59,1.04,8.1,1.35,2.84,2.16,1.68,3.74,1.21,7.8,1.05,1.83,1.93,,,,,7.5,7.5,11.0,21.0,7.5,5.5,8.5,19.0,11.0,8.5,12.0,29.0,23.0,19.0,31.0,67.0,101.0
3,QuBt9AuK,19/08/2023,05:00,ROMANIA - LIGA 2,CSM Alexandria,Selimbar,ROUND 3,2.48,3.22,2.69,1.43,2.62,1.03,8.9,1.33,2.93,2.09,1.72,3.56,1.23,7.0,1.07,1.79,1.98,,,,,8.0,7.5,11.0,23.0,7.5,5.5,8.5,19.0,11.0,8.5,12.0,26.0,23.0,17.0,26.0,61.0,101.0
4,CInD7c4F,19/08/2023,06:00,ROMANIA - LIGA 2,Corvinul Hunedoara,Csikszereda M. Ciuc,ROUND 3,2.44,3.14,2.79,1.46,2.53,1.05,7.7,1.37,2.75,2.23,1.64,3.95,1.19,8.4,1.04,1.87,1.89,,,,,7.0,7.0,12.0,23.0,7.0,5.5,9.0,21.0,11.0,9.0,12.0,31.0,23.0,19.0,31.0,67.0,101.0
5,dEb3htQ9,19/08/2023,07:00,SINGAPORE - PREMIER LEAGUE,Hougang,Tanjong Pagar,-,1.73,4.2,3.4,1.14,5.5,1.01,34.0,1.05,11.0,1.22,4.2,1.57,2.25,2.25,1.57,1.25,3.75,1.75,2.05,1.28,3.55,34.0,29.0,34.0,41.0,21.0,12.0,15.0,23.0,17.0,10.0,11.0,21.0,21.0,12.0,15.0,21.0,51.0
6,M7xyt3cq,19/08/2023,07:30,HONG KONG - PREMIER LEAGUE,Resources Capital,North District,ROUND 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,dfMmmY8d,19/08/2023,07:30,SOUTH KOREA - K LEAGUE 2,Cheongju,Gimpo FC,ROUND 27,3.0,2.9,2.38,1.57,2.25,1.1,7.0,1.5,2.5,2.6,1.48,5.0,1.17,13.0,1.04,2.1,1.67,2.85,1.4,1.53,2.43,6.5,6.5,11.0,23.0,7.0,6.0,11.0,23.0,13.0,12.0,19.0,41.0,34.0,29.0,41.0,67.0,201.0
8,QZZHWvNm,19/08/2023,08:35,CHINA - SUPER LEAGUE,Shenzhen,Nantong Zhiyun,ROUND 23,4.5,3.6,1.8,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,3.25,1.33,6.0,1.13,1.8,1.95,4.4,1.2,2.08,1.73,11.0,7.5,8.5,15.0,13.0,7.0,8.5,13.0,23.0,15.0,15.0,23.0,51.0,41.0,41.0,51.0,201.0
9,bynJpadL,19/08/2023,09:00,INDONESIA - LIGA 1,Persis Solo,Bali United,ROUND 9,2.59,3.64,2.35,1.27,3.42,1.01,12.5,1.14,4.6,1.57,2.38,2.3,1.52,3.98,1.19,1.46,2.63,,,,,13.0,11.0,13.0,21.0,11.0,6.5,8.0,15.0,13.0,8.5,9.0,17.0,21.0,15.0,17.0,31.0,67.0
10,lM8wALrQ,19/08/2023,11:00,ROMANIA - LIGA 1,FC Botosani,Otelul,ROUND 6,2.05,3.2,3.75,1.53,2.38,1.08,8.0,1.44,2.63,2.35,1.57,4.33,1.2,10.0,1.06,2.1,1.67,2.05,1.75,1.28,3.55,7.0,9.0,17.0,41.0,6.0,6.0,13.0,34.0,8.5,9.5,19.0,41.0,19.0,19.0,34.0,67.0,201.0
11,S8RYy3t1,19/08/2023,12:00,MOLDOVA - SUPER LIGA,Zimbru Chisinau,Sparta Selemet,ROUND 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,lEx6R3H3,19/08/2023,12:30,URUGUAY - PRIMERA DIVISION,Fenix,Defensor Sp.,CLAUSURA ,3.2,3.2,2.25,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,4.0,1.22,10.0,1.06,1.91,1.8,3.1,1.35,1.63,2.25,8.0,7.0,10.0,21.0,8.5,6.0,9.5,21.0,15.0,12.0,17.0,34.0,34.0,29.0,41.0,51.0,301.0
13,ShwGdS20,19/08/2023,14:00,SERBIA - PRVA LIGA,Metalac,Tekstilac Odzaci,ROUND 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,n14UnMgE,19/08/2023,14:30,SPAIN - LALIGA2,Levante,Burgos CF,ROUND 2,1.67,3.5,6.0,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,5.0,1.17,11.0,1.05,2.38,1.53,1.65,2.2,1.15,5.5,7.0,11.0,26.0,67.0,5.0,7.0,19.0,51.0,6.5,9.0,23.0,51.0,12.0,17.0,41.0,81.0,201.0
15,n5CCKvJ2,19/08/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hilal,Al Feiha,ROUND 2,1.18,5.75,13.0,1.25,3.75,1.03,10.5,1.14,5.0,1.48,2.6,2.1,1.67,3.75,1.25,2.2,1.62,1.2,4.4,,,15.0,34.0,51.0,151.0,8.5,12.0,34.0,81.0,6.5,11.0,26.0,67.0,7.0,11.0,29.0,67.0,201.0
16,WM9Ag7Lo,19/08/2023,17:00,CANADA - CANADIAN PREMIER LEAGUE,Vancouver FC,Pacific FC,-,7.47,4.75,1.36,1.28,3.34,1.02,13.0,1.16,4.3,1.63,2.25,2.45,1.46,4.3,1.16,1.83,1.93,,,,,,,,,,,,,,,,,,,,,
17,jBI6Y9YB,19/08/2023,17:00,BRAZIL - SERIE B,ABC,CRB,ROUND 24,2.69,2.94,2.89,1.6,2.26,1.09,5.95,1.56,2.46,2.54,1.44,4.95,1.12,9.9,1.01,2.14,1.67,,,,,6.5,7.5,12.0,34.0,6.5,5.5,11.0,26.0,11.0,10.0,15.0,46.0,26.0,23.0,46.0,101.0,201.0
18,UBzfOABo,19/08/2023,20:00,USA - USL CHAMPIONSHIP,Hartford Athletic,Miami FC,-,2.87,3.36,2.31,1.37,2.85,1.01,9.3,1.26,3.34,1.89,1.89,3.08,1.3,5.8,1.09,1.67,2.15,,,,,8.5,7.5,10.0,20.0,7.5,5.5,7.5,15.0,11.0,8.5,10.0,21.0,23.0,18.0,23.0,46.0,201.0
19,6HPiwXgt,19/08/2023,21:30,PERU - LIGA 1,U. de Deportes,Deportivo Garcilaso,CLAUSURA ,1.33,5.0,10.0,1.29,3.5,1.03,15.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,1.83,1.83,1.33,3.3,1.14,5.75,15.0,23.0,41.0,101.0,7.5,9.5,26.0,51.0,7.0,8.5,19.0,51.0,8.5,11.0,23.0,51.0,251.0
20,S6dBaRYp,19/08/2023,22:30,USA - USL CHAMPIONSHIP,El Paso,Indy Eleven,-,2.11,3.42,3.2,1.36,2.88,1.01,9.3,1.26,3.34,1.89,1.89,3.08,1.3,5.8,1.09,1.69,2.11,,,,,8.5,9.0,14.0,31.0,6.5,5.5,9.0,21.0,9.0,7.0,10.0,26.0,15.0,13.0,20.0,41.0,201.0
