Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,07/10/2023,00:00,MEXICO - LIGA MX,Mazatlan FC,Club America,4.75,4.0,1.7,1.57,1.57,2.25,1.03,1.29,1.17,4.0,1.22
20,07/10/2023,05:00,ROMANIA - LIGA 2,Viitorul Tg. Jiu,Concordia,4.5,3.45,1.75,2.15,2.05,1.7,1.08,1.5,1.39,6.5,1.08
19,07/10/2023,08:00,RUSSIA - PREMIER LEAGUE,Sochi,Zenit,6.59,4.5,1.56,1.9,1.94,1.82,1.01,1.36,1.23,5.35,1.1
18,07/10/2023,09:00,MOLDOVA - SUPER LIGA,Dacia Buiucani,Balti,3.8,3.5,1.78,1.88,1.87,1.89,1.03,1.4,1.32,6.1,1.09
17,07/10/2023,09:00,NORTH MACEDONIA - 1. MFL,Tikves,Shkupi,3.95,3.35,1.85,2.0,1.87,1.75,1.04,1.44,1.34,7.4,1.06
16,07/10/2023,10:00,NETHERLANDS - TWEEDE DIVISIE,ADO 20 Heemskerk,Katwijk,3.7,3.6,1.85,1.55,1.5,2.27,1.01,1.23,1.13,3.6,1.2
15,07/10/2023,10:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Arsenal Tivat,Sutjeska,4.0,3.3,1.85,1.98,1.85,1.75,1.04,1.44,1.34,7.4,1.06
14,07/10/2023,10:00,EGYPT - PREMIER LEAGUE,El Daklyeh,Al Masry,4.2,3.0,1.93,2.07,1.85,1.75,1.04,1.5,1.37,7.7,1.04
11,07/10/2023,11:00,ENGLAND - PREMIER LEAGUE,Burnley,Chelsea,4.5,4.0,1.73,1.75,1.75,2.0,1.04,1.33,1.25,5.5,1.14
13,07/10/2023,11:00,SCOTLAND - LEAGUE TWO,Elgin City,Stenhousemuir,4.0,3.5,1.91,1.75,1.67,2.1,1.04,1.33,1.22,5.0,1.14
12,07/10/2023,11:00,SCOTLAND - LEAGUE TWO,Clyde,Dumbarton,4.2,3.4,1.91,1.93,1.8,1.91,1.03,1.4,1.25,5.5,1.13
10,07/10/2023,11:30,INDIA - ISL,Chennaiyin,Mohun Bagan,3.6,3.5,1.91,1.8,1.67,2.1,1.04,1.36,1.22,5.5,1.14
9,07/10/2023,11:45,BULGARIA - PARVA LIGA,Slavia Sofia,Arda,4.0,3.5,1.91,2.2,2.0,1.73,1.07,1.44,1.36,9.0,1.07
8,07/10/2023,12:00,AUSTRIA - BUNDESLIGA,A. Lustenau,Rapid Vienna,5.5,4.33,1.55,1.6,1.7,2.05,1.03,1.29,1.18,4.33,1.2
7,07/10/2023,12:00,MOROCCO - BOTOLA PRO,Union Touarga,FAR Rabat,5.25,3.75,1.55,2.1,2.2,1.62,1.07,1.44,1.36,8.0,1.08
6,07/10/2023,12:45,ROMANIA - LIGA 1,FC Voluntari,Univ. Craiova,4.33,3.6,1.7,1.9,1.83,1.83,1.05,1.4,1.25,6.0,1.13
5,07/10/2023,13:00,EGYPT - PREMIER LEAGUE,National Bank Egypt,Zamalek,4.1,3.1,1.91,2.05,1.83,1.78,1.05,1.47,1.36,7.2,1.05
4,07/10/2023,13:00,SLOVAKIA - NIKE LIGA,Michalovce,Zilina,3.55,3.55,1.98,1.7,1.57,2.25,1.04,1.37,1.22,4.4,1.19
3,07/10/2023,15:00,PERU - LIGA 1,Dep. Municipal,Cienciano,4.0,3.4,1.85,1.83,1.67,2.1,1.05,1.36,1.25,5.5,1.14
2,07/10/2023,15:30,ROMANIA - LIGA 1,FC Botosani,FCSB,4.2,3.6,1.7,1.75,1.73,2.0,1.04,1.33,1.22,5.5,1.14
21,07/10/2023,16:30,MOROCCO - BOTOLA PRO,IR Tanger,Wydad,4.75,3.3,1.65,2.3,2.2,1.62,1.08,1.5,1.4,10.0,1.06
22,07/10/2023,20:15,PANAMA - LPF,Chiriqui,Deportivo Universitario,4.85,3.7,1.62,1.8,1.78,1.83,1.03,1.38,1.26,5.9,1.1
