Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,23/03/2024,10:00,ITALY - SERIE C,Trento,Mantova,4.7,3.4,1.75,2.32,2.2,1.6,1.1,1.55,1.45,7.2,1.06
2,23/03/2024,10:00,ENGLAND - LEAGUE TWO,Harrogate,Bradford City,3.8,3.5,2.0,1.98,1.8,1.91,1.06,1.4,1.29,6.5,1.11
3,23/03/2024,12:00,SCOTLAND - LEAGUE ONE,Cove Rangers,Hamilton,3.75,3.4,1.8,1.75,1.67,2.1,1.04,1.33,1.22,5.0,1.14
4,23/03/2024,12:00,ENGLAND - LEAGUE TWO,Grimsby,Wrexham,4.0,3.6,1.91,1.83,1.73,2.0,1.04,1.36,1.25,6.0,1.13
5,23/03/2024,12:00,ENGLAND - LEAGUE ONE,Northampton,Derby,6.5,3.75,1.6,2.05,2.05,1.7,1.06,1.44,1.33,8.0,1.08
6,23/03/2024,12:00,ENGLAND - LEAGUE ONE,Carlisle,Stevenage,4.75,3.8,1.73,2.2,2.1,1.67,1.07,1.44,1.4,9.0,1.07
7,23/03/2024,13:30,ITALY - SERIE C,Giugliano,Avellino,3.95,3.45,1.87,2.15,1.95,1.75,1.08,1.47,1.37,6.3,1.09
8,23/03/2024,14:00,SPAIN - PRIMERA RFEF,Rayo Majadahonda,Dep. La Coruna,5.5,3.5,1.53,2.2,2.25,1.57,1.07,1.5,1.4,7.5,1.07
9,23/03/2024,15:00,ECUADOR - LIGA PRO,Mushuc Runa,U. Catolica,3.97,3.46,1.89,2.01,1.83,1.93,1.03,1.42,1.31,6.6,1.06
10,23/03/2024,21:00,URUGUAY - PRIMERA DIVISION,Maldonado,Defensor Sp.,3.8,3.4,1.95,2.05,1.83,1.83,1.06,1.44,1.3,7.0,1.1
