,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SWEDEN - SUPERETTAN,08/10/2023,08:00,Trelleborg,GAIS,4.75,4.2,1.62,1.62,2.25,1.7,1.18,2.05,1.5,1.7,1.9,0.6,0.21052632,0.23809524,0.61728394,0.61728394,0.44444445,0.847,0.5223472,-0.4,1.1,0,0.5365
2,BELGIUM - CHALLENGER PRO LEAGUE,08/10/2023,08:30,Beveren,Waregem,2.1,3.6,2.88,1.57,2.35,1.5,1.22,2.5,2.9,0.7,2.2,1.9,0.47619048,0.2777778,0.3472222,0.6369427,0.42553192,0.82,0.22396041,0.7,-1.2,0,0.7545
3,SPAIN - LALIGA2,08/10/2023,09:00,Amorebieta,Eibar,4.0,3.1,2.05,2.25,1.62,1.91,1.06,1.8,1.8,0.4,0.7,1.6,0.25,0.32258064,0.4878049,0.44444445,0.61728394,0.943,0.2815265,1.1,-1.2,0,0.8159
4,AUSTRIA - BUNDESLIGA,08/10/2023,09:30,LASK,Altach,1.5,4.0,6.5,1.7,2.1,1.8,1.17,1.95,2.0,0.8,1.0,1.1,0.6666667,0.25,0.15384616,0.5882353,0.47619048,0.855,0.6237325,1.0,-0.3,0,0.6553
5,SWEDEN - ALLSVENSKAN,08/10/2023,10:00,Varnamo,Norrkoping,2.3,3.4,3.1,1.85,2.0,1.67,1.13,2.1,0.8,0.9,1.7,1.6,0.4347826,0.29411766,0.32258064,0.5405405,0.5,0.885,0.17325127,-0.9,-0.7,0,0.7092
6,SWEDEN - ALLSVENSKAN,08/10/2023,10:00,Kalmar,Malmo FF,5.0,4.0,1.67,1.8,2.0,1.75,1.14,2.0,1.1,1.4,1.7,0.9,0.2,0.25,0.5988024,0.5555556,0.5,0.877,0.5074087,-0.6,0.5,0,0.5715
7,SPAIN - PRIMERA RFEF,08/10/2023,11:00,Granada CF B,Alcoyano,2.75,2.8,2.7,2.5,1.5,2.1,1.05,1.67,1.7,1.3,0.8,1.7,0.36363637,0.35714287,0.37037036,0.4,0.6666667,0.952,0.014847847,0.9,-0.4,0,0.7334
8,BELGIUM - CHALLENGER PRO LEAGUE,08/10/2023,11:00,Oostende,Anderlecht U23,1.75,3.5,4.0,1.65,2.2,1.62,1.18,2.2,0.7,1.8,1.1,1.7,0.5714286,0.2857143,0.25,0.6060606,0.45454547,0.847,0.38977566,-0.4,0.1,0,0.7497
9,SCOTLAND - PREMIERSHIP,08/10/2023,11:00,Aberdeen,St Johnstone,1.57,4.0,6.0,1.95,1.9,1.95,1.13,1.8,1.9,0.6,0.9,1.4,0.6369427,0.25,0.16666667,0.51282054,0.5263158,0.885,0.58340186,1.0,-0.8,0,0.6783
10,SPAIN - LALIGA2,08/10/2023,11:15,Valladolid,Mirandes,1.65,3.6,6.5,2.05,1.75,2.0,1.08,1.73,1.3,1.5,0.9,1.5,0.6060606,0.2777778,0.15384616,0.4878049,0.5714286,0.926,0.5515999,0.4,0.0,0,0.6039
