,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,SOUTH KOREA - K LEAGUE 1,17/03/2024,02:00,Gimcheon Sangmu,Jeonbuk,3.1,3.2,2.2,2.05,1.8,1.91
2,SOUTH KOREA - K LEAGUE 1,17/03/2024,02:00,Pohang,Gwangju FC,2.55,3.1,2.7,2.2,1.83,1.83
3,SOUTH KOREA - K LEAGUE 2,17/03/2024,02:00,Busan,Gimpo FC,1.73,3.25,4.33,2.15,2.0,1.73
4,SOUTH KOREA - K LEAGUE 2,17/03/2024,02:00,Cheongju,Anyang,2.63,3.2,2.38,2.15,1.83,1.83
5,INDIA - I-LEAGUE,17/03/2024,05:30,Real Kashmir,Delhi FC,1.4,4.7,6.2,1.5,1.72,1.9
6,SPAIN - PRIMERA RFEF,17/03/2024,08:00,Malaga,CF Intercity,1.55,3.75,5.25,2.2,2.25,1.57
7,SPAIN - PRIMERA RFEF,17/03/2024,08:00,Melilla,Granada CF B,2.05,3.1,3.2,2.63,2.3,1.55
8,SPAIN - PRIMERA RFEF,17/03/2024,08:00,Ceuta,Sanluqueno,1.75,3.25,4.2,2.2,2.1,1.67
9,SPAIN - LALIGA2,17/03/2024,10:00,Leganes,Mirandes,1.75,3.25,5.75,2.6,2.37,1.5
10,ITALY - SERIE C,17/03/2024,10:00,Olbia,Recanatese,2.4,3.05,3.0,2.15,1.85,1.85
11,SERBIA - PRVA LIGA,17/03/2024,10:00,Jedinstvo U.,Macva,1.85,3.1,4.1,2.35,2.21,1.63
12,SERBIA - PRVA LIGA,17/03/2024,10:00,Tekstilac Odzaci,FK Indjija,2.22,3.0,3.05,2.09,1.95,1.81
13,SERBIA - PRVA LIGA,17/03/2024,10:00,OFK Beograd,Kolubara,1.8,3.25,4.1,2.07,1.97,1.79
14,SERBIA - PRVA LIGA,17/03/2024,10:00,Metalac,Sloboda,1.95,3.05,3.7,2.54,2.19,1.64
15,SWITZERLAND - CHALLENGE LEAGUE,17/03/2024,10:15,Wil,Xamax,2.55,3.4,2.52,1.82,1.65,2.1
16,SWITZERLAND - CHALLENGE LEAGUE,17/03/2024,10:15,Vaduz,Stade Nyonnais,2.2,3.7,2.82,1.55,1.5,2.42
17,INDONESIA - LIGA 1,17/03/2024,10:30,PSIS Semarang,Persis Solo,2.07,3.45,3.15,1.53,1.45,2.37
18,INDIA - I-LEAGUE,17/03/2024,10:30,Gokulam,Sreenidi Deccan,2.55,3.5,2.45,1.6,1.5,2.25
19,PORTUGAL - LIGA PORTUGAL 2,17/03/2024,11:00,Santa Clara,Nacional,1.8,3.4,3.8,2.03,1.83,1.83
20,POLAND - DIVISION 1,17/03/2024,11:00,Leczna,Pruszkow,2.25,3.0,3.25,2.5,2.0,1.73
21,POLAND - DIVISION 1,17/03/2024,11:00,GKS Katowice,Podbeskidzie,1.8,3.4,4.0,1.98,1.8,1.91
22,ENGLAND - PREMIER LEAGUE,17/03/2024,11:00,West Ham,Aston Villa,2.75,3.75,2.38,1.53,1.5,2.5
23,CROATIA - HNL,17/03/2024,11:00,Istra 1961,Gorica,2.0,3.2,3.8,2.25,2.0,1.73
24,SPAIN - PRIMERA RFEF,17/03/2024,12:00,Atl. Madrid B,Real Madrid B,2.2,3.1,3.0,2.05,1.83,1.83
25,BELGIUM - JUPILER PRO LEAGUE,17/03/2024,12:00,Antwerp,Royale Union SG,2.6,3.5,2.55,1.75,1.62,2.2
26,ITALY - SERIE C,17/03/2024,12:15,Gubbio,Perugia,2.45,3.0,2.95,2.3,1.95,1.75
27,SWITZERLAND - SUPER LEAGUE,17/03/2024,12:30,Luzern,Servette,2.7,3.4,2.6,1.88,1.62,2.2
28,PORTUGAL - LIGA PORTUGAL,17/03/2024,12:30,Moreirense,Arouca,2.5,3.2,3.0,2.15,1.91,1.91
29,SPAIN - PRIMERA RFEF,17/03/2024,13:00,Arenteiro,Rayo Majadahonda,1.7,3.1,5.0,2.5,2.37,1.5
30,ALBANIA - SUPERLIGA,17/03/2024,13:00,KF Tirana,Dinamo Tirana,1.75,3.25,4.4,1.83,1.8,1.96
31,ROMANIA - LIGA 1,17/03/2024,13:15,FC Hermannstadt,Din. Bucuresti,1.91,3.1,4.0,2.5,2.2,1.62
32,SLOVAKIA - NIKE LIGA,17/03/2024,13:30,Slovan Bratislava,Trnava,1.7,3.55,5.1,1.98,1.9,1.82
33,SENEGAL - LIGUE 1,17/03/2024,13:30,Jaraaf,US Goree,2.6,2.32,3.4,3.2,2.48,1.51
34,SENEGAL - LIGUE 1,17/03/2024,13:30,Generation F.,Sonacos,2.32,2.6,3.4,3.2,2.51,1.5
35,POLAND - EKSTRAKLASA,17/03/2024,13:30,Legia,Piast Gliwice,1.73,3.6,4.75,2.05,1.95,1.8
36,SPAIN - PRIMERA RFEF,17/03/2024,14:00,Cultural Leonesa,Celta Vigo B,2.25,3.0,3.25,2.5,2.1,1.67
37,ITALY - SERIE C,17/03/2024,14:30,Arzignano,Trento,1.98,3.0,4.1,2.6,2.25,1.57
38,ITALY - SERIE C,17/03/2024,14:30,Taranto,Sorrento,1.8,3.3,4.55,2.5,2.32,1.55
39,ITALY - SERIE C,17/03/2024,14:30,Casertana,Virtus Francavilla,1.72,3.4,4.9,2.32,2.18,1.62
40,SPAIN - LALIGA2,17/03/2024,14:30,Elche,Albacete,1.73,3.4,5.75,2.3,2.1,1.63
41,USA - MLS,17/03/2024,15:00,New England Revolution,FC Cincinnati,2.2,3.6,3.1,1.7,1.57,2.25
42,ARGENTINA - COPA DE LA LIGA PROFESIONAL,17/03/2024,16:00,Godoy Cruz,Tigre,1.62,3.8,5.5,2.35,2.25,1.57
43,SPAIN - PRIMERA RFEF,17/03/2024,16:00,Ponferradina,Lugo,1.91,2.8,4.5,2.75,2.38,1.53
44,ARGENTINA - PRIMERA NACIONAL,17/03/2024,16:00,Almagro,Chaco For Ever,2.15,2.8,4.33,3.1,2.5,1.5
45,ROMANIA - LIGA 1,17/03/2024,16:00,FCSB,Sepsi Sf. Gheorghe,1.65,3.5,5.0,1.93,1.83,1.83
46,ARGENTINA - PRIMERA NACIONAL,17/03/2024,16:00,Deportivo Moron,Deportivo Madryn,2.0,3.1,4.33,2.7,2.25,1.57
47,URUGUAY - PRIMERA DIVISION,17/03/2024,16:30,Danubio,Wanderers,2.15,3.1,3.5,2.4,2.1,1.67
48,ARGENTINA - PRIMERA NACIONAL,17/03/2024,16:30,Racing Cordoba,Alvarado,2.1,3.1,4.0,2.6,2.2,1.62
49,ITALY - SERIE C,17/03/2024,16:45,Monopoli,Turris,2.12,3.1,3.45,2.27,1.95,1.75
50,ECUADOR - LIGA PRO,17/03/2024,17:30,Delfin,Tecnico U.,1.91,3.3,4.2,2.25,2.0,1.73
51,ARGENTINA - PRIMERA NACIONAL,17/03/2024,18:00,San Martin T.,CA Estudiantes,2.0,3.1,4.33,2.7,2.38,1.53
52,VENEZUELA - LIGA FUTVE,17/03/2024,18:00,Monagas,Rayo Zuliano,1.88,3.3,3.85,1.85,1.7,1.93
53,COLOMBIA - PRIMERA A,17/03/2024,18:10,Dep. Cali,Patriotas,1.6,3.8,6.0,2.25,2.25,1.57
54,ARGENTINA - PRIMERA NACIONAL,17/03/2024,19:00,Patronato,Club A. Guemes,2.15,3.1,3.8,2.7,2.2,1.62
55,NICARAGUA - LIGA PRIMERA,17/03/2024,19:00,Managua FC,Ocotal,1.45,4.25,5.9,1.6,1.75,1.85
56,MOROCCO - BOTOLA PRO,17/03/2024,19:00,IR Tanger,Hassania Agadir,1.83,3.0,4.2,2.3,2.0,1.69
57,MOROCCO - BOTOLA PRO,17/03/2024,19:00,Berkane,FUS Rabat,1.95,2.9,3.8,2.88,2.37,1.5
58,URUGUAY - PRIMERA DIVISION,17/03/2024,19:30,Nacional,Progreso,1.65,3.8,4.5,1.75,1.8,1.91
59,USA - MLS,17/03/2024,20:00,Atlanta Utd,Orlando City,1.8,3.75,4.5,1.62,1.57,2.25
60,ECUADOR - LIGA PRO,17/03/2024,20:00,EL Nacional,Emelec,3.1,3.3,2.25,2.0,1.73,2.0
61,COLOMBIA - PRIMERA A,17/03/2024,20:20,Fortaleza,America De Cali,2.8,3.25,2.55,2.15,1.83,1.83
62,ARGENTINA - COPA DE LA LIGA PROFESIONAL,17/03/2024,21:00,Estudiantes L.P.,Boca Juniors,2.3,3.0,3.5,2.6,2.1,1.67
63,MEXICO - LIGA MX,17/03/2024,22:00,Toluca,U.N.A.M.- Pumas,1.83,3.75,4.2,1.67,1.62,2.2
64,NICARAGUA - LIGA PRIMERA,17/03/2024,22:00,Ferretti,Matagalpa,1.55,4.0,4.5,2.0,1.93,1.83
65,MEXICO - LIGA MX,17/03/2024,22:00,Atl. San Luis,Pachuca,2.5,3.8,2.5,1.53,1.44,2.63
66,MEXICO - LIGA DE EXPANSION MX,17/03/2024,22:05,Atletico La Paz,Correcaminos,2.37,3.25,2.82,1.87,1.7,2.05
67,COLOMBIA - PRIMERA A,17/03/2024,22:30,Pereira,Aguilas,2.15,3.25,3.6,2.4,2.1,1.67
