Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,02/08/2023,19:00,SOUTH AMERICA - COPA SUDAMERICANA,Botafogo RJ (Bra),Guarani (Par),1.33,4.5,10.0,1.73,1.73,2.1,1.67
2,02/08/2023,21:30,BRAZIL - SERIE B,Vitoria,ABC,1.5,3.95,7.5,2.33,2.33,2.45,1.52
