,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
1,30/06/2023,14:00,ESTONIA - MEISTRILIIGA,Parnu JK Vaprus,Paide,7.55,4.5,1.38,1.79,1.98
2,30/06/2023,15:30,EGYPT - PREMIER LEAGUE,El Gaish,Ceramica Cleopatra,2.43,2.92,3.3,2.45,2.08
3,30/06/2023,15:45,IRELAND - PREMIER DIVISION,Sligo Rovers,Bohemians,3.5,3.1,2.2,2.3,2.0
4,30/06/2023,20:30,USA - USL CHAMPIONSHIP,Charleston,Loudoun,1.59,4.1,4.87,1.62,1.63
5,30/06/2023,21:30,ARGENTINA - LIGA PROFESIONAL,Velez Sarsfield,Arsenal Sarandi,1.75,3.3,5.75,2.6,2.25
6,30/06/2023,21:30,BRAZIL - SERIE B,Tombense,Chapecoense-SC,2.15,3.05,3.82,2.43,2.05
