,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,ROMANIA - LIGA 1,04/09/2023,07:00,U. Cluj,Poli Iasi,1.73,3.5,4.33,2.1,1.7,2.0,1.73,1.7,1.3453624,0.598,1.8,1.2489996,1.059,0.5780347,0.2857143,0.23094688,0.47619048,0.5882353,0.41753912,-0.1,2.594,1,0.8731
2,ROMANIA - LIGA 1,04/09/2023,12:30,FC Botosani,FC Hermannstadt,3.0,3.0,2.3,2.5,1.5,2.1,1.67,1.4,1.1135529,0.736,1.6,1.4282857,0.778,0.33333334,0.33333334,0.4347826,0.4,0.6666667,0.13025652,-0.2,2.542,1,0.7756
3,CANADA - CANADIAN PREMIER LEAGUE,04/09/2023,15:00,HFX Wanderers,York Utd,2.15,3.6,3.05,1.83,1.9,1.72,2.02,1.9,1.3747727,0.603,1.5,1.2845232,0.643,0.4651163,0.2777778,0.32786885,0.5464481,0.5263158,0.22187413,0.4,2.659,1,0.5104
4,ROMANIA - LIGA 1,04/09/2023,15:30,Sepsi Sf. Gheorghe,UTA Arad,1.7,3.3,4.75,2.2,1.65,2.1,1.67,1.5,1.2845232,0.477,0.7,0.9,0.575,0.5882353,0.3030303,0.21052632,0.45454547,0.6060606,0.4376941,0.8,2.185,1,0.8845
5,PERU - LIGA 1,04/09/2023,17:15,Cesar Vallejo,Grau,1.91,3.3,3.8,1.95,1.9,1.8,1.91,1.7,1.3453624,0.669,0.2,0.4,1.029,0.5235602,0.3030303,0.2631579,0.51282054,0.5263158,0.31526428,1.5,1.745,1,0.7895
6,ARGENTINA - COPA DE LA LIGA PROFESIONAL,04/09/2023,18:00,Barracas Central,Arsenal Sarandi,1.91,3.4,4.0,2.6,1.48,2.38,1.53,1.6,1.2,1.018,0.2,0.4,2.009,0.5235602,0.29411766,0.25,0.3846154,0.6756757,0.33695322,1.4,1.6,1,1.0
7,ARGENTINA - COPA DE LA LIGA PROFESIONAL,04/09/2023,20:00,Union de Santa Fe,San Lorenzo,2.6,2.9,3.1,3.1,1.36,2.5,1.5,1.3,1.1874342,1.116,0.8,0.8717798,0.873,0.3846154,0.3448276,0.32258064,0.32258064,0.7352941,0.07317563,0.5,2.059,1,0.6
8,ARGENTINA - PRIMERA NACIONAL,04/09/2023,20:00,Ferro,CA Mitre,1.85,3.4,4.33,2.25,1.62,2.1,1.67,1.8,1.2489996,0.918,0.9,1.1357816,1.007,0.5405405,0.29411766,0.23094688,0.44444445,0.61728394,0.37603346,0.9,2.385,1,1.0
9,COLOMBIA - PRIMERA A,04/09/2023,20:10,U. Magdalena,La Equidad,2.5,3.1,2.9,2.5,1.5,2.1,1.67,1.5,1.024695,0.825,1.0,0.7745967,0.779,0.4,0.32258064,0.3448276,0.4,0.6666667,0.09146963,0.5,1.799,1,0.6
10,ARGENTINA - PRIMERA NACIONAL,04/09/2023,21:10,Gimnasia Mendoza,Nueva Chicago,2.15,3.0,3.8,3.1,1.36,2.38,1.53,2.3,1.1,0.772,1.1,1.0440307,1.282,0.4651163,0.33333334,0.2631579,0.32258064,0.7352941,0.23657933,1.2,2.144,1,0.8
11,COLOMBIA - PRIMERA A,04/09/2023,22:20,Once Caldas,Huila,1.73,3.75,5.0,2.2,1.65,2.1,1.67,1.6,1.2,0.976,0.6,1.2,0.897,0.5780347,0.26666668,0.2,0.45454547,0.6060606,0.4731227,1.0,2.4,1,0.6
