,League,Date,Home,Away,Goals_H,Goals_A,Odd_H,Odd_D,Odd_A,Odd_CS_0x1_Lay_x,Lay_0x1,Predictions,Profit,Profit_acu
1,MEXICO - LIGA MX,2024-05-19,Cruz Azul,Monterrey,2.0,1.0,2.3,3.1,3.9,10.5,1,1,0.94,0.94
2,PERU - LIGA 1,2024-05-19,Alianza Lima,Deportivo Garcilaso,3.0,2.0,1.29,5.9,15.0,60.0,1,1,0.94,1.88
