Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,16/09/2023,04:30,SOUTH KOREA - K LEAGUE 1,Pohang,Suwon FC,1.5,4.33,6.5,1.57,1.67,2.1,1.03,1.29,1.17,4.0,1.22
24,16/09/2023,05:00,INDONESIA - LIGA 1,Persib Bandung,Persikabo 1973,1.44,4.35,6.0,1.53,1.65,1.98,1.02,1.26,1.14,3.55,1.21
25,16/09/2023,08:00,RUSSIA - PREMIER LEAGUE,CSKA Moscow,Krylya Sovetov,1.73,4.1,5.2,1.91,1.82,1.94,1.01,1.36,1.24,5.45,1.1
26,16/09/2023,10:00,FINLAND - YKKONEN,SalPa,JJK Jyvaskyla,1.45,4.0,6.0,1.57,1.67,2.1,1.03,1.29,1.17,4.33,1.2
27,16/09/2023,10:00,NORTH MACEDONIA - 1. MFL,Shkupi,Brera Strumica,1.7,3.4,4.9,2.07,2.02,1.62,1.05,1.47,1.37,8.3,1.04
28,16/09/2023,10:00,SWEDEN - SUPERETTAN,Ostersund,Gefle,1.65,3.8,5.25,1.85,1.8,1.95,1.04,1.36,1.25,6.0,1.13
29,16/09/2023,10:00,SWEDEN - ALLSVENSKAN,Sirius,Varberg,1.5,4.75,5.75,1.53,1.7,2.05,1.02,1.29,1.17,4.0,1.22
30,16/09/2023,10:00,BELARUS - VYSSHAYA LIGA,Dynamo Brest,Naftan,1.55,4.3,5.55,1.73,1.78,1.99,1.01,1.32,1.2,4.8,1.13
36,16/09/2023,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Glentoran,Dungannon,1.19,5.9,14.0,1.47,2.1,1.65,1.03,1.27,1.15,3.4,1.27
31,16/09/2023,11:00,FINLAND - VEIKKAUSLIIGA,HJK,Inter Turku,1.65,4.0,4.5,1.75,1.8,1.95,1.04,1.33,1.25,5.5,1.14
42,16/09/2023,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Coleraine,Newry City,1.34,4.9,7.5,1.6,1.91,1.8,1.03,1.31,1.19,4.0,1.2
35,16/09/2023,11:00,ENGLAND - PREMIER LEAGUE,Fulham,Luton,1.67,3.8,5.25,1.88,1.8,1.95,1.05,1.36,1.25,5.5,1.14
38,16/09/2023,11:00,SCOTLAND - LEAGUE ONE,Montrose,Edinburgh City,1.67,3.5,4.5,1.7,1.73,2.0,1.04,1.33,1.2,4.5,1.17
37,16/09/2023,11:00,ARMENIA - PREMIER LEAGUE,Pyunik Yerevan,BKMA,1.28,4.85,8.25,1.6,2.05,1.73,1.01,1.28,1.16,4.3,1.16
39,16/09/2023,11:00,SCOTLAND - LEAGUE ONE,Hamilton,Alloa,1.5,4.0,5.75,1.67,1.83,1.83,1.04,1.33,1.2,4.5,1.17
33,16/09/2023,11:00,SCOTLAND - CHAMPIONSHIP,Dundee Utd,Morton,1.55,4.0,5.25,1.73,1.8,1.91,1.04,1.33,1.22,5.0,1.14
34,16/09/2023,11:00,ESTONIA - MEISTRILIIGA,Tallinna Kalev,Harju JK Laagri,1.65,3.55,4.55,1.75,1.77,2.0,1.01,1.44,1.24,5.45,1.1
40,16/09/2023,11:30,NETHERLANDS - EREDIVISIE,Feyenoord,Heerenveen,1.22,6.5,15.0,1.33,1.8,1.95,1.01,1.2,1.1,3.0,1.36
41,16/09/2023,11:30,PORTUGAL - LIGA PORTUGAL 2,Santa Clara,Penafiel,1.62,3.5,4.75,2.1,2.1,1.67,1.06,1.44,1.33,8.0,1.08
23,16/09/2023,12:00,CROATIA - HNL,D. Zagreb,Slaven Belupo,1.14,7.0,17.0,1.5,2.38,1.53,1.03,1.25,1.14,3.75,1.25
32,16/09/2023,12:30,POLAND - DIVISION 1,Wisla,Chrobry Glogow,1.29,5.5,7.5,1.44,1.8,1.91,1.02,1.22,1.13,3.4,1.3
22,16/09/2023,12:30,SWEDEN - ALLSVENSKAN,Djurgarden,Varnamo,1.53,4.0,6.5,1.75,1.91,1.91,1.04,1.33,1.22,5.5,1.14
10,16/09/2023,12:30,POLAND - EKSTRAKLASA,Rakow,LKS Lodz,1.33,5.25,7.0,1.7,2.05,1.7,1.03,1.3,1.22,5.0,1.17
2,16/09/2023,13:30,ENGLAND - PREMIER LEAGUE,Newcastle,Brentford,1.55,4.2,6.0,1.67,1.75,2.0,1.04,1.3,1.2,4.5,1.2
3,16/09/2023,13:30,ITALY - SERIE C,Mantova,Pro Sesto,1.57,3.65,5.9,2.15,2.15,1.62,1.08,1.5,1.38,6.4,1.08
4,16/09/2023,13:30,ITALY - SERIE C,Carrarese,Vis Pesaro,1.47,4.1,6.4,1.93,2.1,1.65,1.06,1.42,1.31,5.6,1.11
5,16/09/2023,14:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Dinamo Tbilisi,Torpedo Kutaisi,1.53,3.85,5.0,1.6,1.67,2.15,12.1,1.29,1.17,4.4,1.17
6,16/09/2023,14:00,BULGARIA - PARVA LIGA,Ludogorets,Botev Plovdiv,1.29,6.0,10.0,1.65,2.1,1.67,1.03,1.3,1.2,4.5,1.18
7,16/09/2023,14:30,SPAIN - PRIMERA RFEF,Real Madrid B,Atl. Madrid B,1.67,3.3,4.75,1.98,1.83,1.83,1.03,1.4,1.29,6.0,1.11
8,16/09/2023,15:00,NETHERLANDS - EREDIVISIE,PSV,Nijmegen,1.17,8.0,15.0,1.3,1.91,1.91,1.01,1.18,1.08,2.63,1.44
9,16/09/2023,15:00,NETHERLANDS - EREDIVISIE,Sittard,FC Volendam,1.65,4.2,5.0,1.53,1.57,2.25,1.03,1.25,1.17,4.0,1.22
20,16/09/2023,15:30,URUGUAY - PRIMERA DIVISION,Nacional,CA Cerro,1.44,4.0,7.5,1.95,2.1,1.67,1.06,1.4,1.29,6.5,1.11
11,16/09/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Deportivo Madryn,Villa Dalmine,1.4,4.33,9.5,2.1,2.5,1.5,1.06,1.44,1.33,8.0,1.08
12,16/09/2023,15:45,ITALY - SERIE C,Gubbio,Fermana,1.5,3.8,6.6,2.02,2.12,1.65,1.07,1.45,1.34,5.8,1.1
13,16/09/2023,15:45,BELGIUM - JUPILER PRO LEAGUE,Club Brugge KV,Charleroi,1.4,4.75,6.5,1.48,1.67,2.1,1.02,1.25,1.14,3.75,1.25
14,16/09/2023,16:00,SPAIN - LALIGA2,Albacete,Burgos CF,1.75,3.4,5.25,2.25,2.1,1.67,1.08,1.5,1.4,10.0,1.06
15,16/09/2023,18:00,CANADA - CANADIAN PREMIER LEAGUE,Cavalry,Vancouver FC,1.37,4.85,7.4,1.65,1.93,1.78,1.04,1.33,1.21,4.3,1.2
16,16/09/2023,20:00,PARAGUAY - PRIMERA DIVISION,Olimpia Asuncion,General Caballero JLM,1.5,4.0,5.75,1.75,1.83,1.83,1.04,1.33,1.22,5.5,1.14
